GameID,MostPlayedRank,PeakPlayers,AllTimePeak,Date
2358720,1,2358580,2358580,2024-08-22
730,2,1313376,1818773,2024-08-22
570,3,592593,1295114,2024-08-22
578080,4,591609,3257248,2024-08-22
2923300,5,435953,917272,2024-08-22
1203220,6,235097,385770,2024-08-22
1172470,7,199055,624473,2024-08-22
271590,8,155422,364548,2024-08-22
2139460,9,132019,231668,2024-08-22
431960,10,109768,150375,2024-08-22
252490,11,96087,245243,2024-08-22
413150,12,88672,236614,2024-08-22
238960,13,85919,229337,2024-08-22
1086940,14,83897,875343,2024-08-22
236390,15,79391,121318,2024-08-22
1245620,16,72594,953426,2024-08-22
2252570,17,69371,89478,2024-08-22
230410,18,68185,189837,2024-08-22
251570,19,64040,125419,2024-08-22
1938090,20,63179,491670,2024-08-22
289070,21,59688,162657,2024-08-22
2357570,22,59158,75608,2024-08-22
2195250,23,57210,107359,2024-08-22
359550,24,54940,201933,2024-08-22
440,25,53166,253997,2024-08-22
582010,26,52718,334684,2024-08-22
2074920,27,49214,264860,2024-08-22
1782210,28,48472,75967,2024-08-22
394360,29,47031,78108,2024-08-22
221100,30,46405,73418,2024-08-22
381210,31,43130,105093,2024-08-22
480,32,41761,102705,2024-08-22
3047030,33,40421,40421,2024-08-22
436150,34,39614,47136,2024-08-22
322330,35,38767,115925,2024-08-22
594650,36,37510,60124,2024-08-22
1248130,37,37400,105636,2024-08-22
1222670,38,37311,96328,2024-08-22
227300,39,35932,69754,2024-08-22
1973530,40,35802,38950,2024-08-22
1366800,41,35416,38258,2024-08-22
1281930,42,34840,47602,2024-08-22
438100,43,34836,52956,2024-08-22
39210,44,34324,95150,2024-08-22
346110,45,33246,248405,2024-08-22
1966720,46,33186,240817,2024-08-22
2709570,47,32650,47836,2024-08-22
1091500,48,32532,1054388,2024-08-22
105600,49,31805,489886,2024-08-22
1085660,50,31323,316750,2024-08-22
1623730,51,30607,2101867,2024-08-22
4000,52,30252,73863,2024-08-22
1238810,53,30163,116104,2024-08-22
1174180,54,29801,77655,2024-08-22
304930,55,28983,112703,2024-08-22
2977660,56,27830,90669,2024-08-22
489830,57,27038,69906,2024-08-22
553850,58,26362,458709,2024-08-22
252950,59,26134,147632,2024-08-22
550,60,25540,162399,2024-08-22
1142710,61,25388,166754,2024-08-22
739630,62,25128,112717,2024-08-22
1599340,63,25115,1325305,2024-08-22
108600,64,25018,65505,2024-08-22
1818450,65,24785,38437,2024-08-22
1449850,66,24298,262689,2024-08-22
294100,67,23803,62257,2024-08-22
892970,68,23796,502387,2024-08-22
377160,69,23418,472962,2024-08-22
1364780,70,23024,70573,2024-08-22
261550,71,23001,248216,2024-08-22
292030,72,22164,103329,2024-08-22
1049590,73,20046,52853,2024-08-22
1158310,74,19474,98872,2024-08-22
2344520,75,19452,39782,2024-08-22
513710,76,19351,68322,2024-08-22
218620,77,19314,247709,2024-08-22
8930,78,19129,91363,2024-08-22
1329410,79,19080,39075,2024-08-22
1905180,80,18532,20080,2024-08-22
1623660,81,18138,97173,2024-08-22
2016590,82,18137,57164,2024-08-22
629520,83,18121,21920,2024-08-22
250900,84,18114,70701,2024-08-22
813780,85,18097,38725,2024-08-22
1568590,86,17302,702845,2024-08-22
322170,87,17030,88346,2024-08-22
236850,88,16927,48165,2024-08-22
284160,89,16851,26844,2024-08-22
275850,90,16528,212613,2024-08-22
1446780,91,16318,231360,2024-08-22
240,92,15745,100056,2024-08-22
960090,93,15649,53943,2024-08-22
2448970,94,15510,39325,2024-08-22
1325860,95,15352,16688,2024-08-22
1238840,96,15293,53714,2024-08-22
766570,97,15103,24544,2024-08-22
2338770,98,15042,30363,2024-08-22
427520,99,15037,34700,2024-08-22
306130,100,14915,49234,2024-08-22
1687950,101,14672,35474,2024-08-22
582660,102,14463,60395,2024-08-22
10,103,14299,319586,2024-08-22
1454400,104,14226,67867,2024-08-22
646570,105,14214,33086,2024-08-22
291550,106,13949,34816,2024-08-22
393380,107,13949,35151,2024-08-22
1293830,108,13805,75689,2024-08-22
548430,109,13683,54160,2024-08-22
2073850,110,13653,242619,2024-08-22
1172620,111,13484,66906,2024-08-22
2162800,112,13200,18806,2024-08-22
107410,113,13157,56679,2024-08-22
1551360,114,13072,81096,2024-08-22
244210,115,13011,19661,2024-08-22
232090,116,12820,69987,2024-08-22
281990,117,12600,68602,2024-08-22
1151340,118,12447,73368,2024-08-22
397540,119,12446,93820,2024-08-22
2399830,120,12428,98047,2024-08-22
714010,121,12273,15141,2024-08-22
2709440,122,12242,21806,2024-08-22
2426960,123,12240,22281,2024-08-22
1466860,124,11983,73928,2024-08-22
1313140,125,11797,61780,2024-08-22
814380,126,11704,125315,2024-08-22
761890,127,11699,27227,2024-08-22
444200,128,11573,56669,2024-08-22
457140,129,11554,27486,2024-08-22
255710,130,11447,60386,2024-08-22
1426210,131,11426,32685,2024-08-22
1920960,132,11390,85551,2024-08-22
1517290,133,11388,107376,2024-08-22
2349820,134,10912,37249,2024-08-22
1326470,135,10453,414257,2024-08-22
2670630,136,10369,51363,2024-08-22
386360,137,10329,31169,2024-08-22
552990,138,10269,411338,2024-08-22
239140,139,10080,45876,2024-08-22
1716740,140,9953,330723,2024-08-22
1904540,141,9813,83715,2024-08-22
1476970,142,9763,13048,2024-08-22
365670,143,9483,10654,2024-08-22
1665460,144,9455,21316,2024-08-22
526870,145,9393,34238,2024-08-22
648800,146,9230,101096,2024-08-22
700330,147,9174,13908,2024-08-22
2567870,148,9009,94480,2024-08-22
216150,149,9006,13850,2024-08-22
632360,150,8941,71548,2024-08-22
529340,151,8856,70100,2024-08-22
1283970,152,8777,9670,2024-08-22
2142790,153,8765,12452,2024-08-22
1250410,154,8689,61829,2024-08-22
990080,155,8468,879308,2024-08-22
412220,156,8464,8464,2024-08-22
945360,157,8212,447476,2024-08-22
728880,158,8201,12716,2024-08-22
311210,159,8122,63681,2024-08-22
2707930,160,8119,12607,2024-08-22
3076520,161,8069,8563,2024-08-22
949230,162,8061,104697,2024-08-22
270880,163,7953,19153,2024-08-22
2855560,164,7897,9508,2024-08-22
1997040,165,7829,18967,2024-08-22
1401590,166,7803,14314,2024-08-22
2141910,167,7796,12058,2024-08-22
1575940,168,7776,13394,2024-08-22
1778820,169,7369,49977,2024-08-22
49520,170,7364,124678,2024-08-22
2379780,171,7167,37977,2024-08-22
376210,172,7145,11973,2024-08-22
1040200,173,7044,13577,2024-08-22
440900,174,7031,53402,2024-08-22
286160,175,6808,37198,2024-08-22
1203620,176,6658,160405,2024-08-22
242760,177,6616,78097,2024-08-22
686810,178,6580,18280,2024-08-22
1812620,179,6509,8794,2024-08-22
1794680,180,6480,77061,2024-08-22
1118200,181,6469,17015,2024-08-22
2526380,182,6433,9914,2024-08-22
3103840,183,6278,7389,2024-08-22
367520,184,6231,20324,2024-08-22
2250040,185,6223,10040,2024-08-22
1677740,186,6192,43705,2024-08-22
1284210,187,6056,8324,2024-08-22
1237970,188,6043,27631,2024-08-22
779340,189,6020,192298,2024-08-22
2291060,190,5905,18641,2024-08-22
1468810,191,5877,184171,2024-08-22
233860,192,5803,10971,2024-08-22
380600,193,5802,9926,2024-08-22
214950,194,5661,118240,2024-08-22
2051620,195,5600,6603,2024-08-22
1604030,196,5579,150645,2024-08-22
1286830,197,5576,34210,2024-08-22
534380,198,5561,274983,2024-08-22
1868140,199,5559,98480,2024-08-22
2215430,200,5532,77154,2024-08-22
1919590,201,5519,59006,2024-08-22
2646460,202,5363,46833,2024-08-22
552520,203,5343,92445,2024-08-22
1144200,204,5321,55174,2024-08-22
1447430,205,5305,11085,2024-08-22
1942280,206,5283,32216,2024-08-22
427410,207,5272,21753,2024-08-22
1267910,208,5217,11867,2024-08-22
244850,209,5045,23888,2024-08-22
374320,210,5043,129975,2024-08-22
1948980,211,5023,28936,2024-08-22
48700,212,4997,33054,2024-08-22
2161700,213,4968,45002,2024-08-22
933110,214,4966,20146,2024-08-22
1407200,215,4941,8024,2024-08-22
379430,216,4921,96069,2024-08-22
1361210,217,4840,108395,2024-08-22
431730,218,4752,5238,2024-08-22
812140,219,4750,62069,2024-08-22
435150,220,4708,93701,2024-08-22
1363080,221,4696,173178,2024-08-22
2808930,222,4661,5211,2024-08-22
444090,223,4620,60743,2024-08-22
1158160,224,4607,15418,2024-08-22
22380,225,4595,51038,2024-08-22
1222680,226,4581,86196,2024-08-22
976730,227,4572,161024,2024-08-22
231430,228,4571,164688,2024-08-22
588650,229,4571,14910,2024-08-22
784150,230,4505,8264,2024-08-22
