GameID,Cost,Date
440,Free To Play,2024-08-05
570,Free To Play,2024-08-05
730,Free To Play,2024-08-05
4000,NT$ 278.00,2024-08-05
21690,NT$ 157.00,2024-08-05
24010,NT$ 488.00,2024-08-05
39210,NT$ 287.00,2024-08-05
65540,NT$ 69.00,2024-08-05
99910,Free To Play,2024-08-05
105600,NT$ 188.00,2024-08-05
107410,NT$ 174.00,2024-08-05
108600,NT$ 328.00,2024-08-05
210970,NT$ 217.00,2024-08-05
213670,NT$ 212.00,2024-08-05
216150,NT$ 488.00,2024-08-05
221040,NT$ 157.00,2024-08-05
221100,"NT$ 1,499.00",2024-08-05
223750,Free To Play,2024-08-05
227300,NT$ 428.00,2024-08-05
228380,NT$ 279.00,2024-08-05
230410,Free To Play,2024-08-05
233860,NT$ 438.00,2024-08-05
236390,Free To Play,2024-08-05
236850,"NT$ 1,018.00",2024-08-05
238960,Free To Play,2024-08-05
242760,NT$ 318.00,2024-08-05
244210,NT$ 318.00,2024-08-05
250900,NT$ 268.00,2024-08-05
251570,NT$ 670.00,2024-08-05
252490,NT$ 694.00,2024-08-05
255710,NT$ 768.00,2024-08-05
261550,"NT$ 1,399.00",2024-08-05
262060,NT$ 61.00,2024-08-05
266410,NT$ 278.00,2024-08-05
268910,NT$ 468.00,2024-08-05
270880,NT$ 428.00,2024-08-05
271590,NT$ 662.00,2024-08-05
273110,Free To Play,2024-08-05
275850,NT$ 898.00,2024-08-05
278080,NT$ 352.00,2024-08-05
281990,"NT$ 1,018.00",2024-08-05
284160,NT$ 408.00,2024-08-05
289650,NT$ 849.00,2024-08-05
292030,NT$ 868.00,2024-08-05
294100,NT$ 529.00,2024-08-05
304390,NT$ 849.00,2024-08-05
306130,NT$ 599.00,2024-08-05
307960,NT$ 186.00,2024-08-05
311210,"NT$ 1,998.00",2024-08-05
322330,NT$ 268.00,2024-08-05
323190,NT$ 73.00,2024-08-05
326360,Free To Play,2024-08-05
346110,NT$ 268.00,2024-08-05
359550,NT$ 569.00,2024-08-05
363150,NT$ 594.00,2024-08-05
377160,NT$ 599.00,2024-08-05
380600,Free To Play,2024-08-05
381210,NT$ 151.00,2024-08-05
386940,NT$ 134.00,2024-08-05
389430,Free To Play,2024-08-05
393380,"NT$ 1,000.00",2024-08-05
394360,"NT$ 1,268.00",2024-08-05
413150,NT$ 398.00,2024-08-05
418370,NT$ 224.00,2024-08-05
427520,NT$ 600.00,2024-08-05
431240,NT$ 148.00,2024-08-05
431960,NT$ 120.00,2024-08-05
438040,Free To Play,2024-08-05
440900,NT$ 399.00,2024-08-05
444200,Free To Play,2024-08-05
447040,NT$ 254.00,2024-08-05
475150,NT$ 93.00,2024-08-05
488790,NT$ 169.00,2024-08-05
489830,"NT$ 1,199.00",2024-08-05
494840,NT$ 146.00,2024-08-05
516750,NT$ 268.00,2024-08-05
518790,NT$ 318.00,2024-08-05
526870,NT$ 449.00,2024-08-05
546560,NT$ 898.00,2024-08-05
548430,NT$ 144.00,2024-08-05
551170,Free To Play,2024-08-05
552990,Free To Play,2024-08-05
553850,"NT$ 1,190.00",2024-08-05
559650,NT$ 85.00,2024-08-05
578080,Free To Play,2024-08-05
581320,NT$ 280.00,2024-08-05
582010,NT$ 920.00,2024-08-05
582660,NT$ 200.00,2024-08-05
594650,NT$ 799.00,2024-08-05
597820,NT$ 142.00,2024-08-05
601150,NT$ 287.00,2024-08-05
602960,NT$ 324.00,2024-08-05
606280,NT$ 139.00,2024-08-05
617290,NT$ 170.00,2024-08-05
620590,NT$ 44.00,2024-08-05
629520,NT$ 102.00,2024-08-05
648800,NT$ 468.00,2024-08-05
673750,NT$ 175.00,2024-08-05
675010,NT$ 109.00,2024-08-05
686810,NT$ 899.00,2024-08-05
701160,NT$ 82.00,2024-08-05
703080,NT$ 975.00,2024-08-05
704850,NT$ 32.00,2024-08-05
714210,"NT$ 1,018.00",2024-08-05
