CategoryID,Category
C001,action
C002,action_fps
C003,action_run_jump
C004,action_tps
C005,adventure
C006,adventure_rpg
C007,anime
C008,arcade_rhythm
C009,casual
C010,exploration_open_world
C011,fighting_martial_arts
C012,hack_and_slash
C013,hidden_object
C014,horror
C015,metroidvania
C016,multiplayer
C017,multiplayer_coop
C018,multiplayer_lan
C019,multiplayer_local_party
C020,multiplayer_mmo
C021,multiplayer_online_competitive
C022,mystery_detective
C023,puzzle_matching
C024,racing
C025,racing_sim
C026,rogue_like_rogue_lite
C027,rpg
C028,rpg_action
C029,rpg_jrpg
C030,rpg_party_based
C031,rpg_strategy_tactics
C032,rpg_turn_based
C033,science_fiction
C034,shmup
C035,simulation
C036,sim_building_automation
C037,sim_dating
C038,sim_farming_crafting
C039,sim_hobby_sim
C040,sim_life
C041,sim_physics_sandbox
C042,sim_space_flight
C043,singleplayer
C044,space
C045,sports
C046,sports_and_racing
C047,sports_fishing_hunting
C048,sports_individual
C049,sports_sim
C050,sports_team
C051,story_rich
C052,strategy
C053,strategy_card_board
C054,strategy_cities_settlements
C055,strategy_grand_4x
C056,strategy_military
C057,strategy_real_time
C058,strategy_turn_based
C059,survival
C060,tower_defense
C061,visual_novel
