PlatformCID,PlatformCategory
P001,Acorn Electron
P002,Action Max
P003,Alexa
P004,Amazon Fire (Razer Zone)
P005,Amazon Fire TV
P006,Amiga
P007,Amiga 2000
P008,Amiga CD32
P009,Amiga Max
P010,Amstrad CPC
P011,Amstrad PCW
P012,Android
P013,Apple II
P014,Apple Pippin
P015,Apple TV
P016,Aqua PC
P017,Arcade Machine
P018,Astra
P019,Atari
P020,AVIS supercomputer
P021,AVX Workstation
P022,Bandai Playdia
P023,Bandai RX-78
P024,Battlestations
P025,BBC Micro
P026,Browsie
P027,Casio PV-1000
P028,Channel F
P029,Coleco Adam
P030,ColorVision
P031,Commodore
P032,Digital Blue
P033,Dragon 32/64
P034,Dreamcast Mini
P035,DuckStation
P036,DVD Player
P037,Emerson Arcadia 2001
P038,EPOC
P039,Evercade
P040,Famicom Disk System
P041,Fujitsu FM Towns
P042,Fujitsu FM-7
P043,Game Boy
P044,Game.com
P045,GameMate
P046,GamePark 32
P047,GameWave
P048,Gizmondo
P049,GK-1 keyboard computer
P050,GK-3 (Panasonic system)
P051,Google Stadia
P052,Halcyon
P053,Handheld Game Master
P054,HS console
P055,HyperScan
P056,Intellivision
P057,iOS
P058,iPod
P059,JVC X'Eye
P060,Lachesis
P061,Leapfrog Didj
P062,LeapPad
P063,Lexicon Powerhouse
P064,Linux
P065,Looping
P066,Luxor ABC 80
P067,Mac
P068,Macintosh(Early)
P069,Magnavox Odyssey
P070,Magnavox Odyssey 2
P071,Memotech MTX
P072,Microbee
P073,Microline ML1
P074,MicroProse 1000
P075,MicroQuest
P076,Microvision
P077,MSX
P078,Multimix 8
P079,NEC
P080,Neo Geo
P081,Nintendo
P082,Nintendo Switch
P083,Nintendo Wii
P084,Nokia N-Gage
P085,NUON DVD player
P086,Oric
P087,Ouya
P088,Palm OS
P089,Panasonic 3DO
P090,Panasonic Luna
P091,Philips CD-i
P092,Pinball Machine
P093,Pioneer LaserActive
P094,Plato computer system
P095,Playdate
P096,PlayStation
P097,PlayStation Portable
P098,RCA Studio II
P099,Satellaview
P100,Sega
P101,Sharp MZ series
P102,Sharp X1
P103,Sharp X68000
P104,Smackdown
P105,Sord M5
P106,Steam
P107,Super Cassette Vision
P108,Super Mario Chess Set
P109,SuperGrafx
P110,SuperVision
P111,Tandy VIS
P112,Tapwave Zodiac
P113,TI-99/4A
P114,TRS-80
P115,TurboGrafx
P116,Tut's Tomb
P117,TV Boy
P118,Vectrex
P119,Video Challenger 4000
P120,Virtual Boy
P121,Virtual Soccer
P122,V-Million
P123,V-Smile
P124,VTech V.Flash
P125,Windows
P126,Windows Phone
P127,WonderSwan
P128,XavixPort
P129,Xbox
P130,Zeebo
P131,ZX Spectrum
