GameID,OperationDate
10,2000-11-01
1000010,2020-10-16
1000030,2020-10-14
1000360,2021-02-16
1000710,2018-12-27
1000716,2019-11-27
1000717,2019-11-27
1000718,2019-11-27
1000760,2021-03-01
1001060,2019-07-05
1001140,2019-02-07
1001220,2019-06-02
1001270,2024-01-19
1002300,2019-01-21
1002560,2019-02-28
1003090,2020-01-30
1003310,2019-03-18
1003480,2019-01-24
1003590,2021-08-18
1003730,2019-11-13
1004150,2019-02-26
1004240,2019-04-12
1004270,2024-05-01
1004490,2019-12-03
1004610,2019-08-08
1004750,2020-09-08
1004770,2020-02-25
1005300,2019-10-17
1005460,2020-09-30
1007040,2019-07-11
1007350,2019-01-17
1008020,2020-01-09
1008920,2019-04-03
10090,2008-11-18
1009290,2020-07-09
1009560,2022-10-20
1009821,2019-04-02
1009850,2020-04-14
10100,2009-07-23
1010600,2019-06-18
1010750,2019-05-09
1010820,2019-02-22
1010821,2019-12-27
10110,2009-07-23
1011190,2020-01-30
1011390,2019-07-11
1011670,2021-04-01
1011890,2019-01-17
1011900,2019-01-17
1011940,2019-06-14
1012030,2019-07-19
1012110,2022-12-16
1012220,2019-01-23
1012560,2019-05-10
1012570,2023-11-22
1012630,2019-05-06
1012790,2020-07-20
1012880,2019-07-25
1012900,2019-01-30
1013140,2024-03-15
1013180,2019-01-31
1013220,2022-07-20
1013300,2019-04-18
1013320,2024-04-01
1013870,2019-03-08
10150,2009-06-12
1015030,2019-03-13
1015050,2019-02-01
1015160,2019-06-11
1015720,2019-05-24
1015730,2019-11-08
1015750,2019-08-16
1015770,2019-08-02
1015790,2020-04-10
1015890,2021-04-14
1016180,2022-10-17
1016520,2019-01-24
1016600,2021-04-22
1016800,2021-07-28
1016920,2020-09-23
1016950,2023-02-23
1016960,2019-06-20
1017030,2019-01-22
1017180,2019-09-25
1017510,2019-06-13
1017900,2019-08-19
10180,2009-11-11
1018010,2019-05-16
1018020,2019-06-11
1018160,2019-08-27
1018800,2021-11-23
1018830,2021-04-02
1018850,2019-05-31
1019310,2020-05-12
1019540,2019-03-01
1019550,2020-11-05
1019920,2019-04-24
1019930,2019-06-25
1019931,2021-09-28
1020100,2019-02-18
1020470,2019-02-07
1020590,2019-03-29
1020790,2023-11-16
1021100,2022-04-20
1021110,2021-10-14
1021190,2019-05-29
1021210,2023-10-17
1021770,2020-03-26
1021790,2019-07-25
1022450,2019-10-08
1022850,2019-01-29
1022980,2020-09-10
1023690,2019-04-19
1023700,2020-06-18
1024650,2020-09-25
1025130,2019-02-14
1025140,2019-11-22
1025250,2019-03-08
1025410,2020-08-12
1025440,2019-09-05
1025600,2019-12-03
1025960,2021-11-29
102600,2011-10-11
102622,2011-10-25
102623,2011-11-08
1026680,2019-09-03
1026800,2019-03-13
1027130,2019-04-26
1027250,2020-01-16
1027880,2019-02-06
1028270,2019-02-28
1028310,2023-08-17
1028350,2022-01-20
102840,2012-02-07
1028430,2019-06-18
1028530,2019-03-08
1028590,2022-02-15
1029210,2023-08-09
1029690,2022-05-26
1029780,2021-06-01
1030210,2020-10-13
1030500,2019-05-09
