GameID,Rank,PeakPlayers,AllTimePeak,Date
730,1,1323086,1818773,2024-08-05
2923300,2,683653,917272,2024-08-05
570,3,736265,1295114,2024-08-05
578080,4,635245,3257248,2024-08-05
2139460,5,194609,231668,2024-08-05
1245620,6,162442,953426,2024-08-05
218,7,207486,221857,2024-08-05
1203220,8,299454,385770,2024-08-05
271590,9,185495,364548,2024-08-05
1172470,10,222297,624473,2024-08-05
252490,11,149070,245243,2024-08-05
431960,12,119649,150375,2024-08-05
440,13,86748,253997,2024-08-05
238960,14,163320,229337,2024-08-05
1938090,15,100784,491670,2024-08-05
2074920,16,115700,264860,2024-08-05
1086940,17,116314,875343,2024-08-05
413150,18,115829,236614,2024-08-05
251570,19,119824,125419,2024-08-05
1782210,20,60273,75967,2024-08-05
359550,21,72331,201933,2024-08-05
230410,22,63143,189837,2024-08-05
236390,23,85785,121318,2024-08-05
436150,24,43046,47136,2024-08-05
1085660,25,54433,316750,2024-08-05
289070,26,71498,162657,2024-08-05
381210,27,62905,105093,2024-08-05
39210,28,52192,95150,2024-08-05
438100,29,46376,52956,2024-08-05
2357570,30,47746,75608,2024-08-05
2195250,31,70999,107359,2024-08-05
550,32,34248,162399,2024-08-05
1281930,33,45492,47602,2024-08-05
2977660,34,28167,90669,2024-08-05
1623730,35,51402,2101867,2024-08-05
1222670,36,50133,96328,2024-08-05
553850,37,38663,458709,2024-08-05
2252570,38,69819,89478,2024-08-05
394360,39,53579,78108,2024-08-05
1174180,40,47256,77655,2024-08-05
105600,41,40440,489886,2024-08-05
304930,42,30239,112703,2024-08-05
322330,43,49199,115925,2024-08-05
221100,44,59520,73418,2024-08-05
108600,45,34086,65505,2024-08-05
2016590,46,30221,57164,2024-08-05
275850,47,41138,212613,2024-08-05
1366800,48,32600,33229,2024-08-05
346110,49,40882,248405,2024-08-05
294100,50,30635,62257,2024-08-05
1091500,51,34297,1054388,2024-08-05
582010,52,49070,334684,2024-08-05
377160,53,34876,472962,2024-08-05
2448970,54,33224,39325,2024-08-05
1599340,55,28114,1325305,2024-08-05
960090,56,27173,53943,2024-08-05
4000,57,35846,73863,2024-08-05
489830,58,28485,69906,2024-08-05
252950,59,30975,147632,2024-08-05
1623660,60,17518,97173,2024-08-05
2936120,61,19489,52671,2024-08-05
1966720,62,18943,240817,2024-08-05
892970,63,35812,502387,2024-08-05
1142710,64,32611,166754,2024-08-05
739630,65,28644,112717,2024-08-05
480,66,47819,102705,2024-08-05
218620,67,22206,247709,2024-08-05
1449850,68,21445,262689,2024-08-05
261550,69,31131,248216,2024-08-05
3047030,70,36348,36348,2024-08-05
582660,71,19038,60395,2024-08-05
813780,72,22725,38725,2024-08-05
250900,73,21538,70701,2024-08-05
646570,74,17954,33086,2024-08-05
548430,75,24545,54160,2024-08-05
232090,76,12610,69987,2024-08-05
8930,77,20876,91363,2024-08-05
2399830,78,18986,98047,2024-08-05
1158310,79,23635,98872,2024-08-05
2073850,80,16755,242619,2024-08-05
1364780,81,26875,70573,2024-08-05
513710,82,21964,68322,2024-08-05
1238810,83,32286,116104,2024-08-05
227300,84,50076,69754,2024-08-05
322170,85,19141,88346,2024-08-05
629520,86,18101,21920,2024-08-05
2349820,87,17202,37249,2024-08-05
1248130,88,45845,105636,2024-08-05
2338770,89,19479,30363,2024-08-05
281990,90,16527,68602,2024-08-05
1905180,91,18486,18899,2024-08-05
427520,92,19571,34700,2024-08-05
714010,93,12754,12754,2024-08-05
1454400,94,11905,67867,2024-08-05
236850,95,21420,48165,2024-08-05
284160,96,20207,26844,2024-08-05
291550,97,16357,34816,2024-08-05
292030,98,27405,103329,2024-08-05
2567870,99,21068,94480,2024-08-05
386360,100,12128,31169,2024-08-05
240,101,15421,100056,2024-08-05
306130,102,16335,49234,2024-08-05
2426960,103,15231,22281,2024-08-05
1920960,104,12332,85551,2024-08-05
107410,105,19918,56679,2024-08-05
216150,106,9707,13850,2024-08-05
594650,107,23315,45091,2024-08-05
457140,108,16131,27486,2024-08-05
270880,109,11362,19153,2024-08-05
393380,110,19111,35151,2024-08-05
3076520,111,8062,8563,2024-08-05
2670630,112,12909,51363,2024-08-05
1172620,113,18772,66906,2024-08-05
632360,114,9160,71548,2024-08-05
255710,115,14545,60386,2024-08-05
1151340,116,14220,73368,2024-08-05
1293830,117,19776,75689,2024-08-05
766570,118,16306,24544,2024-08-05
1238840,119,17209,53714,2024-08-05
1973530,120,8780,38950,2024-08-05
2526380,121,9914,9914,2024-08-05
761890,122,13721,27227,2024-08-05
1551360,123,16867,81096,2024-08-05
311210,124,8313,63681,2024-08-05
814380,125,11814,125315,2024-08-05
1517290,126,14901,107376,2024-08-05
1325860,127,14969,16688,2024-08-05
2141910,128,9717,12058,2024-08-05
526870,129,14250,34238,2024-08-05
1144200,130,11144,55174,2024-08-05
2707930,131,10992,12607,2024-08-05
1049590,132,19367,52853,2024-08-05
529340,133,13137,70100,2024-08-05
1818450,134,38437,38437,2024-08-05
1778820,135,9365,49977,2024-08-05
365670,136,9056,10654,2024-08-05
945360,137,10032,447476,2024-08-05
2379780,138,8213,37977,2024-08-05
1203620,139,14021,160405,2024-08-05
1466860,140,16488,73928,2024-08-05
1665460,141,11731,21316,2024-08-05
2291060,142,13595,18641,2024-08-05
244210,143,15389,19661,2024-08-05
1476970,144,7572,13048,2024-08-05
1329410,145,14959,39075,2024-08-05
286160,146,8418,37198,2024-08-05
3016800,147,8551,8551,2024-08-05
1283970,148,8588,8588,2024-08-05
1326470,149,12258,414257,2024-08-05
1687950,150,9556,35474,2024-08-05
949230,151,11881,104697,2024-08-05
367520,152,8023,20324,2024-08-05
899770,153,10711,264708,2024-08-05
1997040,154,8112,18967,2024-08-05
552990,155,10709,411338,2024-08-05
1812620,156,7558,8794,2024-08-05
1446780,157,12214,231360,2024-08-05
1716740,158,9716,330723,2024-08-05
10,159,15008,319586,2024-08-05
976730,160,5826,161024,2024-08-05
990080,161,12713,879308,2024-08-05
1267910,162,6144,11867,2024-08-05
374320,163,8732,129975,2024-08-05
1604030,164,9711,150645,2024-08-05
648800,165,12355,101096,2024-08-05
1158160,166,8871,15418,2024-08-05
686810,167,9490,18280,2024-08-05
1904540,168,11302,83715,2024-08-05
700330,169,8980,13908,2024-08-05
1118200,170,7701,17015,2024-08-05
2215430,171,8749,77154,2024-08-05
2646460,172,10570,46833,2024-08-05
22380,173,6035,51038,2024-08-05
1250410,174,9785,61829,2024-08-05
440900,175,8016,53402,2024-08-05
431730,176,4731,5165,2024-08-05
1818750,177,4743,153433,2024-08-05
233860,178,7195,10971,2024-08-05
2050650,179,6621,168191,2024-08-05
304390,180,5514,225831,2024-08-05
2321470,181,7607,56943,2024-08-05
1868140,182,8076,98480,2024-08-05
1145360,183,6031,54240,2024-08-05
376210,184,6452,11973,2024-08-05
1240440,185,4303,272586,2024-08-05
779340,186,7866,192298,2024-08-05
1009850,187,4726,5049,2024-08-05
2855560,188,9413,9508,2024-08-05
444090,189,5637,60743,2024-08-05
444200,190,14612,56669,2024-08-05
1361210,191,5543,108395,2024-08-05
1432860,192,5518,12706,2024-08-05
262060,193,5903,20064,2024-08-05
1426210,194,15928,32685,2024-08-05
244850,195,6852,23888,2024-08-05
1659040,196,6712,9043,2024-08-05
49520,197,5092,124678,2024-08-05
1286830,198,6538,34210,2024-08-05
1258080,199,5420,7990,2024-08-05
1468810,200,6792,184171,2024-08-05
1384160,201,3845,31156,2024-08-05
2344520,202,6153,39782,2024-08-05
812140,203,8372,62069,2024-08-05
264710,204,6158,51156,2024-08-05
2849080,205,6747,21133,2024-08-05
3590,206,4879,16225,2024-08-05
1794680,207,5009,77061,2024-08-05
242760,208,7390,78097,2024-08-05
1922560,209,3890,9670,2024-08-05
1637320,210,5192,6883,2024-08-05
2881650,211,5411,204439,2024-08-05
1147690,212,3888,8032,2024-08-05
977400,213,4464,7340,2024-08-05
1290000,214,4416,10512,2024-08-05
1919590,215,6213,59006,2024-08-05
435150,216,7177,93701,2024-08-05
48700,217,6400,33054,2024-08-05
2445690,218,12890,20280,2024-08-05
397540,219,4908,93820,2024-08-05
1282100,220,5388,110856,2024-08-05
933110,221,6068,20146,2024-08-05
1063730,222,4800,913634,2024-08-05
