GameID,All,Positive,Negative,Rating
10,240050,233892,6158,0.974347011
1009850,3983,3730,253,0.93648004
1030840,76410,66547,9863,0.870920037
1040200,3348,3268,80,0.976105137
1043810,2414,2368,46,0.98094449
1049590,58279,46045,12234,0.790078759
105600,1322506,1290154,32352,0.975537351
1062090,25964,24654,1310,0.949545525
1063730,279837,191620,88217,0.684755769
107410,270734,244708,26026,0.903868742
1085660,610034,490011,120023,0.80325195
108600,314344,295986,18358,0.941599013
1086940,642777,622192,20585,0.967974896
1091500,762091,629055,133036,0.825432921
1118010,22475,12817,9658,0.570278087
1118200,255984,252480,3504,0.986311644
1142710,105847,72488,33359,0.684837549
1144200,187560,164952,22608,0.879462572
1145350,45677,43185,2492,0.945443002
1145360,266508,262026,4482,0.983182494
1147690,11328,10884,444,0.960805085
1151340,113902,82873,31029,0.727581605
1158160,17534,15438,2096,0.880460819
1158310,110378,100825,9553,0.913451956
1169040,12835,12054,781,0.93915076
1172470,938305,645372,292933,0.687806204
1172620,337524,302173,35351,0.895263744
1174180,607320,556374,50946,0.916113416
1184370,33821,28251,5570,0.835309423
1201240,10702,9462,1240,0.884133807
1203220,288078,200911,87167,0.697418755
1203620,53969,46371,7598,0.859215476
1222670,147072,128656,18416,0.874782419
1222680,118254,98899,19355,0.83632689
1222690,17171,12840,4331,0.747772407
1237970,230798,219837,10961,0.952508254
1238810,222814,157332,65482,0.706113619
1238840,156938,135751,21187,0.864997642
1240440,173052,121404,51648,0.701546356
1245620,947307,878181,69126,0.927028936
1248130,75905,69841,6064,0.920110665
1250410,60420,47594,12826,0.787719298
1258080,15543,12130,3413,0.780415621
1260320,49552,37326,12226,0.753269293
1267910,12671,11461,1210,0.904506353
1272080,52624,20697,31927,0.393299635
1281930,266351,258545,7806,0.970692808
1282100,52660,44150,8510,0.838397265
1283970,1880,1741,139,0.92606383
1284210,17442,15464,1978,0.886595574
1286830,62337,55943,6394,0.897428494
1290000,45678,44408,1270,0.972196681
1293830,241125,216686,24439,0.898645931
1295660,0,0,0,
1313140,82332,78363,3969,0.951792742
1325860,4685,4326,359,0.923372465
1326470,202845,175156,27689,0.863496759
1328670,48488,44096,4392,0.909420888
1329410,64026,31429,32597,0.490878706
1343400,23845,19973,3872,0.837617949
1361210,97451,65179,32272,0.668838698
1363080,53737,46899,6838,0.872750619
1364780,45409,39098,6311,0.861018741
1366540,80298,78419,1879,0.976599666
1366800,19027,17572,1455,0.923529721
1371580,16137,11181,4956,0.692879717
1384160,52173,47609,4564,0.912521802
1407200,78435,66429,12006,0.846930579
1426210,171989,163325,8664,0.949624685
1432860,19089,16363,2726,0.857195243
1446780,101375,81898,19477,0.807871763
1447430,8064,6414,1650,0.795386905
1449850,75912,57211,18701,0.753648962
1454400,68189,66028,2161,0.968308671
1466860,69996,60904,9092,0.870106863
1468810,223290,117559,105731,0.526485736
1476970,17629,13793,3836,0.782403993
1517290,272996,121781,151215,0.446090785
1551360,189728,167313,22415,0.881857185
1562430,34077,32661,1416,0.958447046
1568590,65330,56911,8419,0.87113118
1575940,2428,2152,276,0.886326194
1593500,136354,131441,4913,0.963968787
1599340,200413,142949,57464,0.713272093
1599600,20143,19245,898,0.955418756
1604030,99722,88293,11429,0.885391388
1623660,14195,9242,4953,0.651074322
1623730,315336,295655,19681,0.937587209
1659040,29990,25772,4218,0.859353118
1665460,78344,34646,43698,0.442229143
1672500,261,208,53,0.796934866
1675200,0,0,0,
1677740,118035,100661,17374,0.852806371
1687950,76150,73747,2403,0.968443861
1716740,156794,89691,67103,0.572030818
1771300,0,0,0,
1778820,36898,26053,10845,0.70608163
1782210,151276,138877,12399,0.91803723
1794680,233923,230418,3505,0.985016437
1811260,150719,85363,65356,0.566371858
1812620,3426,2193,1233,0.640105079
1818450,52071,39914,12157,0.766530314
1818750,115791,90144,25647,0.778506102
1845910,0,0,0,
1846380,37848,22599,15249,0.597098922
1868140,108158,105190,2968,0.972558664
1891700,7631,6524,1107,0.854933823
1904540,19320,17314,2006,0.896169772
1905180,25721,24549,1172,0.95443412
1919590,50587,31449,19138,0.62168146
1920960,41338,40642,696,0.983163191
1934680,1300,1207,93,0.928461538
1938090,605863,353293,252570,0.583123577
1942280,78286,76124,2162,0.972383312
1948980,18304,15526,2778,0.848229895
1962663,37182,12019,25163,0.323247808
1966720,422843,411658,11185,0.973548102
1973530,35512,29922,5590,0.842588421
1973710,3864,3363,501,0.870341615
1997040,26895,22294,4601,0.82892731
2016590,43586,31976,11610,0.733630065
202970,45527,39255,6272,0.862235596
2050650,144793,141303,3490,0.975896625
2051620,6028,4561,1467,0.7566357
2073850,179529,134813,44716,0.750926034
2074920,78527,43411,35116,0.552816229
2138330,16468,14789,1679,0.898044693
2139460,74728,53819,20909,0.720198587
2141910,12640,8163,4477,0.645806962
2142790,4935,4852,83,0.983181358
214950,84256,69801,14455,0.828439518
2157560,4050,3281,769,0.810123457
