GameID,Rank,Positive,Negative,Total,Rating,Date
620,1,397273,5229,402502,0.977,2024-08-08
1118200,2,250964,3479,254443,0.9749,2024-08-08
413150,3,729879,12573,742452,0.9748,2024-08-08
1794680,4,229777,3463,233240,0.9734,2024-08-08
1145360,5,261440,4461,265901,0.972,2024-08-08
400,6,160113,2487,162600,0.9716,2024-08-08
2420510,7,30271,222,30493,0.9706999999999999,2024-08-08
105600,8,1285755,31653,1317408,0.9691,2024-08-08
294100,9,187668,3829,191497,0.9677,2024-08-08
546560,10,88651,1515,90166,0.9676,2024-08-08
550,11,856447,21859,878306,0.9673999999999999,2024-08-08
1089980,12,45018,616,45634,0.9672,2024-08-08
1144400,13,24244,233,24477,0.9671,2024-08-08
2231450,14,59244,922,60166,0.9670000000000001,2024-08-08
1055540,15,16802,129,16931,0.9661,2024-08-08
227300,16,767771,20595,788366,0.9659,2024-08-08
646570,17,158203,3500,161703,0.9654,2024-08-08
433340,18,120702,2564,123266,0.9651000000000001,2024-08-08
1229490,19,119718,2577,122295,0.9648,2024-08-08
508440,21,123326,2718,126044,0.9645,2024-08-08
48700,20,158410,3665,162075,0.9645,2024-08-08
250900,22,288644,7362,296006,0.9643999999999999,2024-08-08
1966720,23,408018,11030,419048,0.9641,2024-08-08
2313250,26,15973,156,16129,0.9638,2024-08-08
420530,25,45306,790,46096,0.9638,2024-08-08
220,24,192723,4766,197489,0.9638,2024-08-08
2608050,29,9012,40,9052,0.9637,2024-08-08
460950,28,65463,1293,66756,0.9637,2024-08-08
1289310,27,117014,2651,119665,0.9637,2024-08-08
1920960,30,40298,687,40985,0.9634999999999999,2024-08-08
10,31,233554,6145,239699,0.963,2024-08-08
960090,32,313184,8625,321809,0.9628,2024-08-08
2050650,33,140253,3453,143706,0.9626,2024-08-08
1230140,35,17564,221,17785,0.9620000000000001,2024-08-08
284160,34,255742,7071,262813,0.9620000000000001,2024-08-08
3590,36,126110,3147,129257,0.9619,2024-08-08
2291760,38,9070,65,9135,0.9612,2024-08-08
548430,37,295757,8606,304363,0.9612,2024-08-08
367520,39,353344,10517,363861,0.9611,2024-08-08
1366540,40,78215,1868,80083,0.9606999999999999,2024-08-08
253230,42,49037,1050,50087,0.9606,2024-08-08
205100,41,77444,1862,79306,0.9606,2024-08-08
504230,43,100771,2562,103333,0.9605,2024-08-08
1583720,45,23864,403,24267,0.9603,2024-08-08
4000,44,1054643,35552,1090195,0.9603,2024-08-08
774181,46,19672,312,19984,0.9598,2024-08-08
1332010,48,139042,3867,142909,0.9597,2024-08-08
1281930,47,256256,7738,263994,0.9597,2024-08-08
1129190,51,11266,125,11391,0.9595999999999999,2024-08-08
1288310,50,38477,806,39283,0.9595999999999999,2024-08-08
1086940,49,617696,20455,638151,0.9595999999999999,2024-08-08
1361320,52,14576,203,14779,0.9592,2024-08-08
1568400,54,10201,112,10313,0.9589,2024-08-08
588650,53,150884,4382,155266,0.9589,2024-08-08
