ID,platform(old),platform(new)
1,VSML,VSML
2,SVIS,SVIS
3,SNES,SNES
4,NUON,NUON
5,32X,32X
6,N3DS,Nintendo 3DS
7,BNA,BNA
8,MVIS,MVIS
9,XONE,Xbox
10,GBC,GBC
11,STRM,STRM
12,VC20,VC20
13,SCV,SCV
14,GG,GG
15,3DSE,Nintendo 3DS
16,XBGS,Xbox
17,CDTV,CDTV
18,CBM,CBM
19,A800,A800
20,COUP,COUP
21,DUCK,DUCK
22,CHNF,CHNF
23,MTX,MTX
24,PMIN,PMIN
25,GEN,GEN
26,LOOP,LOOP
27,SPEC,SPEC
28,VECT,VECT
29,5200,5200
30,AMI,AMI
31,VBOY,VBOY
32,N64,N64
33,FM7,FM7
34,ADAM,ADAM
35,FIRE,FIRE
36,OUYA,OUYA
37,CASV,CASV
38,TRS8,TRS8
39,6001,6001
40,RZON,RZON
41,PC88,PC88
42,GWAV,GWAV
43,NSW,Nintendo Switch
44,PLTO,PLTO
45,RX78,RX78
46,X1,Xbox
47,LYNX,LYNX
48,FMT,FMT
49,SAT,SAT
50,A2K1,A2K1
51,DGBL,DGBL
52,ESAG,ESAG
53,WSHP,WSHP
54,ALXA,ALXA
55,XAVX,XAVX
56,XSX,Xbox
57,JCD,JCD
58,NES,NES
59,PSP,PlayStation Portable
60,PC,Windows
61,GIZ,GIZ
62,PV1K,PV1K
63,ZBO,ZBO
64,7800,7800
65,WSC,WSC
66,WSW,WSW
67,X68K,X68K
68,PSPN,PlayStation Portable
69,LEAP,LEAP
70,GCN,GCN
71,AVIS,AVIS
72,GP32,GP32
73,CD32,CD32
74,GK1,GK1
75,TF1,TF1
76,NEO,NEO
77,DS,Nintendo 3DS
78,PCW,PCW
79,3DS,Nintendo 3DS
80,TI99,TI99
81,SCD,SCD
82,PV2K,PV2K
83,PS4,PlayStation
84,APL2,APL2
85,M5,M5
86,ACAN,ACAN
87,MP1K,MP1K
88,SMC7,SMC7
89,IPHN,IOS
90,HSCN,HSCN
91,SGFX,SGFX
92,NGP,NGP
93,EVER,EVER
94,LACT,LACT
95,MM8,MM8
96,SMS,SMS
97,JAG,JAG
98,ORIC,ORIC
99,AMAX,AMAX
100,BS-X,BS-X
101,Wii,Nintendo Wii
102,HALC,HALC
103,C64,C64
104,MBEE,MBEE
105,XBOX,Xbox
106,TG16,TG16
107,IPAD,IOS
108,LPAD,LPAD
109,HS1,HS1
110,NGE,NGE
111,AST,AST
112,SMAK,SMAK
113,INTV,INTV
114,VTCV,VTCV
115,VSOC,VSOC
116,ZOD,ZOD
117,DRAG,DRAG
118,APTV,APTV
119,CDI,CDI
120,ANDR,Android
121,DM,DM
122,AVCS,AVCS
123,VITA,PlayStation Portable
124,DIDJ,DIDJ
125,2600,2600
126,PLDT,PLDT
127,LEXP,LEXP
128,PSNV,PlayStation Portable
129,PDIA,PDIA
130,ACRN,ACRN
131,ML1,ML1
132,C128,C128
133,A2GS,A2GS
134,SG1K,SG1K
135,IPOD,IPOD
136,NGCD,NGCD
137,EPOC,EPOC
138,BROW,BROW
139,TUT,TUT
140,VC4K,VC4K
141,WP,WP
142,DVD,DVD
143,VMIV,VMIV
144,STAD,STAD
145,WiiU,Nintendo Wii
146,MC,MC
147,ODYS,ODYS
148,HGM,HGM
149,BAST,BAST
150,PCFX,PCFX
151,X360,Xbox
152,PC98,PC98
153,64DD,64DD
154,DC,DC
155,PIPN,PIPN
156,GCOM,GCOM
157,PICO,PICO
158,CPC,CPC
159,GB,GB
160,BBCM,BBCM
161,MAC,MAC
162,FDS,FDS
163,MZ,MZ
164,COCO,COCO
165,GBA,GBA
166,AMIC,AMIC
167,TGCD,TGCD
168,PS2,PlayStation
169,PS3N,PlayStation
170,PS1,PlayStation
171,VIS,VIS
172,ABC,ABC
173,RCA2,RCA2
174,TVB,TVB
175,3DO,3DO
176,PIN,PIN
177,MSX,MSX
178,LUNA,LUNA
179,AQUA,AQUA
180,GK3,GK3
181,ODY2,ODY2
182,ARC,ARC
183,MQST,MQST
184,GMT,GMT
185,DSI,Nintendo 3DS
186,CVIS,CVIS
187,PS3,PlayStation
188,LIN,Linux
189,C16,C16
190,NGPC,NGPC
191,PS5,PlayStation
