直播名稱,觀看人數
Euro Truck Simulator 2,"1,881 viewers "
Deep Rock Galactic: Survivor,"1,728 viewers "
Emerald Dreams: Sanity -  Platformer Quest,"1,512 viewers "
Kingdom Rush 5: Alliance TD,990 viewers 
Car Manufacture,989 viewers 
JIANGHU CHRONICLES,850 viewers 
Dome Keeper,788 viewers 
Car Mechanic Simulator 2021,728 viewers 
Thank Goodness You're Here!,718 viewers 
STASIS: BONE TOTEM,627 viewers 
Euro Truck Simulator 2,"1,940 viewers "
Deep Rock Galactic: Survivor,"1,731 viewers "
Emerald Dreams: Sanity -  Platformer Quest,"1,510 viewers "
Kingdom Rush 5: Alliance TD,"1,064 viewers "
Car Manufacture,985 viewers 
JIANGHU CHRONICLES,811 viewers 
Dome Keeper,768 viewers 
Car Mechanic Simulator 2021,726 viewers 
Thank Goodness You're Here!,680 viewers 
Deep Rock Galactic,632 viewers 
Deep Rock Galactic,639 viewers 
Visions of Mana,610 viewers 
Ogu and the Secret Forest,537 viewers 
PowerWash Simulator,533 viewers 
Contraband Police,516 viewers 
Gold Mining Simulator,505 viewers 
Enlisted,483 viewers 
Cooking Simulator,454 viewers 
Infection Free Zone,436 viewers 
Space for Sale,428 viewers 
Euro Truck Simulator 2,"1,883 viewers "
Deep Rock Galactic: Survivor,"1,713 viewers "
Emerald Dreams: Sanity -  Platformer Quest,"1,520 viewers "
Kingdom Rush 5: Alliance TD,"1,030 viewers "
Car Manufacture,983 viewers 
JIANGHU CHRONICLES,770 viewers 
Dome Keeper,769 viewers 
Thank Goodness You're Here!,723 viewers 
Car Mechanic Simulator 2021,690 viewers 
Deep Rock Galactic,672 viewers 
Photography Simulator,278 viewers 
Brawlhalla,260 viewers 
Artisan TD,245 viewers 
No Rest for the Wicked,244 viewers 
Buckshot Roulette,237 viewers 
American Truck Simulator,234 viewers 
FragPunk,198 viewers 
Drug Dealer Simulator 2,194 viewers 
Astral Ascent,192 viewers 
Green Hell,190 viewers 
No Creeps Were Harmed TD,175 viewers 
Closer the Distance,166 viewers 
Kingdom Rush Vengeance,158 viewers 
Critter Cove,157 viewers 
Until Then,156 viewers 
For The King,154 viewers 
Deadside,152 viewers 
Crime Boss: Rockay City,148 viewers 
KitHack Model Club,147 viewers 
Into the Radius 2,140 viewers 
