GameID,SteamCurrentViewers,Datetime
Gothic 1 Remake,"3,971 viewers ",2024-08-05 12:01
UBOAT,"2,557 viewers ",2024-08-05 12:01
Deep Rock Galactic: Survivor,833 viewers ,2024-08-05 12:01
Kingdom Rush 5: Alliance TD,563 viewers ,2024-08-05 12:01
Euro Truck Simulator 2,511 viewers ,2024-08-05 12:01
Dome Keeper,483 viewers ,2024-08-05 12:01
Car Manufacture,441 viewers ,2024-08-05 12:01
Thank Goodness You're Here!,427 viewers ,2024-08-05 12:01
Car Mechanic Simulator 2021,418 viewers ,2024-08-05 12:01
Castle Crashers,414 viewers ,2024-08-05 12:01
Contraband Police,260 viewers ,2024-08-05 12:01
Brawlhalla,244 viewers ,2024-08-05 12:01
Cooking Simulator,243 viewers ,2024-08-05 12:01
Diplomacy is Not an Option,237 viewers ,2024-08-05 12:01
No Rest for the Wicked,217 viewers ,2024-08-05 12:01
JDM: Rise of the Scorpion,200 viewers ,2024-08-05 12:01
The Riftbreaker,191 viewers ,2024-08-05 12:01
Dark Hours: Prologue,189 viewers ,2024-08-05 12:01
Ogu and the Secret Forest,189 viewers ,2024-08-05 12:01
Trans-Siberian Railway Simulator,189 viewers ,2024-08-05 12:01
Critter Cove,37 viewers ,2024-08-05 12:01
Artisan TD,36 viewers ,2024-08-05 12:01
Abathor,36 viewers ,2024-08-05 12:01
Railway Empire 2,36 viewers ,2024-08-05 12:01
Solasta: Crown of the Magister,35 viewers ,2024-08-05 12:01
Dice & Fold,35 viewers ,2024-08-05 12:01
No Return,35 viewers ,2024-08-05 12:01
Wingspan,34 viewers ,2024-08-05 12:01
WrestleQuest,34 viewers ,2024-08-05 12:01
Timberborn,34 viewers ,2024-08-05 12:01
News Tower,33 viewers ,2024-08-05 12:01
shapez 2,33 viewers ,2024-08-05 12:01
Freaked Fleapit,32 viewers ,2024-08-05 12:01
Echoes of the Plum Grove,32 viewers ,2024-08-05 12:01
Pet Shop Simulator,31 viewers ,2024-08-05 12:01
Sengoku Dynasty,30 viewers ,2024-08-05 12:01
Tomb Explorer VR,30 viewers ,2024-08-05 12:01
This Bed We Made,28 viewers ,2024-08-05 12:01
Stick It to the Stickman,27 viewers ,2024-08-05 12:01
1000xRESIST,27 viewers ,2024-08-05 12:01
Stray Gods: The Roleplaying Musical,27 viewers ,2024-08-05 12:01
Gladiator Guild Manager,26 viewers ,2024-08-05 12:01
Tavern Talk,26 viewers ,2024-08-05 12:01
Wandering Sword,27 viewers ,2024-08-05 12:01
Kingdom Rush Frontiers,27 viewers ,2024-08-05 12:01
Backpack Hero,26 viewers ,2024-08-05 12:01
Dustland Delivery,25 viewers ,2024-08-05 12:01
Cats on Duty,25 viewers ,2024-08-05 12:01
Deathbound,24 viewers ,2024-08-05 12:01
Dungeon Clawler,24 viewers ,2024-08-05 12:01
A Space for the Unbound,24 viewers ,2024-08-05 12:01
Ghostrunner,24 viewers ,2024-08-05 12:01
Dungeons 4,24 viewers ,2024-08-05 12:01
Renfield: Bring Your Own Blood,23 viewers ,2024-08-05 12:01
The Garden Path,23 viewers ,2024-08-05 12:01
Bloodstained: Ritual of the Night,22 viewers ,2024-08-05 12:01
Reus 2,22 viewers ,2024-08-05 12:01
Big Ambitions,22 viewers ,2024-08-05 12:01
Dystopika,22 viewers ,2024-08-05 12:01
Quilts and Cats of Calico,21 viewers ,2024-08-05 12:01
Ship Graveyard Simulator 2,21 viewers ,2024-08-05 12:01
Codename: Ocean Keeper,20 viewers ,2024-08-05 12:01
Meme Mayhem,20 viewers ,2024-08-05 12:01
SUMMERHOUSE,20 viewers ,2024-08-05 12:01
My Horse: Bonded Spirits,19 viewers ,2024-08-05 12:01
Winter Survival,19 viewers ,2024-08-05 12:01
Control Ultimate Edition,19 viewers ,2024-08-05 12:01
Songs Of Silence,19 viewers ,2024-08-05 12:01
PixARK,19 viewers ,2024-08-05 12:01
Space Prison,19 viewers ,2024-08-05 12:01
NIMRODS,19 viewers ,2024-08-05 12:01
Laysara: Summit Kingdom,18 viewers ,2024-08-05 12:01
Athena Crisis,18 viewers ,2024-08-05 12:01
Children of the Sun,18 viewers ,2024-08-05 12:01
Cryptmaster,18 viewers ,2024-08-05 12:01
Invincible Presents: Atom Eve,18 viewers ,2024-08-05 12:01
Potion Permit,18 viewers ,2024-08-05 12:01
The Crush House,17 viewers ,2024-08-05 12:01
Symphony of War: The Nephilim Saga,17 viewers ,2024-08-05 12:01
Little-Known Galaxy,17 viewers ,2024-08-05 12:01
Punch Club 2: Fast Forward,17 viewers ,2024-08-05 12:01
The Star Named Eos,17 viewers ,2024-08-05 12:01
City Bus Manager,17 viewers ,2024-08-05 12:01
Monster Prom 3: Monster Roadtrip,16 viewers ,2024-08-05 12:01
SpellRogue,16 viewers ,2024-08-05 12:01
Astrometica,15 viewers ,2024-08-05 12:01
Farmer's Life,15 viewers ,2024-08-05 12:01
The Emperor and State,15 viewers ,2024-08-05 12:01
Sticky Business,14 viewers ,2024-08-05 12:01
Line War,14 viewers ,2024-08-05 12:01
Dorfromantik,14 viewers ,2024-08-05 12:01
Cyber Paradise,14 viewers ,2024-08-05 12:01
Techtonica,14 viewers ,2024-08-05 12:01
Raiders of Valhalla,14 viewers ,2024-08-05 12:01
Snow Plowing Simulator - First Snow,13 viewers ,2024-08-05 12:01
Die in the Dungeon,13 viewers ,2024-08-05 12:01
shapez,13 viewers ,2024-08-05 12:01
Metal Slug Tactics,14 viewers ,2024-08-05 12:01
Hard Bullet,14 viewers ,2024-08-05 12:01
Sanctuary: Shattered Sun,14 viewers ,2024-08-05 12:01
Jagged Alliance: Rage!,14 viewers ,2024-08-05 12:01
HYPERVIOLENT,14 viewers ,2024-08-05 12:01
Coffee Talk Episode 2: Hibiscus & Butterfly,14 viewers ,2024-08-05 12:01
Sunset Motel: Prologue,14 viewers ,2024-08-05 12:01
Tinkerlands,13 viewers ,2024-08-05 12:01
Aquarist,13 viewers ,2024-08-05 12:01
Be My Horde,13 viewers ,2024-08-05 12:01
Kriegsfront Tactics - Prologue,13 viewers ,2024-08-05 12:01
Director Simulator,13 viewers ,2024-08-05 12:01
Astro Looter: Survivor,13 viewers ,2024-08-05 12:01
Trash of the Titans,11 viewers ,2024-08-05 12:01
Foundation,11 viewers ,2024-08-05 12:01
9-Bit Armies: A Bit Too Far,11 viewers ,2024-08-05 12:01
Hexarchy,11 viewers ,2024-08-05 12:01
Wildmender,11 viewers ,2024-08-05 12:01
Kriegsfront Tactics,11 viewers ,2024-08-05 12:01
Serum,11 viewers ,2024-08-05 12:01
Back to the Dawn,11 viewers ,2024-08-05 12:01
Craft The World,10 viewers ,2024-08-05 12:01
Pets Hotel,10 viewers ,2024-08-05 12:01
Cepheus Protocol,10 viewers ,2024-08-05 12:01
Werewolf: The Apocalypse - Purgatory,10 viewers ,2024-08-05 12:01
Bloomtown: A Different Story,10 viewers ,2024-08-05 12:01
House Builder,10 viewers ,2024-08-05 12:01
Little Big Workshop,10 viewers ,2024-08-05 12:01
SHARK SIEGE - TOGETHER SURVIVAL,10 viewers ,2024-08-05 12:01
Firestone: Online Idle RPG,10 viewers ,2024-08-05 12:01
Rise Of The White Sun,10 viewers ,2024-08-05 12:01
Ghost Watchers,10 viewers ,2024-08-05 12:01
Last Whisper,10 viewers ,2024-08-05 12:01
Chicken Police,10 viewers ,2024-08-05 12:01
Steel Seed,10 viewers ,2024-08-05 12:01
Zoo Simulator: Prologue,10 viewers ,2024-08-05 12:01
HELLCARD,10 viewers ,2024-08-05 12:01
WE ARE FOOTBALL 2024,10 viewers ,2024-08-05 12:01
Neighbours back From Hell,10 viewers ,2024-08-05 12:01
Eyes: The Horror Game,9 viewers ,2024-08-05 12:01
Schism,9 viewers ,2024-08-05 12:01
Nivalis,9 viewers ,2024-08-05 12:01
Survival Nation,9 viewers ,2024-08-05 12:01
OutRage: Fight Fest,9 viewers ,2024-08-05 12:01
Noreya: The Gold Project,9 viewers ,2024-08-05 12:01
Disciples: Liberation,9 viewers ,2024-08-05 12:01
Grit and Valor - 1949,9 viewers ,2024-08-05 12:01
Coromon,9 viewers ,2024-08-05 12:01
Nordic Ashes,9 viewers ,2024-08-05 12:01
Tiny Bookshop,9 viewers ,2024-08-05 12:01
Monster Prom 2: Monster Camp,9 viewers ,2024-08-05 12:01
Townsmen - A Kingdom Rebuilt,9 viewers ,2024-08-05 12:01
Shift 87,9 viewers ,2024-08-05 12:01
ServiceIT: You can do IT,9 viewers ,2024-08-05 12:01
It's Only Money,9 viewers ,2024-08-05 12:01
The Cosmic Wheel Sisterhood,9 viewers ,2024-08-05 12:01
Final Profit: A Shop RPG,8 viewers ,2024-08-05 12:01
FatalZone,8 viewers ,2024-08-05 12:01
Desynced,8 viewers ,2024-08-05 12:01
Phantom Abyss,8 viewers ,2024-08-05 12:01
Into the Dead: Our Darkest Days,8 viewers ,2024-08-05 12:01
A Rat’s Quest,8 viewers ,2024-08-05 12:01
VIDEOVERSE,8 viewers ,2024-08-05 12:01
Bureau of Contacts,8 viewers ,2024-08-05 12:01
FINAL KNIGHT,8 viewers ,2024-08-05 12:01
Pepper Grinder,8 viewers ,2024-08-05 12:01
Deathless,8 viewers ,2024-08-05 12:01
Lunars,8 viewers ,2024-08-05 12:01
Clone Drone in the Danger Zone,8 viewers ,2024-08-05 12:01
Slash Quest,7 viewers ,2024-08-05 12:01
Wizdom Academy,7 viewers ,2024-08-05 12:01
Shardpunk,7 viewers ,2024-08-05 12:01
Akatori,7 viewers ,2024-08-05 12:01
Storage Hustle,7 viewers ,2024-08-05 12:01
Realms of Magic,8 viewers ,2024-08-05 12:01
Yet Another Zombie Survivors,8 viewers ,2024-08-05 12:01
Pixel Cafe,7 viewers ,2024-08-05 12:01
while True: learn(),7 viewers ,2024-08-05 12:01
Hot Lap Racing,7 viewers ,2024-08-05 12:01
Animal Shelter 2,7 viewers ,2024-08-05 12:01
Grow: Song of the Evertree,7 viewers ,2024-08-05 12:01
"Detective Instinct: Farewell, My Beloved",7 viewers ,2024-08-05 12:01
FREERIDE: The Personality Test,7 viewers ,2024-08-05 12:01
Endzone 2,7 viewers ,2024-08-05 12:01
Iron Meat,7 viewers ,2024-08-05 12:01
God Of Weapons,7 viewers ,2024-08-05 12:01
Project Warlock,7 viewers ,2024-08-05 12:01
Everdream Valley,7 viewers ,2024-08-05 12:01
Adrenaline Injection,7 viewers ,2024-08-05 12:01
Vambrace: Dungeon Monarch,7 viewers ,2024-08-05 12:01
Astrea: Six-Sided Oracles,7 viewers ,2024-08-05 12:01
Valley Peaks,7 viewers ,2024-08-05 12:01
URBO,7 viewers ,2024-08-05 12:01
SacriFire,7 viewers ,2024-08-05 12:01
Steam Client,7 viewers ,2024-08-05 12:01
Cato,7 viewers ,2024-08-05 12:01
WAKFU,7 viewers ,2024-08-05 12:01
Let's Minesweeper,7 viewers ,2024-08-05 12:01
Guild Saga: Vanished Worlds,6 viewers ,2024-08-05 12:01
Rogue Command,6 viewers ,2024-08-05 12:01
Total Conflict: Resistance,6 viewers ,2024-08-05 12:01
Airhead,6 viewers ,2024-08-05 12:01
Auto Sale Life: Fresh Start,6 viewers ,2024-08-05 12:01
Roadwarden,6 viewers ,2024-08-05 12:01
Delverium,6 viewers ,2024-08-05 12:01
Cluckmech Oasis,6 viewers ,2024-08-05 12:01
Pape Rangers,6 viewers ,2024-08-05 12:01
Pine Lily Village,6 viewers ,2024-08-05 12:01
63 Days,6 viewers ,2024-08-05 12:01
Kingdom Shell,6 viewers ,2024-08-05 12:01
Brothers: A Tale of Two Sons Remake,6 viewers ,2024-08-05 12:01
Kiyo,6 viewers ,2024-08-05 12:01
Goodbye Volcano High,6 viewers ,2024-08-05 12:01
Poker Master,6 viewers ,2024-08-05 12:01
9 Years of Shadows,6 viewers ,2024-08-05 12:01
Astromeda,6 viewers ,2024-08-05 12:01
ZeroSpace,6 viewers ,2024-08-05 12:01
Endzone - A World Apart,6 viewers ,2024-08-05 12:01
Cyber Knights: Flashpoint,6 viewers ,2024-08-05 12:01
Drop Duchy,5 viewers ,2024-08-05 12:01
Loopstructor,6 viewers ,2024-08-05 12:01
Whirlight,5 viewers ,2024-08-05 12:01
Rent A Car Simulator 24,5 viewers ,2024-08-05 12:01
Mushroom Musume,5 viewers ,2024-08-05 12:01
One Hand Clapping,5 viewers ,2024-08-05 12:01
Storage Hunter,5 viewers ,2024-08-05 12:01
Stellar Settlers,5 viewers ,2024-08-05 12:01
Deconstruction Simulator,5 viewers ,2024-08-05 12:01
Rift Riff,5 viewers ,2024-08-05 12:01
WUCHANG: Fallen Feathers,5 viewers ,2024-08-05 12:01
The Darkest Tales,5 viewers ,2024-08-05 12:01
Portal Fantasy,5 viewers ,2024-08-05 12:01
Seal: WHAT the FUN,5 viewers ,2024-08-05 12:01
Bangkok Story: A Stray Dog,5 viewers ,2024-08-05 12:01
Tormentis,5 viewers ,2024-08-05 12:01
Astro Hunters VR,5 viewers ,2024-08-05 12:01
Prospector,5 viewers ,2024-08-05 12:01
Gourdlets,5 viewers ,2024-08-05 12:01
"Magical Mic Duel: Senpai, Hear My Spell",5 viewers ,2024-08-05 12:01
Chocolate Factory Simulator,5 viewers ,2024-08-05 12:01
Townsmen VR,5 viewers ,2024-08-05 12:01
