遊戲名稱,APPID,平台
NARAKA: BLADEPOINT,1203220,['win']
The First Descendant,2074920,['win']
Once Human,2139460,['win']
PUBG: BATTLEGROUNDS,578080,['win']
Counter-Strike 2,730,"['win', 'linux']"
Apex Legends™,1172470,['win']
Snowbreak: Containment Zone,2668080,['win']
Minds Beneath Us,1610440,['win']
Sekiro™: Shadows Die Twice - GOTY Edition,814380,['win']
Hero's Land,2349820,['win']
ELDEN RING,1245620,['win']
Conqueror's Blade,835570,['win']
Warframe,230410,['win']
RiichiCity - ACG mahjong games,1954420,"['win', 'mac', 'linux']"
Lost Castle 2,2445690,['win']
Grand Theft Auto V,271590,['win']
ASTRA: Knights of Veda,2484250,['win']
Black Myth: Wukong,2358720,['win']
Eternal Return,1049590,['win']
Dead by Daylight,381210,['win']
Chained Together,2567870,['win']
World of Warships,552990,['win']
Summoners War,2426960,['win']
ELDEN RING Shadow of the Erdtree,2778580,['win']
Xuan-Yuan Sword: Mists Beyond the Mountains,1638230,['win']
Ghost of Tsushima DIRECTOR'S CUT,2215430,['win']
Enshrouded,1203620,['win']
Baldur's Gate 3,1086940,"['win', 'mac']"
Kingdom Rush 5: Alliance TD,2849080,"['win', 'mac']"
7 Days to Die,251570,"['win', 'mac', 'linux']"
Cataclismo,1422440,['win']
Overcooked! 2,728880,"['win', 'mac', 'linux']"
hololive Treasure Mountain,2972990,"['win', 'mac']"
Street Fighter™ 6,1364780,['win']
Dead Island 2,934700,['win']
Rust,252490,"['win', 'mac']"
MOBILE SUIT GUNDAM BATTLE OPERATION 2,1367080,['win']
Dark and Darker,2016590,['win']
Black Desert,582660,['win']
Palworld,1623730,['win']
Overwatch® 2,2357570,['win']
Euro Truck Simulator 2,227300,"['win', 'mac', 'linux']"
ROMANCE OF THE THREE KINGDOMS XIV,872410,['win']
REMNANT II®,1282100,['win']
GrandChase,985810,['win']
Diablo® IV,2344520,['win']
Cities: Skylines II,949230,['win']
War Thunder,236390,"['win', 'mac', 'linux', 'group_separator']"
Astral Party ,2622000,['win']
Torchlight: Infinite,1974050,['win']
GUNDAM BREAKER 4,1672500,['win']
Marvel's Guardians of the Galaxy,1088850,['win']
Stray,1332010,"['win', 'mac']"
Age of Empires II: Definitive Edition,813780,['win']
Resident Evil 4,2050650,['win']
Raft,648800,['win']
Yu-Gi-Oh! Master Duel,1449850,['win']
Nine Sols,1809540,"['win', 'mac']"
Black Squad,550650,['win']
Wallpaper Engine,431960,['win']
Call of Duty®: Warzone™,1962663,['win']
Manor Lords,1363080,['win']
Sun Haven,1432860,"['win', 'mac']"
Deep Rock Galactic,548430,['win']
Call of Duty®,1938090,['win']
WARRIORS OROCHI 4,831560,['win']
Astral Ascent,1280930,"['win', 'mac', 'linux']"
Song Of The Prairie,1350840,['win']
Russian Fishing 4,766570,['win']
Forza Horizon 5,1551360,['win']
V Rising,1604030,['win']
Phantasy Star Online 2 New Genesis,1056640,['win']
The Sims™ 4,1222670,['win']
Stardew Valley,413150,"['win', 'mac', 'linux']"
Party Animals,1260320,['win']
Call of Duty®: Modern Warfare® III,2519060,['win']
Sword Art Online: Integral Factor,2371630,['win']
MotoGP™24,2581700,['win']
NBA 2K24,2338770,['win']
Monster Hunter: World,582010,['win']
ARK: Survival Evolved,346110,"['win', 'mac']"
Conan Exiles,440900,['win']
Fate/Samurai Remnant,1902690,['win']
Sword and Fairy 7,1543030,['win']
Dome Keeper,1637320,"['win', 'mac', 'linux']"
Age of Mythology: Retold,1934680,['win']
Escape Simulator,1435790,"['win', 'mac', 'linux', 'group_separator']"
Project Zomboid,108600,"['win', 'mac', 'linux']"
HELLDIVERS™ 2,553850,['win']
Romance of the Three Kingdoms XIII,363150,['win']
Shadowverse CCG,453480,"['win', 'mac']"
Myth of Empires,1371580,['win']
UNDECEMBER,1549250,['win']
Lethal Company,1966720,['win']
Human Fall Flat,477160,"['win', 'mac']"
Kunitsu-Gami: Path of the Goddess,2510710,['win']
Element TD 2 - Tower Defense,1018830,['win']
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,2197680,['win']
Azure Orphanage,2398590,['win']
Arma 3,107410,"['win', 'mac']"
Wandering Sword,1876890,['win']
Call of Duty®: Modern Warfare® III - BlackCell (Season 5),2790720,['win']
Norland,1857090,['win']
Granado Espada,663090,['win']
THE FINALS,2073850,['win']
Resident Evil 7 Biohazard,418370,['win']
Visions of Mana,2490990,['win']
Ready or Not,1144200,['win']
Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator,2594920,['win']
WARRIORS OROCHI 3 Ultimate Definitive Edition,1879330,['win']
Age of Empires IV: Anniversary Edition,1466860,['win']
"Warhammer 40,000: Space Marine 2",2183900,['win']
Deep Rock Galactic: Survivor,2321470,['win']
DEAD OR ALIVE Xtreme Venus Vacation,958260,['win']
Lost Light,1797880,['win']
Dungeon Fighter Online,495910,['win']
Shin Megami Tensei V: Vengeance,1875830,['win']
Wo Long: Fallen Dynasty,1448440,['win']
Total War: WARHAMMER III,1142710,"['win', 'mac', 'linux']"
Frontier Hunter: Erza’s Wheel of Fortune,1429500,"['win', 'mac']"
Nioh 2 – The Complete Edition,1325200,['win']
Ultimate Chicken Horse,386940,"['win', 'mac', 'linux']"
Albion Online,761890,"['win', 'mac', 'linux']"
Hell Let Loose,686810,['win']
F1® 23,2108330,"['win', 'group_separator']"
Destiny 2,1085660,['win']
Company of Heroes 3,1677280,['win']
Car Mechanic Simulator 2021,1190000,['win']
Terraria,105600,"['win', 'mac', 'linux']"
Assetto Corsa,244210,"['win', 'group_separator']"
Thronefall,2239150,"['win', 'mac']"
Xuan-Yuan Sword VII,1249800,['win']
Operation: Tango,1335790,['win']
Tom Clancy's Rainbow Six® Siege,359550,['win']
Atelier Sophie 2: The Alchemist of the Mysterious Dream,1621310,['win']
A Little to the Left,1629520,"['win', 'mac']"
No Creeps Were Harmed TD,1932260,['win']
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,278080,['win']
DYNASTY WARRIORS 9 Empires,1341200,['win']
Total War: THREE KINGDOMS,779340,"['win', 'mac', 'linux']"
Microsoft Flight Simulator 40th Anniversary Edition,1250410,"['win', 'group_separator']"
Tom Clancy’s The Division® 2,2221490,['win']
Hollow Knight,367520,"['win', 'mac', 'linux']"
DRAGON BALL: Sparking! ZERO,1790600,['win']
Dota 2,570,"['win', 'mac', 'linux']"
Cyberpunk 2077,1091500,['win']
Muse Dash,774171,"['win', 'mac']"
MY HERO ONE'S JUSTICE 2,1058450,['win']
Resident Evil Village,1196590,['win']
MONSTER HUNTER RISE,1446780,['win']
