GameName,SteamCurrentViewers,Datetime
Zero Orders Tactics,"4,544 viewers ",2024-08-10 12:01
Fields of Mistria,"4,188 viewers ",2024-08-10 12:01
Prince of Persia The Lost Crown,"1,981 viewers ",2024-08-10 12:01
Euro Truck Simulator 2,722 viewers ,2024-08-10 12:01
"Warhammer 40,000: Speed Freeks",678 viewers ,2024-08-10 12:01
Cat Quest III,643 viewers ,2024-08-10 12:01
UBOAT,560 viewers ,2024-08-10 12:01
Train Valley World,491 viewers ,2024-08-10 12:01
The Crush House,466 viewers ,2024-08-10 12:01
Knock on the Coffin Lid,395 viewers ,2024-08-10 12:01
Knock on the Coffin Lid,409 viewers ,2024-08-10 12:01
Ratten Reich,387 viewers ,2024-08-10 12:01
JDM: Rise of the Scorpion,360 viewers ,2024-08-10 12:01
DREDGE,333 viewers ,2024-08-10 12:01
Inscryption,321 viewers ,2024-08-10 12:01
Enlisted,320 viewers ,2024-08-10 12:01
Buckshot Roulette,305 viewers ,2024-08-10 12:01
Thank Goodness You're Here!,293 viewers ,2024-08-10 12:01
Dark Hours,264 viewers ,2024-08-10 12:01
V Rising,259 viewers ,2024-08-10 12:01
Deathbound,231 viewers ,2024-08-10 12:01
Stray Cats in Cozy Town,223 viewers ,2024-08-10 12:01
Kingdom Rush 5: Alliance TD,207 viewers ,2024-08-10 12:01
ASKA,202 viewers ,2024-08-10 12:01
Brawlhalla,196 viewers ,2024-08-10 12:01
Dark Hours: Prologue,195 viewers ,2024-08-10 12:01
World of Warships,191 viewers ,2024-08-10 12:01
Mini Settlers,191 viewers ,2024-08-10 12:01
Farming Simulator 22,188 viewers ,2024-08-10 12:01
Creatures of Ava,182 viewers ,2024-08-10 12:01
World of Warships,173 viewers ,2024-08-10 12:01
Into the Radius 2,172 viewers ,2024-08-10 12:01
Mini Settlers,169 viewers ,2024-08-10 12:01
Deep Rock Galactic: Survivor,137 viewers ,2024-08-10 12:01
Backpack Battles,131 viewers ,2024-08-10 12:01
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,131 viewers ,2024-08-10 12:01
Infection Free Zone,130 viewers ,2024-08-10 12:01
Car Manufacture,129 viewers ,2024-08-10 12:01
FragPunk,125 viewers ,2024-08-10 12:01
Snufkin: Melody of Moominvalley,124 viewers ,2024-08-10 12:01
That Time I Got Reincarnated as a Slime ISEKAI Chronicles,123 viewers ,2024-08-10 12:01
Snufkin: Melody of Moominvalley,123 viewers ,2024-08-10 12:01
Kunitsu-Gami: Path of the Goddess,121 viewers ,2024-08-10 12:01
Atlas Fallen,119 viewers ,2024-08-10 12:01
X4: Foundations,117 viewers ,2024-08-10 12:01
Green Hell,114 viewers ,2024-08-10 12:01
Car Mechanic Simulator 2021,103 viewers ,2024-08-10 12:01
Dungeons 4,102 viewers ,2024-08-10 12:01
The Operator,99 viewers ,2024-08-10 12:01
Travellers Rest,95 viewers ,2024-08-10 12:01
Until Then,95 viewers ,2024-08-10 12:01
Drug Dealer Simulator 2,88 viewers ,2024-08-10 12:01
Metaphor: ReFantazio,87 viewers ,2024-08-10 12:01
Gladiator Guild Manager,85 viewers ,2024-08-10 12:01
shapez 2,79 viewers ,2024-08-10 12:01
Worshippers of Cthulhu,78 viewers ,2024-08-10 12:01
The Mortuary Assistant,75 viewers ,2024-08-10 12:01
RISK: Global Domination,74 viewers ,2024-08-10 12:01
Operation: Polygon Storm,70 viewers ,2024-08-10 12:01
Terra Nil,67 viewers ,2024-08-10 12:01
Metaphor: ReFantazio,69 viewers ,2024-08-10 12:01
Arcade Paradise,65 viewers ,2024-08-10 12:01
CONSCRIPT,64 viewers ,2024-08-10 12:01
The Mortuary Assistant,62 viewers ,2024-08-10 12:01
Screw Drivers,62 viewers ,2024-08-10 12:01
No Rest for the Wicked,58 viewers ,2024-08-10 12:01
Cooking Simulator,58 viewers ,2024-08-10 12:01
Astral Ascent,56 viewers ,2024-08-10 12:01
Flintlock: The Siege of Dawn,56 viewers ,2024-08-10 12:01
Gas Station Simulator,56 viewers ,2024-08-10 12:01
Kingdom Rush Vengeance,55 viewers ,2024-08-10 12:01
Retail Company Simulator,54 viewers ,2024-08-10 12:01
Contraband Police,53 viewers ,2024-08-10 12:01
Go-Go Town!,53 viewers ,2024-08-10 12:01
Thronefall,51 viewers ,2024-08-10 12:01
Mini Airways,50 viewers ,2024-08-10 12:01
Crime Boss: Rockay City,50 viewers ,2024-08-10 12:01
Ale & Tale Tavern,49 viewers ,2024-08-10 12:01
Anger Foot,49 viewers ,2024-08-10 12:01
TerraScape,47 viewers ,2024-08-10 12:01
Fablecraft,46 viewers ,2024-08-10 12:01
Frontier Hunter: Erza’s Wheel of Fortune,45 viewers ,2024-08-10 12:01
Gold Mining Simulator,45 viewers ,2024-08-10 12:01
Visions of Mana,45 viewers ,2024-08-10 12:01
Retail Company Simulator: Prologue,44 viewers ,2024-08-10 12:01
