Rank,GameID,GameName,CurrentPlayers,PeakPlayers,Cost,Datetime
1,2358720,Black Myth: Wukong,"1,233,032","2,298,028","NT$ 1,280.00",2024-08-24 12:01
2,730,Counter-Strike 2,"642,911","1,291,711",Free To Play,2024-08-24 12:01
3,2923300,Banana,"359,967","488,078",Free To Play,2024-08-24 12:01
4,570,Dota 2,"290,504","673,585",Free To Play,2024-08-24 12:01
5,578080,PUBG: BATTLEGROUNDS,"177,176","607,145",Free To Play,2024-08-24 12:01
6,2139460,Once Human,"95,452","131,199",Free To Play,2024-08-24 12:01
7,1172470,Apex Legends™,"91,818","200,543",Free To Play,2024-08-24 12:01
8,271590,Grand Theft Auto V,"84,385","158,159",NT$ 480.00,2024-08-24 12:01
9,1203220,NARAKA: BLADEPOINT,"77,723","227,476",Free To Play,2024-08-24 12:01
10,431960,Wallpaper Engine,"75,854","112,465",NT$ 120.00,2024-08-24 12:01
11,1938090,Call of Duty®,"72,039","81,698",NT$ 120.00,2024-08-24 12:01
12,1086940,Baldur's Gate 3,"70,000","83,343","NT$ 1,599.00",2024-08-24 12:01
13,1245620,ELDEN RING,"63,031","73,889","NT$ 1,790.00",2024-08-24 12:01
14,252490,Rust,"59,797","110,371",NT$ 694.00,2024-08-24 12:01
15,413150,Stardew Valley,"57,383","86,372",NT$ 398.00,2024-08-24 12:01
16,359550,Tom Clancy's Rainbow Six® Siege,"55,945","58,454",NT$ 569.00,2024-08-24 12:01
17,440,Team Fortress 2,"55,127","66,443",Free To Play,2024-08-24 12:01
18,289070,Sid Meier’s Civilization® VI,"52,197","68,432",NT$ 179.00,2024-08-24 12:01
19,251570,7 Days to Die,"49,698","66,244",NT$ 670.00,2024-08-24 12:01
20,236390,War Thunder,"49,332","84,369",Free To Play,2024-08-24 12:01
21,230410,Warframe,"48,823","61,559",Free To Play,2024-08-24 12:01
22,238960,Path of Exile(not available in your region),"45,632","79,317",Free To Play,2024-08-24 12:01
23,2357570,Overwatch® 2,"45,588","55,972",Free To Play,2024-08-24 12:01
24,1966720,Lethal Company,"39,895","40,297",NT$ 188.00,2024-08-24 12:01
25,2074920,The First Descendant,"39,184","47,400",Free To Play,2024-08-24 12:01
26,1085660,Destiny 2,"36,323","38,045",Free To Play,2024-08-24 12:01
27,105600,Terraria,"36,145","36,177",NT$ 188.00,2024-08-24 12:01
28,438100,VRChat,"36,056","42,401",Free To Play,2024-08-24 12:01
29,436150,Governor of Poker 3,"35,647","44,066",Free To Play,2024-08-24 12:01
30,2195250,EA SPORTS FC™ 24,"35,428","57,134","NT$ 1,999.00",2024-08-24 12:01
31,381210,Dead by Daylight,"34,828","45,428",NT$ 379.00,2024-08-24 12:01
32,582010,Monster Hunter: World,"34,291","59,955",NT$ 303.00,2024-08-24 12:01
33,1422450,Deadlock,"32,106","32,614",Coming Soon,2024-08-24 12:01
34,2252570,Football Manager 2024,"32,075","67,528","NT$ 1,299.00",2024-08-24 12:01
35,550,Left 4 Dead 2,"29,996","31,048",NT$ 188.00,2024-08-24 12:01
36,394360,Hearts of Iron IV,"27,330","49,433","NT$ 1,268.00",2024-08-24 12:01
37,1366800,Crosshair X,"27,014","34,627",NT$ 144.00,2024-08-24 12:01
38,1222670,The Sims™ 4,"26,755","38,067",Free To Play,2024-08-24 12:01
39,39210,FINAL FANTASY XIV Online(not available in your region),"26,549","32,330",Free To Play,2024-08-24 12:01
40,553850,HELLDIVERS™ 2,"26,491","28,530","NT$ 1,190.00",2024-08-24 12:01
41,221100,DayZ,"25,127","46,533","NT$ 1,499.00",2024-08-24 12:01
42,1782210,Crab Game,"24,536","47,381",Free To Play,2024-08-24 12:01
43,1091500,Cyberpunk 2077,"24,284","32,279","NT$ 1,599.00",2024-08-24 12:01
44,108600,Project Zomboid,"23,302","26,164",NT$ 328.00,2024-08-24 12:01
45,1623730,Palworld,"22,490","30,903",NT$ 488.00,2024-08-24 12:01
46,322330,Don't Starve Together,"21,154","41,167",NT$ 268.00,2024-08-24 12:01
47,489830,The Elder Scrolls V: Skyrim Special Edition,"20,916","26,250","NT$ 1,199.00",2024-08-24 12:01
48,294100,RimWorld,"20,614","24,516",NT$ 529.00,2024-08-24 12:01
49,594650,Hunt: Showdown 1896,"20,573","37,662",NT$ 799.00,2024-08-24 12:01
50,1174180,Red Dead Redemption 2,"20,437","29,589","NT$ 1,790.00",2024-08-24 12:01
51,346110,ARK: Survival Evolved,"20,223","32,255",NT$ 268.00,2024-08-24 12:01
52,252950,Rocket League®,"19,733","28,269",NT$ 268.00,2024-08-24 12:01
53,2344520,Diablo® IV,"19,425","26,027",NT$ 945.00,2024-08-24 12:01
54,2977660,Cats,"19,199","27,219",Free To Play,2024-08-24 12:01
55,1449850,Yu-Gi-Oh! Master Duel,"18,698","23,899",Free To Play,2024-08-24 12:01
56,304930,Unturned,"18,390","28,837",Free To Play,2024-08-24 12:01
57,1158310,Crusader Kings III,"17,871","27,410","NT$ 1,268.00",2024-08-24 12:01
58,1142710,Total War: WARHAMMER III,"17,503","26,610","NT$ 1,790.00",2024-08-24 12:01
59,377160,Fallout 4,"17,376","22,940",NT$ 599.00,2024-08-24 12:01
60,1599340,Lost Ark(not available in your region),"17,213","23,013",NT$ 599.00,2024-08-24 12:01
61,1623660,MIR4,"17,194","17,916",Free To Play,2024-08-24 12:01
62,4000,Garry's Mod,"17,089","30,463",NT$ 278.00,2024-08-24 12:01
63,813780,Age of Empires II: Definitive Edition,"16,911","19,775",NT$ 679.00,2024-08-24 12:01
64,739630,Phasmophobia,"15,687","24,976",NT$ 248.00,2024-08-24 12:01
65,892970,Valheim,"15,543","23,550",NT$ 318.00,2024-08-24 12:01
66,8930,Sid Meier's Civilization® V,"15,268","20,690",NT$ 223.00,2024-08-24 12:01
67,2709570,Supermarket Together,"14,717","29,432",Free To Play,2024-08-24 12:01
