App_Id,Name,Operation_Date,Rating_Summary,Total_Number_of_Rating,Cost,Game_Tag,Category,Datetime
2074920,The First Descendant,"Jun 30, 2024",Mixed,"| 73,221 User Reviews",Free To Play,"['Free to Play', 'Looter Shooter', 'Multiplayer', 'RPG', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Action RPG', 'Sexual Content', 'Shooter', 'Third Person', 'Adventure', 'Singleplayer', 'Sci-fi', 'Character Customization', 'Co-op', 'Story Rich', 'PvE', 'Combat', 'Violent']",action_tps,2024-08-05 12:10
578080,PUBG: BATTLEGROUNDS,"Dec 21, 2017",Mixed,"| 2,403,472 User Reviews",Free To Play,"['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']",action_tps,2024-08-05 12:10
271590,Grand Theft Auto V,"Apr 13, 2015",Very Positive,"| 1,682,500 User Reviews",NT$ 662.00,"['Open World', 'Action', 'Multiplayer', 'Crime', 'Automobile Sim', 'Third Person', 'First-Person', 'Mature', 'Shooter', 'Adventure', 'Singleplayer', 'Third-Person Shooter', 'Racing', 'Co-op', 'Sandbox', 'Atmospheric', 'Funny', 'Great Soundtrack', 'Comedy', 'Moddable']",action_tps,2024-08-05 12:10
2668080,Snowbreak: Containment Zone,"Dec 25, 2023",Very Positive,"| 4,648 User Reviews",Free To Play,"['Third-Person Shooter', 'Anime', 'RPG', 'Shooter', 'Action', '3D', 'JRPG', 'Sci-fi', 'Singleplayer', 'Free to Play', 'Co-op', '3D Platformer', 'Cute', 'Online Co-Op', 'Action RPG', 'Story Rich', 'Multiplayer', 'Hentai', 'Nudity', 'Adventure']",action_tps,2024-08-05 12:10
1282100,REMNANT II®,"Jul 25, 2023",Very Positive,"| 36,558 User Reviews",NT$ 550.00,"['Souls-like', 'Action', 'Adventure', 'Co-op', 'RPG', 'Third-Person Shooter', 'Shooter', 'Dark', 'Action-Adventure', 'Post-apocalyptic', 'Multiplayer', 'Online Co-Op', 'Combat', 'Third Person', 'Horror', 'Atmospheric', 'PvE', 'Controller', 'Singleplayer', 'Gore']",action_tps,2024-08-05 12:10
553850,HELLDIVERS™ 2,"Feb 8, 2024",Mostly Positive,"| 653,500 User Reviews","NT$ 1,190.00","['Online Co-Op', 'Third-Person Shooter', 'Multiplayer', 'PvE', 'Action', 'Shooter', 'Co-op', 'Sci-fi', 'Capitalism', 'Space', 'Third Person', 'Extraction Shooter', 'Comedy', 'Gore', 'Violent', 'Great Soundtrack', 'Difficult', 'Psychological Horror', 'Singleplayer', 'Open World']",action_tps,2024-08-05 12:10
1659040,HITMAN World of Assassination,"Jan 20, 2022",Very Positive,"| 25,431 User Reviews",NT$ 48.00,"['Stealth', 'Assassin', 'Action', 'Singleplayer', 'VR', 'Sandbox', 'Violent', 'Shooter', 'Third-Person Shooter', 'Third Person', 'Adventure', 'Realistic', 'Cinematic', 'Puzzle', 'Funny', 'Gore', 'Multiplayer', 'Open World', 'Immersive Sim', 'Capitalism']",action_tps,2024-08-05 12:10
2291060,EARTH DEFENSE FORCE 6,"Jul 25, 2024",Mixed,"| 3,550 User Reviews","NT$ 1,755.00","['Action', 'Third-Person Shooter', 'Shooter', '3D', 'Sci-fi', 'Online Co-Op', 'PvE', 'Singleplayer', 'Multiplayer', 'Co-op', 'Local Co-Op', 'Gore', 'Local Multiplayer', 'Violent', 'Mechs']",action_tps,2024-08-05 12:10
1088850,Marvel's Guardians of the Galaxy,"Oct 26, 2021",Very Positive,"| 27,082 User Reviews",NT$ 298.00,"['Singleplayer', 'Story Rich', 'Action', 'Action-Adventure', 'Third-Person Shooter', 'Superhero', 'Choices Matter', 'Comedy', 'Exploration', 'Adventure', 'Sci-fi', 'Space', 'Shooter', 'Cinematic', 'Great Soundtrack', 'Atmospheric', 'Aliens', 'RPG', 'Open World', 'Violent']",action_tps,2024-08-05 12:10
2524890,Pixel Gun 3D: PC Edition,"Apr 2, 2024",Mixed,"| 26,968 User Reviews",Free To Play,"['PvP', 'Pixel Graphics', 'Multiplayer', 'Shooter', 'Character Customization', 'Action', 'FPS', 'Combat', 'First-Person', 'Arena Shooter', 'Battle Royale', 'Singleplayer', 'Third-Person Shooter', 'Hero Shooter', 'Adventure', 'Lore-Rich', 'Colorful', 'Sniper', 'Voxel', 'Cartoony']",action_tps,2024-08-05 12:10
