GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
2139460,Once Human,"Jul 9, 2024",Mostly Positive,"| 61,441 User Reviews",Free To Play,"['Survival', 'Open World', 'Multiplayer', 'Free to Play', 'Co-op', 'Shooter', 'Action', 'Post-apocalyptic', 'Base Building', 'Adventure', 'Horror', 'Strategy', 'Simulation', '3D', 'RPG', 'Action-Adventure', 'MMORPG', 'PvP', 'Strategy RPG', 'Singleplayer']",adventure,2024-08-05 12:10
2074920,The First Descendant,"Jun 30, 2024",Mixed,"| 73,221 User Reviews",Free To Play,"['Free to Play', 'Looter Shooter', 'Multiplayer', 'RPG', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Action RPG', 'Sexual Content', 'Shooter', 'Third Person', 'Adventure', 'Singleplayer', 'Sci-fi', 'Character Customization', 'Co-op', 'Story Rich', 'PvE', 'Combat', 'Violent']",adventure,2024-08-05 12:10
271590,Grand Theft Auto V,"Apr 13, 2015",Very Positive,"| 1,682,500 User Reviews",NT$ 662.00,"['Open World', 'Action', 'Multiplayer', 'Crime', 'Automobile Sim', 'Third Person', 'First-Person', 'Mature', 'Shooter', 'Adventure', 'Singleplayer', 'Third-Person Shooter', 'Racing', 'Co-op', 'Sandbox', 'Atmospheric', 'Funny', 'Great Soundtrack', 'Comedy', 'Moddable']",adventure,2024-08-05 12:10
1086940,Baldur's Gate 3,"Aug 3, 2023",Overwhelmingly Positive,"| 565,670 User Reviews","NT$ 1,599.00","['RPG', 'Character Customization', 'Choices Matter', 'Story Rich', 'Turn-Based Combat', 'Dungeons & Dragons', 'CRPG', 'Adventure', 'Fantasy', 'Online Co-Op', 'Romance', 'Multiplayer', 'Strategy', 'Singleplayer', 'Sexual Content', 'Co-op Campaign', 'Class-Based', 'Dark Fantasy', 'Combat', 'Nudity']",adventure,2024-08-05 12:10
814380,Sekiro™: Shadows Die Twice - GOTY Edition,"Mar 21, 2019",Overwhelmingly Positive,"| 212,844 User Reviews",NT$ 795.00,"['Souls-like', 'Difficult', 'Action', 'Singleplayer', 'Ninja', 'Stealth', 'Adventure', 'Third Person', 'Open World', 'Story Rich', 'Violent', 'Atmospheric', 'Assassin', 'Dark Fantasy', 'Hack and Slash', 'RPG', 'Gore', 'Great Soundtrack', 'Rhythm', 'Dark']",adventure,2024-08-05 12:10
2778580,ELDEN RING Shadow of the Erdtree,"Jun 20, 2024",Mostly Positive,"| 76,075 User Reviews","NT$ 1,190.00","['Action', 'RPG', 'Souls-like', 'Difficult', 'Fantasy', 'Dark', 'Lore-Rich', 'Exploration', 'Adventure', 'Story Rich', 'Third Person', 'Singleplayer', 'PvE', 'Action RPG', 'Character Customization', 'PvP', 'Online Co-Op', 'Multiplayer', 'Co-op', '3D']",adventure,2024-08-05 12:10
2567870,Chained Together,"Jun 19, 2024",Very Positive,"| 21,770 User Reviews",NT$ 102.00,"['Adventure', 'Co-op', 'Casual', 'Platformer', 'Simulation', 'Puzzle Platformer', 'Action-Adventure', '3D Platformer', 'Third Person', 'Exploration', 'Funny', 'Mystery', 'Post-apocalyptic', 'Online Co-Op', 'Emotional', 'Surreal', 'Physics', 'Multiplayer', 'Choices Matter', 'Controller']",adventure,2024-08-05 12:10
1551360,Forza Horizon 5,"Nov 9, 2021",Very Positive,"| 173,064 User Reviews","NT$ 1,688.00","['Racing', 'Open World', 'Driving', 'Multiplayer', 'Automobile Sim', 'Realistic', 'Adventure', 'Simulation', 'Arcade', 'Exploration', 'First-Person', 'Atmospheric', 'Sports', 'Co-op', 'PvP', 'Online Co-Op', 'Singleplayer', 'Beautiful', 'Action', 'VR']",adventure,2024-08-05 12:10
1364780,Street Fighter™ 6,"Jun 1, 2023",Very Positive,"| 28,001 User Reviews","NT$ 1,680.00","['2D Fighter', 'Fighting', 'Character Customization', 'Action', 'Arcade', 'Multiplayer', 'Adventure', 'Competitive', 'PvP', 'eSports', 'Singleplayer', 'Open World', 'Local Multiplayer', 'Controller', '3D', 'Action RPG', 'Great Soundtrack', 'Sandbox', 'Martial Arts', 'LGBTQ+']",adventure,2024-08-05 12:10
1623730,Palworld,"Jan 19, 2024",Very Positive,"| 270,721 User Reviews",NT$ 488.00,"['Open World', 'Multiplayer', 'Survival', 'Creature Collector', 'Open World Survival Craft', 'Crafting', 'Co-op', 'Adventure', 'Sandbox', 'Third-Person Shooter', 'Automation', 'Action', 'Early Access', 'RPG', 'Anime', 'PvE', '3D', 'Indie', 'Looter Shooter', 'Hack and Slash']",adventure,2024-08-05 12:10
1203620,Enshrouded,"Jan 24, 2024",Very Positive,"| 48,300 User Reviews",NT$ 399.00,"['Open World', 'Survival', 'Base Building', 'Multiplayer', 'Online Co-Op', 'Crafting', 'RPG', 'Action RPG', 'Building', 'Adventure', 'Singleplayer', 'Exploration', 'Early Access', 'Fantasy', 'Sandbox', 'Character Customization', 'Action', 'PvE', '3D', 'Indie']",adventure,2024-08-05 12:10
2215430,Ghost of Tsushima DIRECTOR'S CUT,"May 16, 2024",Very Positive,"| 24,548 User Reviews","NT$ 1,490.00","['Action', 'Open World', 'Adventure', 'Story Rich', 'Singleplayer', 'Third Person', 'Stealth', 'Combat', 'Ninja', 'Action-Adventure', 'Souls-like', 'Action RPG', 'Atmospheric', 'Historical', 'Multiplayer', 'Gore', 'Violent', 'Online Co-Op', 'Exploration', 'Co-op']",adventure,2024-08-05 12:10
