GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
2139460,Once Human,"Jul 9, 2024",Mostly Positive,"| 68,609 User Reviews",Free To Play,"['Survival', 'Open World', 'Multiplayer', 'Free to Play', 'Co-op', 'Shooter', 'Post-apocalyptic', 'Action', 'Base Building', 'Horror', 'Adventure', 'Strategy', 'Simulation', '3D', 'RPG', 'Action-Adventure', 'MMORPG', 'PvP', 'Singleplayer', 'Strategy RPG']",adventure_rpg,2024-08-13 22:37
2074920,The First Descendant,"Jun 30, 2024",Mixed,"| 76,444 User Reviews",Free To Play,"['Free to Play', 'Looter Shooter', 'Multiplayer', 'RPG', 'Third-Person Shooter', 'Sexual Content', 'Action', 'Online Co-Op', 'Action RPG', 'Shooter', 'Third Person', 'Adventure', 'Singleplayer', 'Sci-fi', 'Character Customization', 'Co-op', 'PvE', 'Story Rich', 'Combat', 'Violent']",adventure_rpg,2024-08-13 22:37
1086940,Baldur's Gate 3,"Aug 3, 2023",Overwhelmingly Positive,"| 568,058 User Reviews","NT$ 1,599.00","['RPG', 'Character Customization', 'Choices Matter', 'Story Rich', 'Turn-Based Combat', 'Dungeons & Dragons', 'CRPG', 'Adventure', 'Fantasy', 'Online Co-Op', 'Romance', 'Multiplayer', 'Strategy', 'Sexual Content', 'Singleplayer', 'Co-op Campaign', 'Class-Based', 'Dark Fantasy', 'Combat', 'Nudity']",adventure_rpg,2024-08-13 22:37
582010,Monster Hunter: World,"Aug 8, 2018",Very Positive,"| 271,614 User Reviews",NT$ 303.00,"['Co-op', 'Multiplayer', 'Action', 'Open World', 'RPG', 'Third Person', 'Character Customization', 'Adventure', 'Fantasy', 'Difficult', 'Action RPG', 'Singleplayer', 'Exploration', 'Great Soundtrack', 'Replay Value', 'Atmospheric', 'Hack and Slash', 'JRPG', 'Souls-like', 'MMORPG']",adventure_rpg,2024-08-13 22:37
2778580,ELDEN RING Shadow of the Erdtree,"Jun 20, 2024",Mostly Positive,"| 76,901 User Reviews","NT$ 1,190.00","['Action', 'RPG', 'Souls-like', 'Difficult', 'Fantasy', 'Dark', 'Lore-Rich', 'Exploration', 'Adventure', 'Story Rich', 'Third Person', 'Singleplayer', 'PvE', 'Character Customization', 'Action RPG', 'PvP', 'Online Co-Op', 'Multiplayer', 'Co-op', '3D']",adventure_rpg,2024-08-13 22:37
2161700,Persona 3 Reload,"Feb 2, 2024",Overwhelmingly Positive,"| 17,524 User Reviews","NT$ 1,134.00","['JRPG', 'RPG', 'Anime', 'Party-Based RPG', 'Adventure', 'Turn-Based Strategy', 'Strategy', 'Dating Sim', 'Strategy RPG', 'Dark', 'Story Rich', 'Visual Novel', 'Emotional', 'Colorful', 'Turn-Based Combat', 'Mystery', 'Supernatural', 'Detective', 'Great Soundtrack', 'Multiple Endings']",adventure_rpg,2024-08-13 22:37
292030,The Witcher 3: Wild Hunt,"May 18, 2015",Overwhelmingly Positive,"| 720,110 User Reviews",NT$ 217.00,"['Open World', 'RPG', 'Story Rich', 'Atmospheric', 'Mature', 'Fantasy', 'Adventure', 'Singleplayer', 'Nudity', 'Choices Matter', 'Great Soundtrack', 'Third Person', 'Medieval', 'Action', 'Multiple Endings', 'Action RPG', 'Magic', 'Dark Fantasy', 'Dark', 'Sandbox']",adventure_rpg,2024-08-13 22:37
1973710,ヘブンバーンズレッド,"Aug 10, 2022",Very Positive,"| 3,844 User Reviews",Free To Play,"['Singleplayer', 'RPG', 'Free to Play', 'Visual Novel', 'Adventure', '3D', 'Story Rich', 'Emotional', '2D', 'Anime', 'Cute', 'Exploration', 'Sci-fi', 'Controller', 'Female Protagonist', 'Choices Matter', 'Comedy', 'Drama', 'Choose Your Own Adventure', 'Turn-Based Tactics']",adventure_rpg,2024-08-13 22:37
306130,The Elder Scrolls® Online,"May 22, 2017",Very Positive,"| 122,037 User Reviews",NT$ 179.00,"['RPG', 'MMORPG', 'Open World', 'Adventure', 'Fantasy', 'Exploration', 'Multiplayer', 'Singleplayer', 'Massively Multiplayer', 'Action', 'Character Customization', 'PvP', 'PvE', 'Lore-Rich', 'Story Rich', 'Choose Your Own Adventure', 'Magic', 'Action RPG', 'Class-Based', 'Atmospheric']",adventure_rpg,2024-08-13 22:37
2358720,Black Myth: Wukong,"Aug 20, 2024",,,"NT$ 1,280.00","['Mythology', 'Action RPG', 'Action', 'RPG', 'Combat', 'Souls-like', 'Story Rich', 'Dark Fantasy', 'Singleplayer', 'Drama', 'Action-Adventure', 'Atmospheric', 'Adventure', '3D', 'Fantasy', 'Hack and Slash', 'Violent', 'Music', 'Third Person', 'Difficult']",adventure_rpg,2024-08-13 22:37
