GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
1203220,NARAKA: BLADEPOINT,"Aug 12, 2021",Mostly Positive,"| 247,691 User Reviews",Free To Play,"['Battle Royale', 'Multiplayer', 'Martial Arts', 'PvP', 'Action', 'Character Customization', 'Fighting', 'Massively Multiplayer', 'Female Protagonist', 'Survival', 'Third Person', 'Swordplay', 'Hack and Slash', 'Anime', 'Parkour', 'Adventure', 'Mature', 'Free to Play', 'Violent', 'Gore']",fighting_martial_arts,2024-08-27 13:56
1364780,Street Fighter™ 6,"Jun 1, 2023",Very Positive,"| 28,570 User Reviews","NT$ 1,680.00","['2D Fighter', 'Fighting', 'Character Customization', 'Action', 'Arcade', 'Multiplayer', 'Adventure', 'Competitive', 'PvP', 'eSports', 'Singleplayer', 'Open World', 'Local Multiplayer', 'Controller', '3D', 'Action RPG', 'Great Soundtrack', 'Martial Arts', 'Sandbox', 'LGBTQ+']",fighting_martial_arts,2024-08-27 13:56
985810,GrandChase,"Jul 28, 2021",Mixed,"| 22,794 User Reviews",Free To Play,"['Action', 'PvE', 'Free to Play', 'PvP', 'Action RPG', 'Online Co-Op', 'Casual', 'Hack and Slash', 'Character Customization', '2D Fighter', 'Multiplayer', 'Story Rich', 'Controller', ""Beat 'em up"", 'Anime', '2.5D', 'Fantasy', 'Cute', 'Massively Multiplayer', '3D Fighter']",fighting_martial_arts,2024-08-27 13:56
1859910,Legend of Mortal,"Jun 14, 2024",Mostly Positive,"| 23,663 User Reviews",NT$ 369.00,"['RPG', 'Choices Matter', 'Multiple Endings', 'Replay Value', 'Lore-Rich', 'Martial Arts', 'Drama', 'Dating Sim', 'Singleplayer', 'Strategy', 'Funny', 'Narrative', 'Indie', 'Adventure', '2D', 'Action', 'Tactical RPG', 'Atmospheric', 'Retro', 'Sexual Content']",fighting_martial_arts,2024-08-27 13:56
1260320,Party Animals,"Sep 20, 2023",Mostly Positive,"| 37,542 User Reviews",NT$ 419.00,"['Casual', 'Multiplayer', 'Funny', 'Cute', 'Party Game', 'Fighting', 'Action', 'PvP', 'Co-op', 'Party', 'Family Friendly', 'Online Co-Op', 'Local Multiplayer', 'Physics', '3D Fighter', '4 Player Local', 'Indie', 'Team-Based', 'Local Co-Op', 'Action-Adventure']",fighting_martial_arts,2024-08-27 13:56
1948980,Hero's Adventure: Road to Passion,"Nov 16, 2023",Very Positive,"| 16,900 User Reviews",NT$ 305.00,"['RPG', 'Martial Arts', 'Open World', 'Multiple Endings', 'Strategy', 'Indie', 'Adventure', 'Pixel Graphics', 'Turn-Based Strategy', 'Singleplayer', 'Stealth', 'Turn-Based', 'Simulation', 'Choose Your Own Adventure', '2D', 'Drama', 'Sexual Content', 'Anime', 'RPGMaker', 'Mature']",fighting_martial_arts,2024-08-27 13:56
2825190,Street Fighter™ 6 - Year 2 Character Pass,"Jun 7, 2024",Mixed,| 78 User Reviews,NT$ 840.00,"['Action', 'Adventure', '2D Fighter', 'Fighting', 'Character Customization', 'Arcade', 'Multiplayer', 'Competitive', 'PvP', 'Open World', 'eSports', 'Singleplayer', 'Local Multiplayer', 'Action RPG', 'Controller', '3D', 'Great Soundtrack', 'Sandbox', 'Martial Arts', '3D Fighter']",fighting_martial_arts,2024-08-27 13:56
881020,Granblue Fantasy: Relink,"Feb 1, 2024",Very Positive,"| 31,287 User Reviews","NT$ 1,180.00","['Anime', 'JRPG', 'Action RPG', 'Action', 'Online Co-Op', 'Multiplayer', 'Fantasy', 'RPG', 'Female Protagonist', 'Third Person', 'Singleplayer', 'Spectacle fighter', '3D', 'Hack and Slash', 'Controller', 'Magic', 'Swordplay', 'Dragons', 'PvE', 'Tutorial']",fighting_martial_arts,2024-08-27 13:56
678950,DRAGON BALL FighterZ,"Jan 26, 2018",Very Positive,"| 50,242 User Reviews",NT$ 318.00,"['Fighting', 'Anime', 'Action', '2D Fighter', 'Multiplayer', 'Local Multiplayer', 'Competitive', 'Controller', 'PvP', 'Singleplayer', 'Arcade', 'eSports', 'Difficult', 'Fast-Paced', 'Spectacle fighter', 'Combat', 'Comic Book', 'Adventure', ""Beat 'em up"", 'Third Person']",fighting_martial_arts,2024-08-27 13:56
2515020,FINAL FANTASY XVI,"Sep 17, 2024",,,"NT$ 1,490.00","['Spectacle fighter', 'RPG', 'Action RPG', 'Action', 'JRPG', 'Story Rich', 'Third Person', 'Fantasy', 'Party-Based RPG', 'Dark Fantasy', '3D', 'Magic', 'Cinematic', 'Drama', 'Singleplayer', 'Atmospheric', 'Emotional', 'Violent', 'Gore', 'Great Soundtrack']",fighting_martial_arts,2024-08-27 13:56
2825200,Street Fighter™ 6 - Year 2 Ultimate Pass,"Jun 7, 2024",Mostly Positive,| 78 User Reviews,"NT$ 1,400.00","['Action', 'Adventure', '2D Fighter', 'Fighting', 'Character Customization', 'Arcade', 'Multiplayer', 'Competitive', 'PvP', 'Open World', 'eSports', 'Singleplayer', 'Local Multiplayer', 'Action RPG', 'Controller', '3D', 'Great Soundtrack', 'Sandbox', 'Martial Arts', '3D Fighter']",fighting_martial_arts,2024-08-27 13:56
