GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
1809540,Nine Sols,"May 29, 2024",Overwhelmingly Positive,"| 8,829 User Reviews",NT$ 650.00,"['Action', 'Metroidvania', 'Souls-like', 'Difficult', 'Platformer', 'Hand-drawn', '2D', 'Adventure', 'Atmospheric', 'Cats', 'Dark Fantasy', 'Sci-fi', 'Story Rich', 'Mythology', 'Gore', 'Indie', 'Singleplayer', 'Martial Arts', 'Action-Adventure', 'Comic Book']",metroidvania,2024-08-13 22:37
367520,Hollow Knight,"Feb 24, 2017",Overwhelmingly Positive,"| 323,749 User Reviews",NT$ 268.00,"['Metroidvania', 'Souls-like', 'Platformer', 'Great Soundtrack', '2D', 'Difficult', 'Indie', 'Singleplayer', 'Atmospheric', 'Exploration', 'Adventure', 'Story Rich', 'Hand-drawn', 'Action', 'Multiple Endings', 'Dark Fantasy', 'Open World', 'Cute', 'Controller', 'Side Scroller']",metroidvania,2024-08-13 22:37
692850,Bloodstained: Ritual of the Night,"Jun 18, 2019",Very Positive,"| 26,984 User Reviews",NT$ 317.00,"['Metroidvania', 'RPG', 'Female Protagonist', 'Action', 'Adventure', 'Anime', 'Side Scroller', '2.5D', 'Platformer', 'Great Soundtrack', 'Dark Fantasy', 'Gothic', 'Exploration', 'Singleplayer', 'Crafting', '2D', 'Difficult', 'Nudity', 'Sexual Content', 'Indie']",metroidvania,2024-08-13 22:37
2751000,Prince of Persia The Lost Crown,"Aug 8, 2024",Mixed,| 365 User Reviews,NT$ 677.00,"['Metroidvania', 'Exploration', 'Action', 'Precision Platformer', '2D Platformer', 'Side Scroller', 'Adventure', 'Action-Adventure', 'Action RPG', 'Controller', 'Colorful', 'Stylized', 'Atmospheric', 'Combat', 'Singleplayer', 'LGBTQ+']",metroidvania,2024-08-13 22:37
813230,ANIMAL WELL,"May 9, 2024",Overwhelmingly Positive,"| 11,928 User Reviews",NT$ 449.00,"['Exploration', 'Metroidvania', 'Puzzle', 'Puzzle Platformer', 'Pixel Graphics', 'Platformer', 'Horror', 'Adventure', '2D', 'Action', 'Mystery', 'Atmospheric', 'Relaxing', 'Surreal', 'Nonlinear', 'Cute', 'Indie', 'Controller', 'Singleplayer', 'Retro']",metroidvania,2024-08-13 22:37
588650,Dead Cells,"Aug 6, 2018",Overwhelmingly Positive,"| 132,706 User Reviews",NT$ 698.00,"['Adventure', 'Action Roguelike', 'Pixel Graphics', 'Metroidvania', '2D', 'Roguelike', 'Souls-like', 'Roguelite', 'Replay Value', 'Hack and Slash', 'Difficult', 'Platformer', 'Singleplayer', 'Roguevania', 'Action', 'Dark Fantasy', 'Procedural Generation', 'Atmospheric', 'Funny', 'Indie']",metroidvania,2024-08-13 22:37
870780,Control Ultimate Edition,"Aug 27, 2020",Very Positive,"| 34,844 User Reviews",NT$ 297.00,"['Action', 'Supernatural', 'Female Protagonist', 'Adventure', 'Story Rich', 'Third Person', 'Atmospheric', 'Sci-fi', 'Horror', 'Singleplayer', 'Third-Person Shooter', 'Surreal', 'Psychological Horror', 'Shooter', 'Metroidvania', 'Open World', 'Epic', 'Violent', 'Difficult', 'Great Soundtrack']",metroidvania,2024-08-13 22:37
1718570,ASTLIBRA Revision,"Oct 13, 2022",Overwhelmingly Positive,"| 22,924 User Reviews",NT$ 378.00,"['Action RPG', '2D', 'Side Scroller', 'JRPG', 'Drama', 'Metroidvania', 'Time Travel', 'RPG', 'Fantasy', 'Spectacle fighter', 'Action', 'Dragons', 'Swordplay', 'Demons', 'Gothic', 'Futuristic', 'Modern', 'Mythology', 'Adventure', 'Supernatural']",metroidvania,2024-08-13 22:37
2230650,TEVI,"Nov 30, 2023",Very Positive,"| 2,596 User Reviews",NT$ 815.00,"['Metroidvania', 'Anime', 'Pixel Graphics', 'Action-Adventure', 'Bullet Hell', 'Story Rich', '2D', 'Side Scroller', 'Female Protagonist', 'Colorful', 'Singleplayer', 'Drama', 'Platformer', 'Action', 'Fantasy', 'Steampunk', 'Magic', 'Combat', 'Exploration', 'Adventure']",metroidvania,2024-08-13 22:37
2725260,ENDER MAGNOLIA: Bloom in the Mist,"Mar 25, 2024",Overwhelmingly Positive,"| 3,585 User Reviews",NT$ 328.00,"['Metroidvania', 'Dark Fantasy', 'RPG', 'Action RPG', 'Singleplayer', '2D', 'Action', 'Early Access', 'Fantasy', 'Female Protagonist', 'Medieval', 'Souls-like', 'Anime', 'Atmospheric', 'Great Soundtrack', 'Side Scroller']",metroidvania,2024-08-13 22:37
