GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
1245620,ELDEN RING,"Feb 24, 2022",Very Positive,"| 687,088 User Reviews","NT$ 1,790.00","['Souls-like', 'Dark Fantasy', 'Open World', 'RPG', 'Difficult', 'Action RPG', 'Third Person', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'PvP', 'Atmospheric', 'Great Soundtrack', 'Violent', '3D', 'Character Customization', 'Family Friendly']",multiplayer_online_competitive,2024-08-05 12:10
578080,PUBG: BATTLEGROUNDS,"Dec 21, 2017",Mixed,"| 2,403,472 User Reviews",Free To Play,"['Survival', 'Shooter', 'Battle Royale', 'Multiplayer', 'FPS', 'PvP', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Tactical', 'Co-op', 'First-Person', 'Strategy', 'Early Access', 'Competitive', 'Third Person', 'Team-Based', 'Difficult', 'Simulation', 'Stealth']",multiplayer_online_competitive,2024-08-05 12:10
2139460,Once Human,"Jul 9, 2024",Mostly Positive,"| 61,441 User Reviews",Free To Play,"['Survival', 'Open World', 'Multiplayer', 'Free to Play', 'Co-op', 'Shooter', 'Action', 'Post-apocalyptic', 'Base Building', 'Adventure', 'Horror', 'Strategy', 'Simulation', '3D', 'RPG', 'Action-Adventure', 'MMORPG', 'PvP', 'Strategy RPG', 'Singleplayer']",multiplayer_online_competitive,2024-08-05 12:10
1203220,NARAKA: BLADEPOINT,"Aug 12, 2021",Mostly Positive,"| 241,685 User Reviews",Free To Play,"['Battle Royale', 'Multiplayer', 'Martial Arts', 'PvP', 'Action', 'Female Protagonist', 'Character Customization', 'Fighting', 'Massively Multiplayer', 'Survival', 'Third Person', 'Swordplay', 'Hack and Slash', 'Anime', 'Parkour', 'Adventure', 'Mature', 'Free to Play', 'Violent', 'Gore']",multiplayer_online_competitive,2024-08-05 12:10
1172470,Apex Legends™,"Nov 5, 2020",Mixed,"| 929,033 User Reviews",Free To Play,"['Free to Play', 'Battle Royale', 'Multiplayer', 'FPS', 'Shooter', 'First-Person', 'PvP', 'Action', 'Hero Shooter', 'Team-Based', 'Tactical', 'Sci-fi', 'Survival', 'Loot', 'Character Customization', 'Funny', 'Co-op', 'Lore-Rich', 'Cyberpunk', 'Cinematic']",multiplayer_online_competitive,2024-08-05 12:10
2778580,ELDEN RING Shadow of the Erdtree,"Jun 20, 2024",Mostly Positive,"| 76,075 User Reviews","NT$ 1,190.00","['Action', 'RPG', 'Souls-like', 'Difficult', 'Fantasy', 'Dark', 'Lore-Rich', 'Exploration', 'Adventure', 'Story Rich', 'Third Person', 'Singleplayer', 'PvE', 'Action RPG', 'Character Customization', 'PvP', 'Online Co-Op', 'Multiplayer', 'Co-op', '3D']",multiplayer_online_competitive,2024-08-05 12:10
271590,Grand Theft Auto V,"Apr 13, 2015",Very Positive,"| 1,682,500 User Reviews",NT$ 662.00,"['Open World', 'Action', 'Multiplayer', 'Crime', 'Automobile Sim', 'Third Person', 'First-Person', 'Mature', 'Shooter', 'Adventure', 'Singleplayer', 'Third-Person Shooter', 'Racing', 'Co-op', 'Sandbox', 'Atmospheric', 'Funny', 'Great Soundtrack', 'Comedy', 'Moddable']",multiplayer_online_competitive,2024-08-05 12:10
381210,Dead by Daylight,"Jun 14, 2016",Very Positive,"| 533,661 User Reviews",NT$ 151.00,"['Horror', 'Survival Horror', 'Multiplayer', 'Online Co-Op', 'Co-op', 'Survival', 'Gore', 'Team-Based', 'Blood', 'Stealth', 'Third Person', 'Violent', 'First-Person', 'Psychological Horror', 'Action', 'Atmospheric', 'Strategy', 'Comedy', 'Mature', 'Difficult']",multiplayer_online_competitive,2024-08-05 12:10
1551360,Forza Horizon 5,"Nov 9, 2021",Very Positive,"| 173,064 User Reviews","NT$ 1,688.00","['Racing', 'Open World', 'Driving', 'Multiplayer', 'Automobile Sim', 'Realistic', 'Adventure', 'Simulation', 'Arcade', 'Exploration', 'First-Person', 'Atmospheric', 'Sports', 'Co-op', 'PvP', 'Online Co-Op', 'Singleplayer', 'Beautiful', 'Action', 'VR']",multiplayer_online_competitive,2024-08-05 12:10
236390,War Thunder,"Aug 15, 2013",Mostly Positive,"| 520,330 User Reviews",Free To Play,"['Free to Play', 'Vehicular Combat', 'Combat', 'World War II', 'VR', 'Flight', 'War', 'Military', 'Tanks', 'Naval Combat', 'Simulation', 'Massively Multiplayer', 'Modern', 'Multiplayer', 'Cold War', 'Action', 'Realistic', 'Shooter', 'Third-Person Shooter', 'Third Person']",multiplayer_online_competitive,2024-08-05 12:10
1449850,Yu-Gi-Oh! Master Duel,"Jan 19, 2022",Mostly Positive,"| 75,381 User Reviews",Free To Play,"['Card Game', 'Free to Play', 'Strategy', 'Trading Card Game', 'Multiplayer', 'PvP', 'Card Battler', 'Anime', 'Simulation', 'Turn-Based Tactics', 'Tactical', 'Singleplayer', 'eSports', 'Dragons', 'Fantasy', 'PvE', '3D', '2D', 'Great Soundtrack', 'Sexual Content']",multiplayer_online_competitive,2024-08-05 12:10
1364780,Street Fighter™ 6,"Jun 1, 2023",Very Positive,"| 28,001 User Reviews","NT$ 1,680.00","['2D Fighter', 'Fighting', 'Character Customization', 'Action', 'Arcade', 'Multiplayer', 'Adventure', 'Competitive', 'PvP', 'eSports', 'Singleplayer', 'Open World', 'Local Multiplayer', 'Controller', '3D', 'Action RPG', 'Great Soundtrack', 'Sandbox', 'Martial Arts', 'LGBTQ+']",multiplayer_online_competitive,2024-08-05 12:10
2344520,Diablo® IV,"Oct 17, 2023",Mostly Positive,"| 20,611 User Reviews","NT$ 1,575.00","['Action RPG', 'Hack and Slash', 'Loot', 'RPG', 'Isometric', 'Online Co-Op', 'Singleplayer', 'Co-op', 'Action', 'Third Person', 'Multiplayer', 'Dungeon Crawler', 'PvE', 'Fantasy', 'Story Rich', 'Dark Fantasy', 'Gore', 'Exploration', 'Point & Click', 'Violent']",multiplayer_online_competitive,2024-08-05 12:10
251570,7 Days to Die,"Jul 25, 2024",Very Positive,"| 227,256 User Reviews",NT$ 670.00,"['Survival', 'Zombies', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Voxel', 'Base Building', 'Post-apocalyptic', 'Online Co-Op', 'Building', 'Exploration', 'Sandbox', 'Simulation', 'FPS', 'Character Customization', 'Strategy', 'Tower Defense', 'Action', 'Procedural Generation', 'Horror']",multiplayer_online_competitive,2024-08-05 12:10
1085660,Destiny 2,"Oct 1, 2019",Very Positive,"| 608,616 User Reviews",Free To Play,"['Free to Play', 'Open World', 'Multiplayer', 'FPS', 'Looter Shooter', 'MMORPG', 'Co-op', 'PvE', 'PvP', 'Shooter', 'Massively Multiplayer', 'Loot', 'First-Person', 'Sci-fi', 'Action', 'Adventure', 'Lore-Rich', 'Space', 'Competitive', 'Atmospheric']",multiplayer_online_competitive,2024-08-05 12:10
1049590,Eternal Return,"Jul 20, 2023",Mostly Positive,"| 57,921 User Reviews",Free To Play,"['Free to Play', 'Anime', 'Multiplayer', 'MOBA', 'Survival', 'PvP', 'Combat', 'Top-Down', 'Crafting', 'Action', 'Strategy', '3D', 'Tactical', 'Character Customization', 'Indie', 'MMORPG', 'Point & Click', 'eSports', 'Real Time Tactics', 'Experimental']",multiplayer_online_competitive,2024-08-05 12:10
2016590,Dark and Darker,"Jun 7, 2024",Mostly Positive,"| 40,574 User Reviews",Free To Play,"['Dungeon Crawler', 'Multiplayer', 'Medieval', 'PvP', 'RPG', 'Loot', 'Battle Royale', 'PvE', 'Online Co-Op', 'First-Person', 'Survival', 'Fantasy', 'Class-Based', 'Team-Based', 'Extraction Shooter', 'Magic', 'Dark', 'Swordplay', 'Exploration', 'Party-Based RPG']",multiplayer_online_competitive,2024-08-05 12:10
