GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
2567870,Chained Together,"Jun 19, 2024",Very Positive,"| 21,770 User Reviews",NT$ 102.00,"['Adventure', 'Co-op', 'Casual', 'Platformer', 'Simulation', 'Puzzle Platformer', 'Action-Adventure', '3D Platformer', 'Third Person', 'Exploration', 'Funny', 'Mystery', 'Post-apocalyptic', 'Online Co-Op', 'Emotional', 'Surreal', 'Physics', 'Multiplayer', 'Choices Matter', 'Controller']",mystery_detective,2024-08-05 12:10
2187220,Apollo Justice: Ace Attorney Trilogy,"Jan 25, 2024",Very Positive,"| 1,458 User Reviews","NT$ 1,248.00","['Adventure', 'Visual Novel', 'Detective', 'Anime', 'Investigation', 'Mystery', 'Crime', '3D', 'Story Rich', 'Singleplayer', 'Choose Your Own Adventure', 'Text-Based', 'Great Soundtrack', 'Point & Click']",mystery_detective,2024-08-05 12:10
739630,Phasmophobia,"Sep 18, 2020",Overwhelmingly Positive,"| 566,001 User Reviews",NT$ 248.00,"['Horror', 'Online Co-Op', 'Multiplayer', 'Psychological Horror', 'Co-op', 'VR', 'Supernatural', 'First-Person', 'Investigation', 'Dark', 'Demons', 'Detective', 'Mystery', '3D', 'Thriller', 'Early Access', 'Indie', 'Action', 'Tactical', 'Singleplayer']",mystery_detective,2024-08-05 12:10
787480,Phoenix Wright: Ace Attorney Trilogy,"Apr 9, 2019",Overwhelmingly Positive,"| 25,595 User Reviews",NT$ 290.00,"['Detective', 'Visual Novel', 'Story Rich', 'Mystery', 'Great Soundtrack', 'Anime', 'Adventure', 'Singleplayer', 'Crime', 'Puzzle', 'Point & Click', 'Funny', 'Classic', 'Cult Classic', 'Comedy', '2D', 'Conversation', 'Memes', 'Dynamic Narration', 'Casual']",mystery_detective,2024-08-05 12:10
1562430,DREDGE,"Mar 30, 2023",Overwhelmingly Positive,"| 27,800 User Reviews",NT$ 681.00,"['Exploration', 'Fishing', 'Lovecraftian', 'Adventure', 'Open World', 'Mystery', 'Inventory Management', 'RPG', 'Atmospheric', 'Simulation', 'Psychological Horror', 'Singleplayer', 'Horror', 'Stylized', 'Survival Horror', 'Psychological', 'Story Rich', '3D', 'Sailing', 'Indie']",mystery_detective,2024-08-05 12:10
1435790,Escape Simulator,"Oct 19, 2021",Very Positive,"| 12,820 User Reviews",NT$ 349.00,"['Puzzle', 'Co-op', 'Multiplayer', 'Escape Room', 'First-Person', 'Adventure', 'Controller', 'Mystery', 'Casual', 'Online Co-Op', 'Family Friendly', 'Singleplayer', 'Indie', 'Simulation', 'Story Rich', 'VR', 'Point & Click', 'Exploration', 'Level Editor', 'Investigation']",mystery_detective,2024-08-05 12:10
1771980,The Operator,"Jul 22, 2024",Very Positive,"| 2,211 User Reviews",NT$ 223.00,"['Conspiracy', 'Investigation', 'Detective', 'Atmospheric', 'Puzzle', 'Immersive Sim', 'Mystery', 'Thriller', 'Simulation', 'Narration', 'Crime', 'FMV', 'Narrative', 'Point & Click', 'Adventure', 'Story Rich', 'Interactive Fiction', 'Choose Your Own Adventure', 'Visual Novel', 'RPG']",mystery_detective,2024-08-05 12:10
997010,Police Simulator: Patrol Officers,"Nov 10, 2022",Very Positive,"| 13,884 User Reviews",NT$ 599.00,"['Simulation', 'Crime', 'Open World', 'Multiplayer', 'Realistic', 'Investigation', 'Immersive Sim', 'Online Co-Op', 'America', 'Singleplayer', 'Third Person', 'Co-op', '3D', 'Automobile Sim', 'Exploration', 'Character Customization', 'Choices Matter', 'Education', 'Early Access', 'Female Protagonist']",mystery_detective,2024-08-05 12:10
756800,Contraband Police,"Mar 8, 2023",Overwhelmingly Positive,"| 15,419 User Reviews",NT$ 292.00,"['Open World', 'First-Person', 'Action', 'Simulation', 'Singleplayer', 'Multiple Endings', 'Realistic', '1980s', 'Automobile Sim', 'FPS', 'Story Rich', 'Management', 'Survival', 'Immersive Sim', 'Detective', 'Action-Adventure', 'Physics', 'Destruction', 'Atmospheric', 'Indie']",mystery_detective,2024-08-05 12:10
1931770,Chants of Sennaar,"Sep 5, 2023",Overwhelmingly Positive,"| 13,986 User Reviews",NT$ 384.00,"['Puzzle', 'Adventure', 'Singleplayer', 'Colorful', 'Indie', 'Point & Click', 'Action-Adventure', 'Puzzle Platformer', 'Stylized', 'Word Game', 'Atmospheric', 'Great Soundtrack', 'Mythology', 'Detective', 'Stealth', 'Exploration', 'Story Rich', 'Difficult', 'Relaxing', 'Horror']",mystery_detective,2024-08-05 12:10
2707930,Palia,"Mar 25, 2024",Very Positive,"| 12,729 User Reviews",Free To Play,"['Life Sim', 'Free to Play', 'Multiplayer', 'Cozy', 'Farming Sim', 'Casual', 'Mystery', 'Exploration', 'Cute', 'Relaxing', 'Crafting', 'Dating Sim', 'Building', 'Online Co-Op', 'Nature', 'Atmospheric', 'Simulation', 'Co-op', 'RPG', 'Economy']",mystery_detective,2024-08-05 12:10
1939970,Nobody Wants to Die,"Jul 17, 2024",Very Positive,"| 1,449 User Reviews",NT$ 731.00,"['3D', 'Detective', 'Noir', 'Dystopian ', 'Thriller', 'Narration', 'Interactive Fiction', 'Transhumanism', 'Psychological', 'First-Person', 'Time Manipulation', 'Choices Matter', 'Conversation', 'Cyberpunk', 'Story Rich', 'Multiple Endings', 'Realistic', 'Investigation', 'Philosophical', 'Atmospheric']",mystery_detective,2024-08-05 12:10
2331330,The Bridge Curse 2: The Extrication,"May 9, 2024",Very Positive,"| 1,344 User Reviews",NT$ 499.00,"['Mystery', 'Story Rich', 'Psychological Horror', 'Horror', 'Multiple Endings', 'Atmospheric', 'Drama', 'Thriller', 'Stealth', 'Survival Horror', 'Exploration', 'Supernatural', 'Walking Simulator', 'First-Person', 'Adventure', 'Investigation', 'Cinematic', 'Singleplayer', 'Conspiracy', 'Action-Adventure']",mystery_detective,2024-08-05 12:10
1158850,The Great Ace Attorney Chronicles,"Jul 28, 2021",Very Positive,"| 3,974 User Reviews",NT$ 460.00,"['Visual Novel', 'Adventure', 'Anime', 'Detective', 'Mystery', 'Text-Based', '3D', 'Story Rich', 'Drama', 'Choose Your Own Adventure', 'Steampunk', 'Historical', 'Retro', 'Conversation', 'Singleplayer', 'Great Soundtrack', 'Puzzle', 'Choices Matter', 'Comedy', 'Point & Click']",mystery_detective,2024-08-05 12:10
