GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
2162800,shapez 2,"Aug 15, 2024",Overwhelmingly Positive,"| 5,017 User Reviews",NT$ 326.00,"['Management', 'Strategy', 'Automation', 'Futuristic', 'Early Access', 'Building', 'Puzzle', 'Crafting', 'Simulation', 'Sandbox', 'Trains', 'Space', 'Transportation', 'Base Building', '3D', 'Logic', 'Singleplayer', 'Casual', 'Relaxing', 'Procedural Generation']",puzzle_matching,2024-08-27 13:56
2325290,Sky: Children of the Light,"Apr 10, 2024",Very Positive,"| 7,313 User Reviews",Free To Play,"['Cozy', 'MMORPG', 'Relaxing', 'Indie', 'Adventure', 'Multiplayer', 'Exploration', 'Massively Multiplayer', 'Puzzle', 'Emotional', 'Casual', 'Cute', '3D', 'Atmospheric', 'RPG', 'Online Co-Op', 'Family Friendly', 'Character Customization', 'Fantasy', 'Stylized']",puzzle_matching,2024-08-27 13:56
1426210,It Takes Two,"Mar 26, 2021",Very Positive,"| 148,117 User Reviews","NT$ 1,099.00","['Co-op', 'Multiplayer', 'Split Screen', 'Local Co-Op', 'Puzzle', 'Online Co-Op', 'Adventure', 'Story Rich', 'Local Multiplayer', 'Co-op Campaign', 'Puzzle Platformer', '3D Platformer', 'Action-Adventure', 'Emotional', 'Platformer', 'Action', 'Exploration', 'Atmospheric', 'Minigames', 'Female Protagonist']",puzzle_matching,2024-08-27 13:56
2995920,It Takes Two Friend's Pass,"May 29, 2024",,,"NT$ 1,099.00","['Co-op', 'Multiplayer', 'Split Screen', 'Local Co-Op', 'Puzzle', 'Online Co-Op', 'Adventure', 'Story Rich', 'Local Multiplayer', 'Co-op Campaign', 'Puzzle Platformer', '3D Platformer', 'Action-Adventure', 'Emotional', 'Platformer', 'Action', 'Exploration', 'Atmospheric', 'Minigames', 'Female Protagonist']",puzzle_matching,2024-08-27 13:56
632470,Disco Elysium - The Final Cut,"Oct 15, 2019",Very Positive,"| 90,287 User Reviews",NT$ 142.00,"['RPG', 'Story Rich', 'Choices Matter', 'Detective', 'Isometric', 'Atmospheric', 'Singleplayer', 'CRPG', 'Point & Click', 'Noir', 'Surreal', 'Political', 'Visual Novel', 'Exploration', 'Funny', 'Indie', 'Adventure', 'Open World', 'Character Customization', 'Sexual Content']",puzzle_matching,2024-08-27 13:56
1659040,HITMAN World of Assassination,"Jan 20, 2022",Very Positive,"| 26,526 User Reviews",NT$ 488.00,"['Stealth', 'Assassin', 'Action', 'Singleplayer', 'Sandbox', 'VR', 'Violent', 'Shooter', 'Third-Person Shooter', 'Third Person', 'Adventure', 'Realistic', 'Cinematic', 'Puzzle', 'Funny', 'Gore', 'Multiplayer', 'Open World', 'Immersive Sim', 'Capitalism']",puzzle_matching,2024-08-27 13:56
1629520,A Little to the Left,"Nov 8, 2022",Very Positive,"| 9,412 User Reviews",NT$ 268.00,"['Puzzle', 'Relaxing', 'Wholesome', 'Casual', 'Cute', 'Cats', 'Colorful', '2D', 'Logic', 'Cozy', 'Funny', 'Singleplayer', 'Indie', 'Hand-drawn', 'Hidden Object', 'Linear', 'Family Friendly', 'Pixel Graphics', 'Point & Click', 'Multiplayer']",puzzle_matching,2024-08-27 13:56
1435790,Escape Simulator,"Oct 19, 2021",Very Positive,"| 12,929 User Reviews",NT$ 349.00,"['Puzzle', 'Co-op', 'Multiplayer', 'Escape Room', 'First-Person', 'Adventure', 'Controller', 'Mystery', 'Online Co-Op', 'Casual', 'Family Friendly', 'Singleplayer', 'Indie', 'Simulation', 'Story Rich', 'VR', 'Point & Click', 'Exploration', 'Investigation', 'Level Editor']",puzzle_matching,2024-08-27 13:56
837470,Untitled Goose Game,"Sep 23, 2020",Overwhelmingly Positive,"| 17,325 User Reviews",NT$ 179.00,"['Funny', 'Villain Protagonist', 'Co-op', 'Multiplayer', 'Cute', 'Comedy', 'Stealth', 'Indie', 'Puzzle', 'Singleplayer', 'Family Friendly', 'Local Co-Op', 'Colorful', 'Physics', 'Sandbox', 'Third Person', 'Local Multiplayer', 'Adventure', 'Action', 'Simulation']",puzzle_matching,2024-08-27 13:56
1943950,Escape the Backrooms,"Aug 11, 2022",Very Positive,"| 67,490 User Reviews",NT$ 186.00,"['Horror', 'Multiplayer', 'Online Co-Op', 'Psychological Horror', 'Co-op', 'Survival Horror', 'First-Person', 'Exploration', 'Escape Room', 'Adventure', 'Action', 'VR', '3D', 'Singleplayer', 'Early Access', 'Action-Adventure', 'Indie', 'Casual', 'Stealth', 'Dungeon Crawler']",puzzle_matching,2024-08-27 13:56
1043810,Tactical Breach Wizards,"Aug 22, 2024",Overwhelmingly Positive,"| 1,870 User Reviews",NT$ 295.00,"['Turn-Based Tactics', 'Story Rich', 'Turn-Based Strategy', 'Puzzle', 'Turn-Based', 'Funny', 'Strategy RPG', 'Singleplayer', 'Tactical', 'Tactical RPG', 'RPG', 'Adventure', 'Military', 'Indie', 'Mystery', 'Isometric', 'Comedy', 'Strategy', 'Fantasy', 'Satire']",puzzle_matching,2024-08-27 13:56
1585220,Melatonin,"Dec 15, 2022",Overwhelmingly Positive,"| 5,473 User Reviews",NT$ 268.00,"['Rhythm', 'Indie', 'Cute', 'Hand-drawn', 'Colorful', '2D', 'Music', 'Action', 'Singleplayer', 'Relaxing', 'Surreal', 'Puzzle', 'Arcade', 'Score Attack', 'Comedy', 'Cozy', 'Great Soundtrack', 'Controller', 'Music-Based Procedural Generation', 'Difficult']",puzzle_matching,2024-08-27 13:56
1332010,Stray,"Jul 19, 2022",Overwhelmingly Positive,"| 128,893 User Reviews",NT$ 539.00,"['Cats', 'Adventure', 'Cyberpunk', 'Atmospheric', 'Singleplayer', 'Cute', 'Exploration', 'Robots', 'Beautiful', 'Third Person', 'Puzzle', 'Horror', 'Sci-fi', 'Indie', 'Dystopian ', 'Open World', 'Mystery', 'Action', 'Colorful', 'Stealth']",puzzle_matching,2024-08-27 13:56
341800,Keep Talking and Nobody Explodes,"Oct 8, 2015",Overwhelmingly Positive,"| 11,542 User Reviews",NT$ 67.00,"['Co-op', 'Board Game', 'Local Multiplayer', 'Party Game', 'Puzzle', 'Local Co-Op', 'Party', 'Multiplayer', 'VR', 'Casual', 'Indie', 'Difficult', 'Team-Based', 'Family Friendly', 'Funny', 'Asymmetric VR', 'Moddable', 'Procedural Generation', 'Simulation', 'Strategy']",puzzle_matching,2024-08-27 13:56
