App_Id,Name,Operation_Date,Rating_Summary,Total_Number_of_Rating,Cost,Game_Tag,Category,Datetime
1551360,Forza Horizon 5,"Nov 9, 2021",Very Positive,"| 173,064 User Reviews","NT$ 1,688.00","['Racing', 'Open World', 'Driving', 'Multiplayer', 'Automobile Sim', 'Realistic', 'Adventure', 'Simulation', 'Arcade', 'Exploration', 'First-Person', 'Atmospheric', 'Sports', 'Co-op', 'PvP', 'Online Co-Op', 'Singleplayer', 'Beautiful', 'Action', 'VR']",racing_sim,2024-08-05 12:10
244210,Assetto Corsa,"Dec 19, 2014",Very Positive,"| 101,182 User Reviews",NT$ 318.00,"['Racing', 'Automobile Sim', 'Simulation', 'Driving', 'Multiplayer', 'Realistic', 'VR', 'Sports', 'Moddable', 'Open World', 'Controller', 'Physics', 'Singleplayer', 'First-Person', 'Replay Value', 'Indie', 'Action', '3D Vision', 'TrackIR', 'Artificial Intelligence']",racing_sim,2024-08-05 12:10
1190000,Car Mechanic Simulator 2021,"Aug 11, 2021",Overwhelmingly Positive,"| 24,337 User Reviews",NT$ 163.00,"['Simulation', 'Automobile Sim', 'Sandbox', 'Realistic', 'Moddable', 'Racing', 'Driving', '3D', 'Education', 'First-Person', 'Singleplayer', 'Immersive Sim', 'Puzzle', 'Open World', 'Atmospheric', 'Adventure', 'Minigames', 'Indie', 'Strategy', 'VR']",racing_sim,2024-08-05 12:10
1293830,Forza Horizon 4,"Mar 9, 2021",Very Positive,"| 221,606 User Reviews",NT$ 858.00,"['Racing', 'Open World', 'Driving', 'Multiplayer', 'Automobile Sim', 'Online Co-Op', 'Realistic', 'Singleplayer', 'Controller', 'Adventure', 'Simulation', 'Arcade', 'PvP', 'Exploration', 'Sports', 'Action', 'Atmospheric', 'Great Soundtrack', 'First-Person', 'Funny']",racing_sim,2024-08-05 12:10
2488620,F1® 24,"May 31, 2024",Mixed,"| 3,258 User Reviews","NT$ 1,999.00","['Racing', 'Sports', 'Driving', 'Multiplayer', 'Automobile Sim', 'Simulation', 'VR', 'Early Access', 'Singleplayer', 'Competitive', 'Realistic', 'Casual', 'Co-op', 'Online Co-Op', 'PvP', 'Character Customization', 'Horror', 'World War II', 'Great Soundtrack', 'eSports']",racing_sim,2024-08-05 12:10
284160,BeamNG.drive,"May 29, 2015",Overwhelmingly Positive,"| 241,007 User Reviews",NT$ 408.00,"['Simulation', 'Driving', 'Physics', 'Realistic', 'Destruction', 'Automobile Sim', 'Open World', 'Sandbox', 'Racing', 'Moddable', 'Multiplayer', 'Singleplayer', 'Early Access', 'First-Person', 'Third Person', 'Funny', 'Exploration', 'Action', 'Adventure', 'Flight']",racing_sim,2024-08-05 12:10
805550,Assetto Corsa Competizione,"May 29, 2019",Very Positive,"| 23,066 User Reviews","NT$ 1,190.00","['Racing', 'Automobile Sim', 'Simulation', 'VR', 'Multiplayer', 'Driving', 'Realistic', 'Sports', 'Singleplayer', 'Controller', 'Open World', 'eSports', 'Early Access', 'First-Person', 'Competitive', 'Online Co-Op', 'Atmospheric', 'Difficult', 'Moddable', 'Action']",racing_sim,2024-08-05 12:10
2591280,F1® Manager 2024,"Jul 23, 2024",Mixed,| 987 User Reviews,NT$ 820.00,"['Simulation', 'Strategy', 'Racing', 'Automobile Sim', 'Immersive Sim', 'Time Management', 'Realistic', '3D', 'Driving', 'Economy', 'Family Friendly', 'Sports', 'Management', 'Tactical', 'Base Building', 'Choices Matter', 'PvE', 'Resource Management', 'Team-Based', 'Time Manipulation']",racing_sim,2024-08-05 12:10
2440510,Forza Motorsport,"Oct 10, 2023",Mixed,"| 7,245 User Reviews","NT$ 1,990.00","['Racing', 'Automobile Sim', 'Simulation', 'Sports', 'Multiplayer', 'First-Person', 'Driving', 'Realistic', 'Third Person', 'Singleplayer', 'Physics', 'Immersive Sim', 'PvP', 'Family Friendly', 'Management', 'Science', 'Transportation', 'Character Customization', 'Choices Matter', 'VR']",racing_sim,2024-08-05 12:10
1465360,SnowRunner,"May 17, 2021",Very Positive,"| 28,593 User Reviews",NT$ 424.00,"['Simulation', 'Automobile Sim', 'Adventure', 'Exploration', 'Driving', 'Multiplayer', 'Realistic', 'Sandbox', 'Open World', 'First-Person', 'Third Person', 'Immersive Sim', 'Atmospheric', 'Snow', 'Racing', 'Nature', 'Physics', 'ATV', 'Team-Based', 'PvE']",racing_sim,2024-08-05 12:10
