GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
588650,Dead Cells,"Aug 6, 2018",Overwhelmingly Positive,"| 133,547 User Reviews",NT$ 349.00,"['Adventure', 'Action Roguelike', 'Pixel Graphics', 'Metroidvania', '2D', 'Roguelike', 'Souls-like', 'Roguelite', 'Replay Value', 'Hack and Slash', 'Difficult', 'Platformer', 'Singleplayer', 'Roguevania', 'Action', 'Dark Fantasy', 'Procedural Generation', 'Atmospheric', 'Funny', 'Indie']",rogue_like_rogue_lite,2024-08-27 13:56
2349820,Hero's Land,"May 18, 2023",Mixed,"| 40,762 User Reviews",Free To Play,"['Survival', 'Free to Play', 'Open World', 'PvP', 'MMORPG', 'MOBA', 'Exploration', '2D Platformer', 'Roguelite', 'Tactical RPG', 'CRPG', 'Action RPG', 'Action-Adventure', 'RPG', 'Fishing', 'Top-Down', 'Cute', 'Action', 'Stylized', 'Building']",rogue_like_rogue_lite,2024-08-27 13:56
1676840,For The King II,"Nov 2, 2023",Mostly Positive,"| 9,235 User Reviews",NT$ 388.00,"['Adventure', 'RPG', 'Strategy', 'Party-Based RPG', 'Board Game', 'Roguelike', 'Turn-Based Strategy', 'Roguelite', 'Tabletop', 'Turn-Based Combat', 'Multiplayer', 'Fantasy', 'Co-op', 'Online Co-Op', 'Hex Grid', 'Local Co-Op', 'Local Multiplayer', 'Open World', 'Singleplayer', 'PvP']",rogue_like_rogue_lite,2024-08-27 13:56
646570,Slay the Spire,"Jan 23, 2019",Overwhelmingly Positive,"| 140,418 User Reviews",NT$ 169.00,"['Roguelike Deckbuilder', 'Card Game', 'Card Battler', 'Roguelike', 'Deckbuilding', 'Turn-Based', 'Strategy', 'Singleplayer', 'Roguelite', 'Replay Value', 'Indie', 'Difficult', 'Dungeon Crawler', 'RPG', 'Mouse only', '2D', 'Great Soundtrack', 'Procedural Generation', 'Fantasy', 'Casual']",rogue_like_rogue_lite,2024-08-27 13:56
1534980,Terminus: Zombie Survivors,"Aug 19, 2024",Overwhelmingly Positive,"| 1,960 User Reviews",NT$ 262.00,"['Survival', 'Zombies', 'Roguelike', 'Open World Survival Craft', 'Turn-Based Strategy', 'Open World', 'RPG', 'Sandbox', 'Pixel Graphics', 'Strategy', 'Exploration', 'Adventure', 'Crafting', 'Horror', 'Singleplayer', 'Post-apocalyptic', 'Gore', 'Turn-Based Combat', 'Turn-Based', 'Indie']",rogue_like_rogue_lite,2024-08-27 13:56
1313140,Cult of the Lamb,"Aug 11, 2022",Overwhelmingly Positive,"| 73,778 User Reviews",NT$ 488.00,"['Base Building', 'Cute', 'Action Roguelike', 'Singleplayer', 'Character Customization', 'Dungeon Crawler', 'Dark Humor', 'Roguelite', 'Colony Sim', 'Building', '2D', 'Adventure', 'Action', 'Faith', 'Funny', 'Fantasy', 'Controller', 'Strategy', 'Colorful', 'Third Person']",rogue_like_rogue_lite,2024-08-27 13:56
2445690,Lost Castle 2,"Jul 25, 2024",Mostly Positive,"| 3,665 User Reviews",NT$ 245.00,"['Multiplayer', 'Action Roguelike', 'Roguelite', 'Online Co-Op', 'Action', 'Funny', 'Cartoon', 'Combat', 'Adventure', 'Co-op', '2.5D', 'Singleplayer', 'RPG', 'Indie', '2D', 'Action-Adventure', ""Beat 'em up"", 'Early Access', 'Magic', 'Sexual Content']",rogue_like_rogue_lite,2024-08-27 13:56
1201540,HELLCARD,"Feb 1, 2024",Very Positive,"| 2,141 User Reviews",NT$ 244.00,"['Co-op', 'Roguelike', 'Card Battler', 'RPG', 'Roguelite', 'Turn-Based Combat', 'Strategy', 'Deckbuilding', 'Difficult', 'Dungeon Crawler', 'Co-op Campaign', 'Turn-Based', 'Card Game', 'Online Co-Op', 'Fantasy', 'Roguelike Deckbuilder', 'Local Co-Op', 'Singleplayer', 'Isometric', 'Multiplayer']",rogue_like_rogue_lite,2024-08-27 13:56
2908950,Tunnel Escape,"Aug 23, 2024",Very Positive,| 100 User Reviews,NT$ 262.00,"['Zombies', 'Sexual Content', 'NSFW', 'Mature', 'Roguelike', 'Post-apocalyptic', 'Hentai', 'Anime', 'JRPG', 'Singleplayer', 'RPG', 'Exploration', 'Turn-Based Combat', 'Action Roguelike', '2D', 'Action RPG', 'Survival', 'Dark', 'Adventure', 'Roguelite']",rogue_like_rogue_lite,2024-08-27 13:56
1188930,Chrono Ark,"May 3, 2024",Very Positive,"| 9,287 User Reviews",NT$ 306.00,"['Roguelike Deckbuilder', 'Anime', 'RPG', 'Strategy', 'Indie', 'Adventure', 'Roguelite', 'Card Game', 'Female Protagonist', 'Party-Based RPG', 'Card Battler', 'Difficult', 'Turn-Based Combat', 'Roguelike', 'Cute', 'Singleplayer', 'Story Rich', 'Turn-Based', 'Deckbuilding', 'Early Access']",rogue_like_rogue_lite,2024-08-27 13:56
