App_Id,Name,Operation_Date,Rating_Summary,Total_Number_of_Rating,Cost,Game_Tag,Category,Datetime
1245620,ELDEN RING,"Feb 24, 2022",Very Positive,"| 687,088 User Reviews","NT$ 1,790.00","['Souls-like', 'Dark Fantasy', 'Open World', 'RPG', 'Difficult', 'Action RPG', 'Third Person', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'PvP', 'Atmospheric', 'Great Soundtrack', 'Violent', '3D', 'Character Customization', 'Family Friendly']",rpg_action,2024-08-05 12:10
2074920,The First Descendant,"Jun 30, 2024",Mixed,"| 73,221 User Reviews",Free To Play,"['Free to Play', 'Looter Shooter', 'Multiplayer', 'RPG', 'Third-Person Shooter', 'Action', 'Online Co-Op', 'Action RPG', 'Sexual Content', 'Shooter', 'Third Person', 'Adventure', 'Singleplayer', 'Sci-fi', 'Character Customization', 'Co-op', 'Story Rich', 'PvE', 'Combat', 'Violent']",rpg_action,2024-08-05 12:10
230410,Warframe,,Very Positive,"| 585,520 User Reviews",Free To Play,"['Free to Play', 'Action RPG', 'Looter Shooter', 'Third-Person Shooter', 'Action', 'RPG', 'Third Person', 'Character Customization', 'Massively Multiplayer', 'Online Co-Op', 'Co-op', 'Singleplayer', 'PvE', 'Sci-fi', 'Space', 'Shooter', 'Lore-Rich', 'Hack and Slash', 'Parkour', 'Ninja']",rpg_action,2024-08-05 12:10
2668080,Snowbreak: Containment Zone,"Dec 25, 2023",Very Positive,"| 4,648 User Reviews",Free To Play,"['Third-Person Shooter', 'Anime', 'RPG', 'Shooter', 'Action', '3D', 'JRPG', 'Sci-fi', 'Singleplayer', 'Free to Play', 'Co-op', '3D Platformer', 'Cute', 'Online Co-Op', 'Action RPG', 'Story Rich', 'Multiplayer', 'Hentai', 'Nudity', 'Adventure']",rpg_action,2024-08-05 12:10
2344520,Diablo® IV,"Oct 17, 2023",Mostly Positive,"| 20,611 User Reviews","NT$ 1,575.00","['Action RPG', 'Hack and Slash', 'Loot', 'RPG', 'Isometric', 'Online Co-Op', 'Singleplayer', 'Co-op', 'Action', 'Third Person', 'Multiplayer', 'Dungeon Crawler', 'PvE', 'Fantasy', 'Story Rich', 'Dark Fantasy', 'Gore', 'Exploration', 'Point & Click', 'Violent']",rpg_action,2024-08-05 12:10
2778580,ELDEN RING Shadow of the Erdtree,"Jun 20, 2024",Mostly Positive,"| 76,075 User Reviews","NT$ 1,190.00","['Action', 'RPG', 'Souls-like', 'Difficult', 'Fantasy', 'Dark', 'Lore-Rich', 'Exploration', 'Adventure', 'Story Rich', 'Third Person', 'Singleplayer', 'PvE', 'Action RPG', 'Character Customization', 'PvP', 'Online Co-Op', 'Multiplayer', 'Co-op', '3D']",rpg_action,2024-08-05 12:10
1203620,Enshrouded,"Jan 24, 2024",Very Positive,"| 48,300 User Reviews",NT$ 399.00,"['Open World', 'Survival', 'Base Building', 'Multiplayer', 'Online Co-Op', 'Crafting', 'RPG', 'Action RPG', 'Building', 'Adventure', 'Singleplayer', 'Exploration', 'Early Access', 'Fantasy', 'Sandbox', 'Character Customization', 'Action', 'PvE', '3D', 'Indie']",rpg_action,2024-08-05 12:10
2215430,Ghost of Tsushima DIRECTOR'S CUT,"May 16, 2024",Very Positive,"| 24,548 User Reviews","NT$ 1,490.00","['Action', 'Open World', 'Adventure', 'Story Rich', 'Singleplayer', 'Third Person', 'Stealth', 'Combat', 'Ninja', 'Action-Adventure', 'Souls-like', 'Action RPG', 'Atmospheric', 'Historical', 'Multiplayer', 'Gore', 'Violent', 'Online Co-Op', 'Exploration', 'Co-op']",rpg_action,2024-08-05 12:10
2358720,Black Myth: Wukong,"Aug 20, 2024",,,"NT$ 1,280.00","['Mythology', 'Action RPG', 'Action', 'RPG', 'Combat', 'Souls-like', 'Story Rich', 'Dark Fantasy', 'Singleplayer', 'Drama', 'Action-Adventure', 'Atmospheric', 'Adventure', '3D', 'Fantasy', 'Hack and Slash', 'Violent', 'Music', 'Difficult', 'Third Person']",rpg_action,2024-08-05 12:10
2855560,流亡黯道,"Mar 1, 2024",Mixed,| 548 User Reviews,Free To Play,"['Action', 'Adventure', 'RPG', 'Action RPG', 'MMORPG', 'Dungeon Crawler', 'Hack and Slash', 'Isometric', 'Dark Fantasy', 'Loot', 'Horror', 'Character Customization', 'Inventory Management', 'PvP', 'Massively Multiplayer', 'Co-op', 'Multiplayer', 'Free to Play', 'Online Co-Op', 'Singleplayer']",rpg_action,2024-08-05 12:10
