GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
1245620,ELDEN RING,"Feb 24, 2022",Very Positive,"| 689,972 User Reviews","NT$ 1,790.00","['Souls-like', 'Dark Fantasy', 'Open World', 'RPG', 'Difficult', 'Action RPG', 'Third Person', 'Multiplayer', 'Fantasy', 'Singleplayer', 'Online Co-Op', 'Action', 'Co-op', 'PvP', 'Atmospheric', 'Great Soundtrack', 'Violent', '3D', 'Character Customization', 'Family Friendly']",rpg_action,2024-08-13 22:37
2074920,The First Descendant,"Jun 30, 2024",Mixed,"| 76,444 User Reviews",Free To Play,"['Free to Play', 'Looter Shooter', 'Multiplayer', 'RPG', 'Third-Person Shooter', 'Sexual Content', 'Action', 'Online Co-Op', 'Action RPG', 'Shooter', 'Third Person', 'Adventure', 'Singleplayer', 'Sci-fi', 'Character Customization', 'Co-op', 'PvE', 'Story Rich', 'Combat', 'Violent']",rpg_action,2024-08-13 22:37
230410,Warframe,,Very Positive,"| 586,276 User Reviews",Free To Play,"['Free to Play', 'Action RPG', 'Looter Shooter', 'Third-Person Shooter', 'Action', 'RPG', 'Third Person', 'Character Customization', 'Massively Multiplayer', 'Online Co-Op', 'Co-op', 'Singleplayer', 'PvE', 'Sci-fi', 'Space', 'Shooter', 'Lore-Rich', 'Hack and Slash', 'Parkour', 'Ninja']",rpg_action,2024-08-13 22:37
2344520,Diablo® IV,"Oct 17, 2023",Mostly Positive,"| 20,807 User Reviews","NT$ 1,575.00","['Action RPG', 'Hack and Slash', 'Loot', 'RPG', 'Isometric', 'Online Co-Op', 'Singleplayer', 'Co-op', 'Action', 'Third Person', 'Multiplayer', 'Dungeon Crawler', 'Fantasy', 'PvE', 'Story Rich', 'Dark Fantasy', 'Gore', 'Exploration', 'Point & Click', 'Violent']",rpg_action,2024-08-13 22:37
582010,Monster Hunter: World,"Aug 8, 2018",Very Positive,"| 271,614 User Reviews",NT$ 303.00,"['Co-op', 'Multiplayer', 'Action', 'Open World', 'RPG', 'Third Person', 'Character Customization', 'Adventure', 'Fantasy', 'Difficult', 'Action RPG', 'Singleplayer', 'Exploration', 'Great Soundtrack', 'Replay Value', 'Atmospheric', 'Hack and Slash', 'JRPG', 'Souls-like', 'MMORPG']",rpg_action,2024-08-13 22:37
1446780,MONSTER HUNTER RISE,"Jan 12, 2022",Very Positive,"| 63,431 User Reviews",NT$ 280.00,"['Action', 'RPG', 'Hunting', 'Online Co-Op', 'Multiplayer', 'Character Customization', 'Action RPG', 'Co-op', 'Singleplayer', 'JRPG', 'Third Person', 'PvE', 'Fantasy', 'Anime', '3D', 'Dragons', 'Nature', 'Atmospheric', 'Open World', 'Ninja']",rpg_action,2024-08-13 22:37
2138330,Cyberpunk 2077: Phantom Liberty,"Sep 25, 2023",Very Positive,"| 15,263 User Reviews",NT$ 679.00,"['RPG', 'Sexual Content', 'Cyberpunk', 'Open World', 'Nudity', 'Story Rich', 'Violent', 'Gore', 'Singleplayer', 'Atmospheric', 'First-Person', 'FPS', 'Character Customization', 'Action RPG', 'Action', 'Choices Matter', 'Shooter', 'Horror', 'Great Soundtrack', 'Stealth']",rpg_action,2024-08-13 22:37
2778580,ELDEN RING Shadow of the Erdtree,"Jun 20, 2024",Mostly Positive,"| 76,901 User Reviews","NT$ 1,190.00","['Action', 'RPG', 'Souls-like', 'Difficult', 'Fantasy', 'Dark', 'Lore-Rich', 'Exploration', 'Adventure', 'Story Rich', 'Third Person', 'Singleplayer', 'PvE', 'Character Customization', 'Action RPG', 'PvP', 'Online Co-Op', 'Multiplayer', 'Co-op', '3D']",rpg_action,2024-08-13 22:37
2668080,Snowbreak: Containment Zone,"Dec 25, 2023",Very Positive,"| 4,828 User Reviews",Free To Play,"['Anime', 'Third-Person Shooter', 'RPG', 'Shooter', 'Action', '3D', 'JRPG', 'Sci-fi', 'Singleplayer', 'Free to Play', 'Co-op', 'Cute', '3D Platformer', 'Online Co-Op', 'Action RPG', 'Story Rich', 'Multiplayer', 'Hentai', 'Nudity', 'Adventure']",rpg_action,2024-08-13 22:37
2358720,Black Myth: Wukong,"Aug 20, 2024",,,"NT$ 1,280.00","['Mythology', 'Action RPG', 'Action', 'RPG', 'Combat', 'Souls-like', 'Story Rich', 'Dark Fantasy', 'Singleplayer', 'Drama', 'Action-Adventure', 'Atmospheric', 'Adventure', '3D', 'Fantasy', 'Hack and Slash', 'Violent', 'Music', 'Third Person', 'Difficult']",rpg_action,2024-08-13 22:37
