GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
2161700,Persona 3 Reload,"Feb 2, 2024",Overwhelmingly Positive,"| 17,524 User Reviews","NT$ 1,134.00","['JRPG', 'RPG', 'Anime', 'Party-Based RPG', 'Adventure', 'Turn-Based Strategy', 'Strategy', 'Dating Sim', 'Strategy RPG', 'Dark', 'Story Rich', 'Visual Novel', 'Emotional', 'Colorful', 'Turn-Based Combat', 'Mystery', 'Supernatural', 'Detective', 'Great Soundtrack', 'Multiple Endings']",rpg_party_based,2024-08-13 22:37
1687950,Persona 5 Royal,"Oct 21, 2022",Overwhelmingly Positive,"| 51,271 User Reviews",NT$ 716.00,"['JRPG', 'Story Rich', 'Great Soundtrack', 'Turn-Based Combat', 'Anime', 'RPG', 'Singleplayer', 'Party-Based RPG', 'Dating Sim', 'Multiple Endings', 'Turn-Based Strategy', 'Emotional', 'Visual Novel', 'Colorful', 'Sexual Content', 'Adventure', 'Heist', 'Soundtrack', 'Detective', 'Violent']",rpg_party_based,2024-08-13 22:37
1416920,Chinese Online Game,"Jul 19, 2024",Mostly Positive,"| 2,474 User Reviews",NT$ 188.00,"['CRPG', 'Action Roguelike', '2D Platformer', '3D Platformer', 'Roguelite', 'Life Sim', 'Party-Based RPG', 'Action RPG', 'Action-Adventure', 'Roguelike', 'Character Customization', 'RPG', '2D', '3D', 'Dark Humor', 'Third Person', 'Multiple Endings', 'Story Rich', 'Linear', 'Casual']",rpg_party_based,2024-08-13 22:37
1113000,Persona 4 Golden,"Jun 13, 2020",Overwhelmingly Positive,"| 60,883 User Reviews",NT$ 354.00,"['JRPG', 'Great Soundtrack', 'Story Rich', 'Anime', 'Turn-Based Combat', 'RPG', 'Singleplayer', 'Party-Based RPG', 'Mystery', 'Multiple Endings', 'Emotional', 'Turn-Based Strategy', 'Detective', 'Dating Sim', 'Colorful', 'Adventure', 'Strategy', 'Visual Novel', 'Violent', 'Turn-Based']",rpg_party_based,2024-08-13 22:37
1971650,OCTOPATH TRAVELER II,"Feb 24, 2023",Overwhelmingly Positive,"| 9,111 User Reviews","NT$ 1,790.00","['RPG', 'Turn-Based', 'JRPG', '2.5D', 'Party-Based RPG', 'Open World', 'Story Rich', 'Choices Matter', 'Turn-Based Combat', 'Cute', 'Strategy', 'Pixel Graphics', 'Anime', 'Fantasy', 'Casual', 'Magic', 'Atmospheric', 'Adventure', 'Emotional', 'Singleplayer']",rpg_party_based,2024-08-13 22:37
1638230,Xuan-Yuan Sword: Mists Beyond the Mountains,"Jul 26, 2023",Very Positive,| 691 User Reviews,NT$ 179.00,"['RPG', 'Turn-Based Combat', 'Historical', 'Medieval', 'Story Rich', 'Foreign', 'Magic', 'Martial Arts', 'Lore-Rich', 'Party-Based RPG', '2D', 'Fantasy', 'Pixel Graphics', 'Cartoony', 'Stylized', 'Linear', 'Drama', 'Singleplayer', '2D Platformer']",rpg_party_based,2024-08-13 22:37
1462040,FINAL FANTASY VII REMAKE INTERGRADE,"Jun 17, 2022",Very Positive,"| 24,185 User Reviews","NT$ 1,990.00","['RPG', 'Action RPG', 'JRPG', 'Action-Adventure', 'Singleplayer', 'Party-Based RPG', 'Spectacle fighter', 'Third Person', 'Action', 'Controller', 'Adventure', '3D', 'Fantasy', '3D Platformer', 'Magic', 'Realistic', 'Cinematic', 'Story Rich', 'Drama', 'Sci-fi']",rpg_party_based,2024-08-13 22:37
1295510,DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,"Dec 4, 2020",Very Positive,"| 7,450 User Reviews","NT$ 1,190.00","['JRPG', 'Turn-Based Combat', 'RPG', 'Party-Based RPG', 'Story Rich', 'Dragons', 'Adventure', '3D', 'Funny', '2D', 'Fantasy', 'Singleplayer', 'Colorful', 'Action', 'Third Person', 'Anime', 'Crafting', 'Open World', 'Character Customization', 'Cartoony']",rpg_party_based,2024-08-13 22:37
2490990,Visions of Mana,"Aug 29, 2024",,,"NT$ 1,790.00","['RPG', 'Party-Based RPG', 'Action RPG', 'JRPG', '3D', 'Cute', 'Action', 'Lore-Rich', 'Story Rich', 'Colorful', 'Fantasy', 'Anime', 'Magic', 'Class-Based', 'Atmospheric', 'Adventure', 'Singleplayer', 'Old School', 'Open World']",rpg_party_based,2024-08-13 22:37
1638220,Xuan-Yuan Sword: The Scar of Sky,"Aug 19, 2021",Very Positive,"| 1,894 User Reviews",NT$ 124.00,"['RPG', 'Story Rich', 'Historical', 'Fantasy', 'Turn-Based Combat', 'Multiple Endings', '2D', 'Martial Arts', 'Party-Based RPG', 'Drama', 'Pixel Graphics', 'Cute', 'Singleplayer', 'Stylized', '2D Platformer']",rpg_party_based,2024-08-13 22:37
1530160,Digimon World: Next Order,"Feb 21, 2023",Very Positive,"| 1,013 User Reviews",NT$ 392.00,"['RPG', 'Creature Collector', 'Party-Based RPG', 'JRPG', 'Simulation', 'Cute', '3D', 'Anime', 'Singleplayer', 'Casual', 'Adventure', 'Open World', 'Action']",rpg_party_based,2024-08-13 22:37
527230,For The King,"Apr 19, 2018",Very Positive,"| 27,926 User Reviews",NT$ 318.00,"['RPG', 'Online Co-Op', 'Strategy', 'Roguelike', 'Open World', 'Turn-Based', 'Multiplayer', 'Co-op', 'Turn-Based Combat', 'Adventure', 'Tabletop', 'Roguelite', 'Turn-Based Strategy', 'Party-Based RPG', 'Board Game', 'Local Co-Op', 'Indie', 'Fantasy', 'Hex Grid', 'Strategy RPG']",rpg_party_based,2024-08-13 22:37
2484110,FINAL FANTASY VII EVER CRISIS,"Dec 7, 2023",Mixed,"| 1,994 User Reviews",Free To Play,"['RPG', 'Adventure', 'JRPG', 'Party-Based RPG', '3D', 'Realistic', 'Cinematic', 'Sci-fi', 'Fantasy', 'Magic', 'Story Rich', 'Drama', 'Singleplayer', 'Co-op', 'Free to Play', 'Auto Battler', 'Online Co-Op', 'Multiplayer', 'Gambling', 'Epic']",rpg_party_based,2024-08-13 22:37
1676840,For The King II,"Nov 2, 2023",Mixed,"| 9,050 User Reviews",NT$ 648.00,"['Adventure', 'RPG', 'Strategy', 'Party-Based RPG', 'Board Game', 'Roguelike', 'Roguelite', 'Turn-Based Strategy', 'Tabletop', 'Turn-Based Combat', 'Multiplayer', 'Fantasy', 'Co-op', 'Online Co-Op', 'Hex Grid', 'Local Co-Op', 'Local Multiplayer', 'Open World', 'Singleplayer', 'PvP']",rpg_party_based,2024-08-13 22:37
1358750,勇者鬥惡龍X　覺醒的五種族　OFFLINE,"Sep 14, 2022",Mostly Positive,| 365 User Reviews,"NT$ 1,490.00","['RPG', 'Party-Based RPG', 'JRPG', 'Adventure', 'Cute', 'Third Person', 'Dragons', 'Turn-Based Combat', 'Anime', 'Cartoony', 'Fantasy', 'Singleplayer']",rpg_party_based,2024-08-13 22:37
435150,Divinity: Original Sin 2 - Definitive Edition,"Sep 14, 2017",Overwhelmingly Positive,"| 158,170 User Reviews","NT$ 1,038.00","['Tactical RPG', 'RPG', 'Turn-Based Strategy', 'Story Rich', 'Fantasy', 'Exploration', 'Character Customization', 'CRPG', 'Party-Based RPG', 'Strategy RPG', 'PvP', 'Female Protagonist', 'Co-op Campaign', 'Local Co-Op', 'Choices Matter', 'Isometric', 'Romance', 'Strategy', 'Moddable', 'Funny']",rpg_party_based,2024-08-13 22:37
1188930,Chrono Ark,"May 3, 2024",Very Positive,"| 9,154 User Reviews",NT$ 408.00,"['Roguelike Deckbuilder', 'Anime', 'RPG', 'Strategy', 'Indie', 'Adventure', 'Roguelite', 'Card Game', 'Female Protagonist', 'Party-Based RPG', 'Card Battler', 'Difficult', 'Turn-Based Combat', 'Roguelike', 'Cute', 'Singleplayer', 'Story Rich', 'Turn-Based', 'Deckbuilding', 'Early Access']",rpg_party_based,2024-08-13 22:37
1870150,Xuan-Yuan Sword: The Clouds Faraway,"Jan 12, 2023",Mostly Positive,| 122 User Reviews,NT$ 124.00,"['RPG', 'Historical', 'Fantasy', 'Story Rich', 'Lore-Rich', 'Party-Based RPG', 'Singleplayer', 'Drama', 'Martial Arts', 'Swordplay', '3D', 'Mythology', 'War', 'Linear', 'Stylized', '3D Platformer']",rpg_party_based,2024-08-13 22:37
2679460,Metaphor: ReFantazio,"Oct 11, 2024",,,"NT$ 1,890.00","['RPG', 'Anime', 'Action RPG', 'Action', 'Turn-Based Strategy', 'Turn-Based Combat', 'Time Management', 'Dark Fantasy', 'Adventure', 'JRPG', 'Singleplayer', 'Story Rich', 'Third Person', 'Party-Based RPG', 'Strategy RPG', 'Dungeon Crawler', 'Exploration', 'Colorful', 'Fantasy', 'Hand-drawn']",rpg_party_based,2024-08-13 22:37
2689210,Persona 3 Reload: Expansion Pass,"Mar 12, 2024",Mostly Negative,"| 1,027 User Reviews",NT$ 840.00,"['RPG', 'Adventure', 'Strategy', 'JRPG', 'Party-Based RPG', 'Turn-Based Strategy', 'Anime', 'Strategy RPG', 'Dating Sim', 'Visual Novel', 'Dark', 'Colorful', 'Emotional', 'Detective', 'Mystery', 'Supernatural', 'Story Rich', 'Heist', 'Multiple Endings', 'Turn-Based Combat']",rpg_party_based,2024-08-13 22:37
1870140,Xuan-Yuan Sword: The Cloud of Han,"Jan 12, 2023",Mostly Positive,| 109 User Reviews,NT$ 124.00,"['RPG', 'Story Rich', 'Historical', 'Mythology', 'Turn-Based Combat', 'Singleplayer', 'Party-Based RPG', 'Lore-Rich', 'Martial Arts', 'Linear', '3D', 'Fantasy', 'Strategy RPG', '3D Platformer', 'Cartoony', 'Third Person']",rpg_party_based,2024-08-13 22:37
1940340,Darkest Dungeon® II,"May 8, 2023",Mostly Positive,"| 15,390 User Reviews",NT$ 599.00,"['Turn-Based Tactics', 'Dungeon Crawler', 'Roguelite', 'Dark Fantasy', 'Lovecraftian', 'Singleplayer', 'Perma Death', 'Roguelike', 'CRPG', 'Turn-Based', 'Story Rich', 'Party-Based RPG', 'Hand-drawn', '2D', 'Procedural Generation', 'Gothic', 'Turn-Based Combat', 'RPG', 'Turn-Based Strategy', 'Stylized']",rpg_party_based,2024-08-13 22:37
1096900,RPG Maker MZ,"Aug 27, 2020",Very Positive,"| 1,339 User Reviews","NT$ 1,199.00","['RPG', 'Game Development', 'RPGMaker', 'Anime', 'JRPG', '2D', 'Singleplayer', 'Party-Based RPG', 'Top-Down', 'Design & Illustration', 'Web Publishing', 'Software', 'Education', 'Pixel Graphics', 'Fantasy', 'Story Rich', 'Magic', 'MMORPG']",rpg_party_based,2024-08-13 22:37
1173820,FINAL FANTASY VI,"Feb 23, 2022",Very Positive,"| 3,010 User Reviews",NT$ 499.00,"['RPG', '2D', 'Singleplayer', 'JRPG', 'Adventure', 'Class-Based', 'Emotional', 'Fantasy', 'Exploration', 'Pixel Graphics', 'Lore-Rich', 'Nostalgia', 'Magic', 'Party-Based RPG', 'Turn-Based Combat', 'Remake', 'Retro', 'Story Rich', 'Great Soundtrack', 'Female Protagonist']",rpg_party_based,2024-08-13 22:37
1809700,Persona 3 Portable,"Jan 19, 2023",Mostly Positive,"| 3,902 User Reviews",NT$ 590.00,"['RPG', 'Story Rich', 'JRPG', 'Turn-Based Combat', 'Anime', 'Singleplayer', 'Female Protagonist', 'Party-Based RPG', 'Emotional', 'Turn-Based Strategy', 'Multiple Endings', 'Dark', 'Visual Novel', 'Mystery', 'Dating Sim', 'Great Soundtrack', 'Adventure', 'Strategy', 'Violent', 'Sexual Content']",rpg_party_based,2024-08-13 22:37
1150690,OMORI,"Dec 25, 2020",Overwhelmingly Positive,"| 64,886 User Reviews",NT$ 318.00,"['Psychological Horror', 'Story Rich', 'Pixel Graphics', 'Indie', 'Great Soundtrack', 'RPG', 'Multiple Endings', 'RPGMaker', 'Hand-drawn', 'Horror', '2D', 'Colorful', 'Turn-Based', 'Atmospheric', 'Party-Based RPG', 'Exploration', 'JRPG', 'Stylized', 'Anime', 'Fantasy']",rpg_party_based,2024-08-13 22:37
1546570,Sword and Fairy,"Apr 15, 2021",Overwhelmingly Positive,"| 3,262 User Reviews",NT$ 128.00,"['RPG', 'Story Rich', 'Turn-Based Combat', 'Singleplayer', 'Fantasy', '2D', 'Retro', 'Romance', 'Drama', 'Colorful', 'Third Person', 'Magic', '2D Platformer', 'Classic', 'Party-Based RPG', 'Female Protagonist']",rpg_party_based,2024-08-13 22:37
47810,Dragon Age: Origins - Ultimate Edition,"Oct 27, 2010",Very Positive,"| 22,682 User Reviews",NT$ 79.00,"['RPG', 'Fantasy', 'Story Rich', 'Choices Matter', 'Singleplayer', 'Party-Based RPG', 'Real-Time with Pause', 'Character Customization', 'Mature', 'Adventure', 'Multiple Endings', 'Dark Fantasy', 'Well-Written', 'Strategy', 'Dragons', 'Female Protagonist', 'Classic', 'Open World', 'Tactical', 'Moddable']",rpg_party_based,2024-08-13 22:37
1508750,Xuan-Yuan Sword: Dance of the Maple Leaves,"Feb 8, 2021",Very Positive,| 248 User Reviews,NT$ 64.00,"['RPG', 'CRPG', 'JRPG', 'Party-Based RPG', '2D Platformer', '2D', 'Story Rich', 'Lore-Rich', 'Historical', 'Linear', 'Turn-Based Combat', 'Pixel Graphics', 'Singleplayer', 'Medieval']",rpg_party_based,2024-08-13 22:37
