GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
2139460,Once Human,"Jul 9, 2024",Mostly Positive,"| 61,441 User Reviews",Free To Play,"['Survival', 'Open World', 'Multiplayer', 'Free to Play', 'Co-op', 'Shooter', 'Action', 'Post-apocalyptic', 'Base Building', 'Adventure', 'Horror', 'Strategy', 'Simulation', '3D', 'RPG', 'Action-Adventure', 'MMORPG', 'PvP', 'Strategy RPG', 'Singleplayer']",rpg_strategy_tactics,2024-08-05 12:10
1086940,Baldur's Gate 3,"Aug 3, 2023",Overwhelmingly Positive,"| 565,670 User Reviews","NT$ 1,599.00","['RPG', 'Character Customization', 'Choices Matter', 'Story Rich', 'Turn-Based Combat', 'Dungeons & Dragons', 'CRPG', 'Adventure', 'Fantasy', 'Online Co-Op', 'Romance', 'Multiplayer', 'Strategy', 'Singleplayer', 'Sexual Content', 'Co-op Campaign', 'Class-Based', 'Dark Fantasy', 'Combat', 'Nudity']",rpg_strategy_tactics,2024-08-05 12:10
835570,Conqueror's Blade,"Apr 6, 2020",Mixed,"| 30,491 User Reviews",Free To Play,"['PvP', 'Medieval', 'Massively Multiplayer', 'Action', 'Strategy', 'MMORPG', 'Sandbox', 'Free to Play', 'Character Customization', 'Alternate History', 'War', 'Wargame', 'RPG', 'Open World', 'Swordplay', 'RTS', 'Tactical', 'Third Person', 'Team-Based', 'Action RPG']",rpg_strategy_tactics,2024-08-05 12:10
1859910,Legend of Mortal,"Jun 14, 2024",Mostly Positive,"| 22,203 User Reviews",NT$ 369.00,"['RPG', 'Choices Matter', 'Multiple Endings', 'Replay Value', 'Lore-Rich', 'Martial Arts', 'Drama', 'Strategy', 'Singleplayer', 'Dating Sim', 'Funny', 'Narrative', 'Indie', 'Adventure', 'Action', '2D', 'Tactical RPG', 'Atmospheric', 'Retro', 'Sexual Content']",rpg_strategy_tactics,2024-08-05 12:10
582660,Black Desert,"Sep 14, 2021",Mostly Positive,"| 55,810 User Reviews",NT$ 200.00,"['MMORPG', 'Massively Multiplayer', 'Open World', 'RPG', 'Character Customization', 'Adventure', 'Fantasy', 'Action', 'Strategy', '3D', 'Medieval', 'Crafting', 'Atmospheric', 'Multiplayer', 'Magic', 'Simulation', 'PvP', 'Cooking', 'War', 'Combat']",rpg_strategy_tactics,2024-08-05 12:10
2426960,Summoners War,"Jan 8, 2024",Mostly Positive,"| 5,947 User Reviews",Free To Play,"['Free to Play', 'RPG', 'Strategy', 'RTS', 'Strategy RPG', 'Turn-Based Strategy', 'Tactical RPG', 'Turn-Based Tactics', 'PvP', 'Real Time Tactics', 'PvE', 'Tutorial', 'Turn-Based Combat', 'Lore-Rich', 'Fantasy', 'Colorful', 'Anime', 'Cinematic', 'Multiplayer', 'Party-Based RPG']",rpg_strategy_tactics,2024-08-05 12:10
570,Dota 2,"Jul 9, 2013",Very Positive,"| 2,288,016 User Reviews",Free To Play,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']",rpg_strategy_tactics,2024-08-05 12:10
1876890,Wandering Sword,"Sep 15, 2023",Very Positive,"| 16,771 User Reviews",NT$ 359.00,"['RPG', 'Martial Arts', 'Pixel Graphics', 'Turn-Based', 'Story Rich', 'Open World', 'Strategy', 'Adventure', 'Singleplayer', '2.5D', 'Drama', 'Swordplay', ""1990's"", 'Foreign', 'Turn-Based Combat', 'Tactical', 'Turn-Based Strategy', 'Turn-Based Tactics', 'Action RPG', 'Silent Protagonist']",rpg_strategy_tactics,2024-08-05 12:10
1971650,OCTOPATH TRAVELER II,"Feb 24, 2023",Overwhelmingly Positive,"| 9,090 User Reviews","NT$ 1,790.00","['RPG', 'Turn-Based', 'JRPG', '2.5D', 'Party-Based RPG', 'Open World', 'Story Rich', 'Choices Matter', 'Turn-Based Combat', 'Cute', 'Strategy', 'Pixel Graphics', 'Anime', 'Fantasy', 'Casual', 'Magic', 'Atmospheric', 'Adventure', 'Emotional', 'Singleplayer']",rpg_strategy_tactics,2024-08-05 12:10
1158310,Crusader Kings III,"Sep 1, 2020",Very Positive,"| 71,533 User Reviews","NT$ 1,268.00","['Strategy', 'Medieval', 'Grand Strategy', 'Simulation', 'RPG', 'Historical', 'Management', 'Character Customization', 'RTS', 'Life Sim', 'Sandbox', 'Choices Matter', 'War', 'Singleplayer', 'Economy', '4X', 'Political', 'Moddable', 'Multiplayer', 'Real-Time with Pause']",rpg_strategy_tactics,2024-08-05 12:10
261550,Mount & Blade II: Bannerlord,"Oct 25, 2022",Very Positive,"| 193,038 User Reviews","NT$ 1,399.00","['Medieval', 'Strategy', 'Open World', 'RPG', 'War', 'Sandbox', 'Multiplayer', 'Singleplayer', 'Action', 'Character Customization', 'Simulation', 'Moddable', 'Adventure', 'Horses', 'Realistic', 'Third Person', 'First-Person', 'Historical', 'Great Soundtrack', 'Early Access']",rpg_strategy_tactics,2024-08-05 12:10
601510,Yu-Gi-Oh! Duel Links,"Nov 17, 2017",Very Positive,"| 42,384 User Reviews",Free To Play,"['Free to Play', 'Card Game', 'Anime', 'Strategy', 'Multiplayer', 'Trading Card Game', 'Singleplayer', 'Turn-Based', 'Competitive', 'Casual', 'RPG', 'Memes', 'Great Soundtrack', 'Online Co-Op', 'Action', 'Adventure', 'Simulation', 'Massively Multiplayer', 'Psychological Horror', 'MMORPG']",rpg_strategy_tactics,2024-08-05 12:10
1371580,Myth of Empires,"Feb 21, 2024",Mostly Positive,"| 14,211 User Reviews",NT$ 244.00,"['Building', 'Open World Survival Craft', 'Sandbox', 'Open World', 'Survival', 'MMORPG', 'War', 'Base Building', 'Character Customization', 'RPG', 'Action-Adventure', 'Multiplayer', 'Hack and Slash', 'Strategy', 'Third Person', 'Historical', 'Team-Based', 'Action', '3D', 'Massively Multiplayer']",rpg_strategy_tactics,2024-08-05 12:10
780310,The Riftbreaker,"Oct 14, 2021",Very Positive,"| 15,389 User Reviews",NT$ 268.00,"['Base Building', 'Tower Defense', 'Survival', 'Strategy', 'Hack and Slash', 'Crafting', 'Resource Management', 'Sci-fi', 'Building', 'Action RPG', 'Exploration', 'Adventure', 'RPG', 'Isometric', 'Simulation', 'Loot', 'Sandbox', 'Mechs', 'Action', 'Atmospheric']",rpg_strategy_tactics,2024-08-05 12:10
