GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
2139460,Once Human,"Jul 9, 2024",Mostly Positive,"| 78,491 User Reviews",Free To Play,"['Survival', 'Open World', 'Multiplayer', 'Free to Play', 'Co-op', 'Shooter', 'Post-apocalyptic', 'Base Building', 'Horror', 'Action', 'Adventure', 'Strategy', 'Simulation', '3D', 'RPG', 'MMORPG', 'Action-Adventure', 'PvP', 'Singleplayer', 'Strategy RPG']",rpg_strategy_tactics,2024-08-27 13:56
835570,Conqueror's Blade,"Apr 6, 2020",Mixed,"| 30,682 User Reviews",Free To Play,"['PvP', 'Medieval', 'Massively Multiplayer', 'Action', 'Strategy', 'MMORPG', 'Sandbox', 'Free to Play', 'Character Customization', 'Alternate History', 'War', 'Wargame', 'Open World', 'RPG', 'Swordplay', 'RTS', 'Tactical', 'Third Person', 'Team-Based', 'Action RPG']",rpg_strategy_tactics,2024-08-27 13:56
1086940,Baldur's Gate 3,"Aug 3, 2023",Overwhelmingly Positive,"| 572,188 User Reviews","NT$ 1,599.00","['RPG', 'Character Customization', 'Choices Matter', 'Story Rich', 'Turn-Based Combat', 'Dungeons & Dragons', 'CRPG', 'Adventure', 'Fantasy', 'Online Co-Op', 'Romance', 'Multiplayer', 'Strategy', 'Sexual Content', 'Singleplayer', 'Co-op Campaign', 'Class-Based', 'Dark Fantasy', 'Combat', 'Nudity']",rpg_strategy_tactics,2024-08-27 13:56
1859910,Legend of Mortal,"Jun 14, 2024",Mostly Positive,"| 23,663 User Reviews",NT$ 369.00,"['RPG', 'Choices Matter', 'Multiple Endings', 'Replay Value', 'Lore-Rich', 'Martial Arts', 'Drama', 'Dating Sim', 'Singleplayer', 'Strategy', 'Funny', 'Narrative', 'Indie', 'Adventure', '2D', 'Action', 'Tactical RPG', 'Atmospheric', 'Retro', 'Sexual Content']",rpg_strategy_tactics,2024-08-27 13:56
570,Dota 2,"Jul 9, 2013",Very Positive,"| 2,304,298 User Reviews",Free To Play,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']",rpg_strategy_tactics,2024-08-27 13:56
1534980,Terminus: Zombie Survivors,"Aug 19, 2024",Overwhelmingly Positive,"| 1,960 User Reviews",NT$ 262.00,"['Survival', 'Zombies', 'Roguelike', 'Open World Survival Craft', 'Turn-Based Strategy', 'Open World', 'RPG', 'Sandbox', 'Pixel Graphics', 'Strategy', 'Exploration', 'Adventure', 'Crafting', 'Horror', 'Singleplayer', 'Post-apocalyptic', 'Gore', 'Turn-Based Combat', 'Turn-Based', 'Indie']",rpg_strategy_tactics,2024-08-27 13:56
1676840,For The King II,"Nov 2, 2023",Mostly Positive,"| 9,235 User Reviews",NT$ 388.00,"['Adventure', 'RPG', 'Strategy', 'Party-Based RPG', 'Board Game', 'Roguelike', 'Turn-Based Strategy', 'Roguelite', 'Tabletop', 'Turn-Based Combat', 'Multiplayer', 'Fantasy', 'Co-op', 'Online Co-Op', 'Hex Grid', 'Local Co-Op', 'Local Multiplayer', 'Open World', 'Singleplayer', 'PvP']",rpg_strategy_tactics,2024-08-27 13:56
582660,Black Desert,"Sep 14, 2021",Mostly Positive,"| 56,058 User Reviews",NT$ 200.00,"['MMORPG', 'Massively Multiplayer', 'Open World', 'RPG', 'Character Customization', 'Adventure', 'Fantasy', 'Action', 'Strategy', '3D', 'Medieval', 'Crafting', 'Atmospheric', 'Multiplayer', 'Magic', 'Simulation', 'PvP', 'Cooking', 'War', 'Combat']",rpg_strategy_tactics,2024-08-27 13:56
261550,Mount & Blade II: Bannerlord,"Oct 25, 2022",Very Positive,"| 193,967 User Reviews","NT$ 1,399.00","['Medieval', 'Strategy', 'Open World', 'RPG', 'War', 'Sandbox', 'Multiplayer', 'Singleplayer', 'Action', 'Character Customization', 'Simulation', 'Moddable', 'Adventure', 'Horses', 'Realistic', 'Third Person', 'First-Person', 'Historical', 'Great Soundtrack', 'Early Access']",rpg_strategy_tactics,2024-08-27 13:56
2161700,Persona 3 Reload,"Feb 2, 2024",Overwhelmingly Positive,"| 18,102 User Reviews","NT$ 1,890.00","['JRPG', 'RPG', 'Anime', 'Party-Based RPG', 'Adventure', 'Turn-Based Strategy', 'Strategy', 'Dating Sim', 'Story Rich', 'Dark', 'Strategy RPG', 'Visual Novel', 'Emotional', 'Colorful', 'Turn-Based Combat', 'Mystery', 'Supernatural', 'Great Soundtrack', 'Detective', 'Multiple Endings']",rpg_strategy_tactics,2024-08-27 13:56
