GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
1422440,Cataclismo,"Jul 22, 2024",Very Positive,"| 1,514 User Reviews",NT$ 559.00,"['Strategy', 'Base Building', 'Simulation', 'City Builder', 'Management', 'Sandbox', 'Building', 'Resource Management', 'Grand Strategy', 'Historical', 'Colony Sim', 'Tower Defense', 'Open World', 'Dark Fantasy', 'Singleplayer', 'Moddable', '4X', 'Economy', 'RTS', 'Early Access']",sim_building_automation,2024-08-05 12:10
2139460,Once Human,"Jul 9, 2024",Mostly Positive,"| 61,441 User Reviews",Free To Play,"['Survival', 'Open World', 'Multiplayer', 'Free to Play', 'Co-op', 'Shooter', 'Action', 'Post-apocalyptic', 'Base Building', 'Adventure', 'Horror', 'Strategy', 'Simulation', '3D', 'RPG', 'Action-Adventure', 'MMORPG', 'PvP', 'Strategy RPG', 'Singleplayer']",sim_building_automation,2024-08-05 12:10
1857090,Norland,"Jul 18, 2024",Mostly Positive,"| 3,347 User Reviews",NT$ 699.00,"['Strategy', 'Simulation', 'Base Building', 'City Builder', 'Colony Sim', 'Management', 'Building', 'Sandbox', 'Resource Management', 'Grand Strategy', 'Open World', 'Moddable', 'Historical', 'Survival', 'Singleplayer', 'Replay Value', '4X', 'Early Access', 'Economy', 'RTS']",sim_building_automation,2024-08-05 12:10
1363080,Manor Lords,"Apr 26, 2024",Very Positive,"| 45,245 User Reviews",NT$ 749.00,"['Strategy', 'Simulation', 'City Builder', 'Base Building', 'Grand Strategy', 'Management', 'Building', 'Resource Management', 'Sandbox', 'Colony Sim', 'Historical', 'Survival', 'Moddable', 'Open World', 'Singleplayer', 'Replay Value', 'RTS', '4X', 'Early Access', 'Economy']",sim_building_automation,2024-08-05 12:10
1203620,Enshrouded,"Jan 24, 2024",Very Positive,"| 48,300 User Reviews",NT$ 399.00,"['Open World', 'Survival', 'Base Building', 'Multiplayer', 'Online Co-Op', 'Crafting', 'RPG', 'Action RPG', 'Building', 'Adventure', 'Singleplayer', 'Exploration', 'Early Access', 'Fantasy', 'Sandbox', 'Character Customization', 'Action', 'PvE', '3D', 'Indie']",sim_building_automation,2024-08-05 12:10
251570,7 Days to Die,"Jul 25, 2024",Very Positive,"| 227,256 User Reviews",NT$ 670.00,"['Survival', 'Zombies', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Voxel', 'Base Building', 'Post-apocalyptic', 'Online Co-Op', 'Building', 'Exploration', 'Sandbox', 'Simulation', 'FPS', 'Character Customization', 'Strategy', 'Tower Defense', 'Action', 'Procedural Generation', 'Horror']",sim_building_automation,2024-08-05 12:10
1623730,Palworld,"Jan 19, 2024",Very Positive,"| 270,721 User Reviews",NT$ 488.00,"['Open World', 'Multiplayer', 'Survival', 'Creature Collector', 'Open World Survival Craft', 'Crafting', 'Co-op', 'Adventure', 'Sandbox', 'Third-Person Shooter', 'Automation', 'Action', 'Early Access', 'RPG', 'Anime', 'PvE', '3D', 'Indie', 'Looter Shooter', 'Hack and Slash']",sim_building_automation,2024-08-05 12:10
949230,Cities: Skylines II,"Oct 24, 2023",Mixed,"| 41,599 User Reviews","NT$ 1,398.00","['Simulation', 'City Builder', 'Building', 'Singleplayer', 'Sandbox', 'Management', 'Economy', 'Strategy', 'Realistic', 'Moddable', 'Resource Management', 'Transportation', 'Relaxing', 'Casual', 'Atmospheric', 'Multiplayer', 'Early Access', 'Open World', 'Great Soundtrack', 'Mod']",sim_building_automation,2024-08-05 12:10
294100,RimWorld,"Oct 17, 2018",Overwhelmingly Positive,"| 161,640 User Reviews",NT$ 529.00,"['Colony Sim', 'Base Building', 'Survival', 'Strategy', 'Sandbox', 'Management', 'Building', 'Simulation', 'Singleplayer', 'Moddable', 'City Builder', 'Open World', 'Procedural Generation', '2D', 'Sci-fi', 'Indie', 'Space', 'Tactical RPG', 'Western', 'Cartoony']",sim_building_automation,2024-08-05 12:10
813780,Age of Empires II: Definitive Edition,"Nov 14, 2019",Very Positive,"| 129,534 User Reviews",NT$ 679.00,"['Strategy', 'RTS', 'City Builder', 'Multiplayer', 'Base Building', 'Historical', 'Singleplayer', 'Medieval', 'Resource Management', 'Classic', 'Tactical', 'Real-Time', 'Co-op', 'Remake', 'Isometric', 'Replay Value', '2D', 'Action', 'Great Soundtrack', 'Adventure']",sim_building_automation,2024-08-05 12:10
2849080,Kingdom Rush 5: Alliance TD,"Jul 25, 2024",Very Positive,"| 3,431 User Reviews",NT$ 295.00,"['Strategy', 'Tower Defense', '2D', 'Cartoon', 'Cartoony', 'Dragons', 'Building', 'Singleplayer', 'Fantasy', 'Funny', 'Medieval', 'Indie', 'Action', 'Adventure', 'Comedy', 'Magic', 'Dark']",sim_building_automation,2024-08-05 12:10
1222670,The Sims™ 4,"Jun 18, 2020",Very Positive,"| 145,544 User Reviews",Free To Play,"['Life Sim', 'Character Customization', 'Building', 'Multiplayer', 'Free to Play', 'Romance', 'Sandbox', 'Simulation', 'Singleplayer', 'Dating Sim', 'Relaxing', 'Casual', 'Realistic', 'Funny', 'Cute', 'Family Friendly', 'Immersive Sim', 'Fantasy', 'Adventure', 'Cartoony']",sim_building_automation,2024-08-05 12:10
252490,Rust,"Feb 8, 2018",Very Positive,"| 900,722 User Reviews",NT$ 694.00,"['Survival', 'Crafting', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Building', 'PvP', 'Sandbox', 'Adventure', 'First-Person', 'Action', 'Nudity', 'FPS', 'Shooter', 'Co-op', 'Online Co-Op', 'Indie', 'Early Access', 'Post-apocalyptic', 'Simulation']",sim_building_automation,2024-08-05 12:10
648800,Raft,"Jun 20, 2022",Very Positive,"| 272,455 User Reviews",NT$ 468.00,"['Survival', 'Multiplayer', 'Open World Survival Craft', 'Co-op', 'Crafting', 'Open World', 'Building', 'Base Building', 'Online Co-Op', 'Adventure', 'Sandbox', 'First-Person', 'Singleplayer', 'Underwater', 'Early Access', 'Simulation', 'Action', 'Indie', 'Strategy', 'Massively Multiplayer']",sim_building_automation,2024-08-05 12:10
413150,Stardew Valley,"Feb 26, 2016",Overwhelmingly Positive,"| 629,607 User Reviews",NT$ 398.00,"['Farming Sim', 'Pixel Graphics', 'Life Sim', 'Multiplayer', 'RPG', 'Relaxing', 'Agriculture', 'Simulation', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Singleplayer', 'Casual', 'Open World', '2D', 'Cute', 'Dating Sim', 'Great Soundtrack', 'Fishing']",sim_building_automation,2024-08-05 12:10
