GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
413150,Stardew Valley,"Feb 26, 2016",Overwhelmingly Positive,"| 637,405 User Reviews",NT$ 398.00,"['Farming Sim', 'Pixel Graphics', 'Life Sim', 'Multiplayer', 'RPG', 'Relaxing', 'Agriculture', 'Simulation', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Singleplayer', 'Casual', 'Open World', '2D', 'Cute', 'Dating Sim', 'Great Soundtrack', 'Fishing']",sim_farming_crafting,2024-08-27 13:56
1868140,DAVE THE DIVER,"Jun 28, 2023",Overwhelmingly Positive,"| 101,023 User Reviews",NT$ 350.00,"['Pixel Graphics', 'Casual', 'Management', 'Adventure', 'Relaxing', 'RPG', 'Fishing', 'Exploration', 'Simulation', 'Underwater', 'Singleplayer', 'Farming Sim', 'Crafting', '2D', 'Story Rich', 'Roguelite', 'Funny', 'Agriculture', 'Action', 'Indie']",sim_farming_crafting,2024-08-27 13:56
2162800,shapez 2,"Aug 15, 2024",Overwhelmingly Positive,"| 5,017 User Reviews",NT$ 326.00,"['Management', 'Strategy', 'Automation', 'Futuristic', 'Early Access', 'Building', 'Puzzle', 'Crafting', 'Simulation', 'Sandbox', 'Trains', 'Space', 'Transportation', 'Base Building', '3D', 'Logic', 'Singleplayer', 'Casual', 'Relaxing', 'Procedural Generation']",sim_farming_crafting,2024-08-27 13:56
108600,Project Zomboid,"Nov 8, 2013",Very Positive,"| 239,827 User Reviews",NT$ 328.00,"['Survival', 'Zombies', 'Open World', 'Open World Survival Craft', 'Multiplayer', 'Sandbox', 'Post-apocalyptic', 'Co-op', 'Crafting', 'Indie', 'Building', 'Simulation', 'RPG', 'Survival Horror', 'Realistic', 'Isometric', 'Singleplayer', '2D', 'Adventure', 'Early Access']",sim_farming_crafting,2024-08-27 13:56
2142790,Fields of Mistria,"Aug 5, 2024",Overwhelmingly Positive,"| 5,747 User Reviews",NT$ 248.00,"['RPG', 'Simulation', 'Farming Sim', 'Dating Sim', 'Life Sim', 'Romance', 'Farming', 'Agriculture', 'Cute', 'Relaxing', 'Anime', 'Sandbox', 'Open World', '2D', 'Crafting', 'Pixel Graphics', 'Building', 'Cooking', 'Mining', 'Singleplayer']",sim_farming_crafting,2024-08-27 13:56
1129580,Medieval Dynasty,"Sep 23, 2021",Very Positive,"| 33,130 User Reviews",NT$ 629.00,"['Crafting', 'Building', 'Multiplayer', 'Co-op', 'Medieval', 'Survival', 'Immersive Sim', 'Sandbox', 'Open World', 'Base Building', 'RPG', 'Singleplayer', 'Atmospheric', 'Simulation', 'Realistic', 'First-Person', 'Adventure', 'Historical', 'Management', 'Agriculture']",sim_farming_crafting,2024-08-27 13:56
2420240,HAREM！RANCH LIFE,"Aug 23, 2024",Mostly Positive,| 80 User Reviews,NT$ 295.00,"['Sexual Content', 'Hentai', 'Farming Sim', 'City Builder', 'Base Building', 'Cute', 'Immersive Sim', 'RPG', 'Visual Novel', 'Funny', 'Building', 'Relaxing', 'Casual', 'Simulation', 'Pixel Graphics', 'Anime', 'Singleplayer', 'Indie', 'Mature', 'Nudity']",sim_farming_crafting,2024-08-27 13:56
427410,Abiotic Factor,"May 2, 2024",Overwhelmingly Positive,"| 12,265 User Reviews",NT$ 408.00,"['Online Co-Op', 'Survival', 'Early Access', 'Open World Survival Craft', 'Crafting', 'Base Building', 'Sci-fi', 'Co-op Campaign', 'Exploration', 'Multiplayer', 'FPS', 'Sandbox', 'First-Person', 'Simulation', 'Building', 'Science', 'Immersive Sim', 'Aliens', 'Adventure', 'PvE']",sim_farming_crafting,2024-08-27 13:56
242760,The Forest,"Apr 30, 2018",Overwhelmingly Positive,"| 471,283 User Reviews",NT$ 318.00,"['Open World Survival Craft', 'Survival', 'Open World', 'Horror', 'Crafting', 'Adventure', 'Building', 'Survival Horror', 'First-Person', 'Action', 'Exploration', 'Sandbox', 'Singleplayer', 'Atmospheric', 'Simulation', 'Gore', 'Realistic', 'Indie', 'Zombies', 'Early Access']",sim_farming_crafting,2024-08-27 13:56
1258080,Shop Titans,"May 5, 2020",Mostly Positive,"| 15,560 User Reviews",Free To Play,"['Free to Play', 'Simulation', 'RPG', 'Management', 'Adventure', 'Casual', 'Base Building', 'Crafting', 'Multiplayer', 'Economy', 'Singleplayer', 'Medieval', 'Fantasy', 'Addictive', 'Relaxing', 'Cute', 'Colorful', 'Family Friendly', 'Beautiful', 'Fighting']",sim_farming_crafting,2024-08-27 13:56
