App_Id,Name,Operation_Date,Rating_Summary,Total_Number_of_Rating,Cost,Game_Tag,Category,Datetime
2139460,Once Human,"Jul 9, 2024",Mostly Positive,"| 61,441 User Reviews",Free To Play,"['Survival', 'Open World', 'Multiplayer', 'Free to Play', 'Co-op', 'Shooter', 'Action', 'Post-apocalyptic', 'Base Building', 'Adventure', 'Horror', 'Strategy', 'Simulation', '3D', 'RPG', 'Action-Adventure', 'MMORPG', 'PvP', 'Strategy RPG', 'Singleplayer']",simulation,2024-08-05 12:10
227300,Euro Truck Simulator 2,"Oct 12, 2012",Overwhelmingly Positive,"| 586,812 User Reviews",NT$ 428.00,"['Driving', 'Transportation', 'Simulation', 'Open World', 'Automobile Sim', 'Realistic', 'Moddable', 'Relaxing', 'Exploration', 'Economy', 'Immersive Sim', 'Management', 'Atmospheric', 'Multiplayer', 'Controller', 'Family Friendly', 'Third Person', 'Adventure', 'Casual', 'Indie']",simulation,2024-08-05 12:10
2567870,Chained Together,"Jun 19, 2024",Very Positive,"| 21,770 User Reviews",NT$ 102.00,"['Adventure', 'Co-op', 'Casual', 'Platformer', 'Simulation', 'Puzzle Platformer', 'Action-Adventure', '3D Platformer', 'Third Person', 'Exploration', 'Funny', 'Mystery', 'Post-apocalyptic', 'Online Co-Op', 'Emotional', 'Surreal', 'Physics', 'Multiplayer', 'Choices Matter', 'Controller']",simulation,2024-08-05 12:10
1551360,Forza Horizon 5,"Nov 9, 2021",Very Positive,"| 173,064 User Reviews","NT$ 1,688.00","['Racing', 'Open World', 'Driving', 'Multiplayer', 'Automobile Sim', 'Realistic', 'Adventure', 'Simulation', 'Arcade', 'Exploration', 'First-Person', 'Atmospheric', 'Sports', 'Co-op', 'PvP', 'Online Co-Op', 'Singleplayer', 'Beautiful', 'Action', 'VR']",simulation,2024-08-05 12:10
236390,War Thunder,"Aug 15, 2013",Mostly Positive,"| 520,330 User Reviews",Free To Play,"['Free to Play', 'Vehicular Combat', 'Combat', 'World War II', 'VR', 'Flight', 'War', 'Military', 'Tanks', 'Naval Combat', 'Simulation', 'Massively Multiplayer', 'Modern', 'Multiplayer', 'Cold War', 'Action', 'Realistic', 'Shooter', 'Third-Person Shooter', 'Third Person']",simulation,2024-08-05 12:10
1422440,Cataclismo,"Jul 22, 2024",Very Positive,"| 1,514 User Reviews",NT$ 559.00,"['Strategy', 'Base Building', 'Simulation', 'City Builder', 'Management', 'Sandbox', 'Building', 'Resource Management', 'Grand Strategy', 'Historical', 'Colony Sim', 'Tower Defense', 'Open World', 'Dark Fantasy', 'Singleplayer', 'Moddable', '4X', 'Economy', 'RTS', 'Early Access']",simulation,2024-08-05 12:10
251570,7 Days to Die,"Jul 25, 2024",Very Positive,"| 227,256 User Reviews",NT$ 670.00,"['Survival', 'Zombies', 'Multiplayer', 'Open World', 'Open World Survival Craft', 'Voxel', 'Base Building', 'Post-apocalyptic', 'Online Co-Op', 'Building', 'Exploration', 'Sandbox', 'Simulation', 'FPS', 'Character Customization', 'Strategy', 'Tower Defense', 'Action', 'Procedural Generation', 'Horror']",simulation,2024-08-05 12:10
1449850,Yu-Gi-Oh! Master Duel,"Jan 19, 2022",Mostly Positive,"| 75,381 User Reviews",Free To Play,"['Card Game', 'Free to Play', 'Strategy', 'Trading Card Game', 'Multiplayer', 'PvP', 'Card Battler', 'Anime', 'Simulation', 'Turn-Based Tactics', 'Tactical', 'Singleplayer', 'eSports', 'Dragons', 'Fantasy', 'PvE', '3D', '2D', 'Great Soundtrack', 'Sexual Content']",simulation,2024-08-05 12:10
949230,Cities: Skylines II,"Oct 24, 2023",Mixed,"| 41,599 User Reviews","NT$ 1,398.00","['Simulation', 'City Builder', 'Building', 'Singleplayer', 'Sandbox', 'Management', 'Economy', 'Strategy', 'Realistic', 'Moddable', 'Resource Management', 'Transportation', 'Relaxing', 'Casual', 'Atmospheric', 'Multiplayer', 'Early Access', 'Open World', 'Great Soundtrack', 'Mod']",simulation,2024-08-05 12:10
1222670,The Sims™ 4,"Jun 18, 2020",Very Positive,"| 145,544 User Reviews",Free To Play,"['Life Sim', 'Character Customization', 'Building', 'Multiplayer', 'Free to Play', 'Romance', 'Sandbox', 'Simulation', 'Singleplayer', 'Dating Sim', 'Relaxing', 'Casual', 'Realistic', 'Funny', 'Cute', 'Family Friendly', 'Immersive Sim', 'Fantasy', 'Adventure', 'Cartoony']",simulation,2024-08-05 12:10
1857090,Norland,"Jul 18, 2024",Mostly Positive,"| 3,347 User Reviews",NT$ 699.00,"['Strategy', 'Simulation', 'Base Building', 'City Builder', 'Colony Sim', 'Management', 'Building', 'Sandbox', 'Resource Management', 'Grand Strategy', 'Open World', 'Moddable', 'Historical', 'Survival', 'Singleplayer', 'Replay Value', '4X', 'Early Access', 'Economy', 'RTS']",simulation,2024-08-05 12:10
413150,Stardew Valley,"Feb 26, 2016",Overwhelmingly Positive,"| 629,607 User Reviews",NT$ 398.00,"['Farming Sim', 'Pixel Graphics', 'Life Sim', 'Multiplayer', 'RPG', 'Relaxing', 'Agriculture', 'Simulation', 'Crafting', 'Sandbox', 'Indie', 'Building', 'Singleplayer', 'Casual', 'Open World', '2D', 'Cute', 'Dating Sim', 'Great Soundtrack', 'Fishing']",simulation,2024-08-05 12:10
1363080,Manor Lords,"Apr 26, 2024",Very Positive,"| 45,245 User Reviews",NT$ 749.00,"['Strategy', 'Simulation', 'City Builder', 'Base Building', 'Grand Strategy', 'Management', 'Building', 'Resource Management', 'Sandbox', 'Colony Sim', 'Historical', 'Survival', 'Moddable', 'Open World', 'Singleplayer', 'Replay Value', 'RTS', '4X', 'Early Access', 'Economy']",simulation,2024-08-05 12:10
281990,Stellaris,"May 9, 2016",Very Positive,"| 118,116 User Reviews","NT$ 1,018.00","['Space', 'Grand Strategy', 'Strategy', 'Sci-fi', '4X', 'Exploration', 'Sandbox', 'Simulation', 'Multiplayer', 'Singleplayer', 'Real-Time with Pause', 'Moddable', 'Diplomacy', 'Management', 'Military', 'Futuristic', 'Replay Value', 'Great Soundtrack', 'Procedural Generation', 'Atmospheric']",simulation,2024-08-05 12:10
1868140,DAVE THE DIVER,"Jun 28, 2023",Overwhelmingly Positive,"| 100,009 User Reviews",NT$ 350.00,"['Pixel Graphics', 'Casual', 'Management', 'Adventure', 'RPG', 'Relaxing', 'Fishing', 'Simulation', 'Exploration', 'Underwater', 'Singleplayer', 'Farming Sim', '2D', 'Crafting', 'Story Rich', 'Roguelite', 'Funny', 'Agriculture', 'Action', 'Indie']",simulation,2024-08-05 12:10
