GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
1551360,Forza Horizon 5,"Nov 9, 2021",Very Positive,"| 173,811 User Reviews","NT$ 1,688.00","['Racing', 'Open World', 'Driving', 'Multiplayer', 'Automobile Sim', 'Realistic', 'Simulation', 'Adventure', 'Arcade', 'Exploration', 'First-Person', 'Atmospheric', 'Sports', 'Co-op', 'PvP', 'Online Co-Op', 'Singleplayer', 'Beautiful', 'Action', 'VR']",sports_and_racing,2024-08-13 22:37
244210,Assetto Corsa,"Dec 19, 2014",Very Positive,"| 101,409 User Reviews",NT$ 79.00,"['Racing', 'Automobile Sim', 'Simulation', 'Driving', 'Multiplayer', 'Realistic', 'VR', 'Sports', 'Moddable', 'Open World', 'Controller', 'Physics', 'Singleplayer', 'First-Person', 'Replay Value', 'Indie', 'Action', '3D Vision', 'TrackIR', 'Artificial Intelligence']",sports_and_racing,2024-08-13 22:37
805550,Assetto Corsa Competizione,"May 29, 2019",Very Positive,"| 23,107 User Reviews",NT$ 349.00,"['Racing', 'Automobile Sim', 'Simulation', 'VR', 'Multiplayer', 'Driving', 'Realistic', 'Sports', 'Singleplayer', 'Controller', 'Open World', 'eSports', 'Early Access', 'First-Person', 'Competitive', 'Online Co-Op', 'Atmospheric', 'Difficult', 'Moddable', 'Action']",sports_and_racing,2024-08-13 22:37
2338770,NBA 2K24,"Sep 7, 2023",Mostly Negative,"| 30,084 User Reviews","NT$ 1,790.00","['Sports', 'Basketball', 'Simulation', 'eSports', '3D', 'Realistic', 'Management', 'PvP', 'Character Customization', 'Controller', 'Immersive Sim', 'Team-Based', 'Trading', 'Co-op', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Gambling', 'Online Co-Op', 'Singleplayer']",sports_and_racing,2024-08-13 22:37
2195250,EA SPORTS FC™ 24,"Sep 28, 2023",Mixed,"| 81,597 User Reviews","NT$ 1,999.00","['Football (Soccer)', 'Sports', 'Controller', 'Multiplayer', 'PvP', 'eSports', 'Competitive', 'PvE', 'Local Multiplayer', '3D', 'Simulation', 'Online Co-Op', 'Singleplayer', 'Realistic', 'Co-op', 'Local Co-Op', 'Action', 'Family Friendly', 'First-Person', 'Early Access']",sports_and_racing,2024-08-13 22:37
431240,Golf With Your Friends,"May 19, 2020",Very Positive,"| 42,329 User Reviews",NT$ 251.00,"['Multiplayer', 'Casual', 'Mini Golf', 'Sports', 'Golf', 'Indie', 'Funny', 'Family Friendly', 'Co-op', 'Singleplayer', 'Early Access', 'Physics', 'Simulation', 'Strategy', 'Great Soundtrack', 'Local Multiplayer', 'Difficult', 'Memes', 'Massively Multiplayer', 'Horror']",sports_and_racing,2024-08-13 22:37
1514840,All-In-One Sports VR,"Apr 7, 2023",Very Positive,| 612 User Reviews,NT$ 318.00,"['Simulation', 'VR', 'Sports', 'Baseball', 'Basketball', 'Bowling', 'Casual', 'Boxing', 'Archery', 'Tennis', 'Pool', 'Golf', 'Arcade', 'eSports', 'Physics', '6DOF', 'Realistic', 'Singleplayer', 'Multiplayer', 'Action']",sports_and_racing,2024-08-13 22:37
2878980,NBA 2K25,"Sep 6, 2024",,,"NT$ 2,090.00","['Simulation', 'Sports', 'Basketball', 'eSports', 'Immersive Sim', '3D', 'Management', 'PvP', 'Character Customization', 'Controller', 'Deckbuilding', 'Team-Based', 'Trading', 'Co-op', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'Singleplayer', '4 Player Local']",sports_and_racing,2024-08-13 22:37
380600,Fishing Planet,"Aug 28, 2017",Very Positive,"| 57,927 User Reviews",Free To Play,"['Fishing', 'Free to Play', 'Multiplayer', 'Simulation', 'Sports', 'Relaxing', 'Realistic', 'Massively Multiplayer', 'First-Person', 'Co-op', 'Open World', 'Singleplayer', 'Online Co-Op', 'Family Friendly', 'Adventure', 'Casual', 'MMORPG', 'Action', 'FPS', 'Farming Sim']",sports_and_racing,2024-08-13 22:37
2315690,WWE 2K24,"Mar 8, 2024",Mostly Positive,"| 3,225 User Reviews",NT$ 895.00,"['Sports', 'Simulation', 'Wrestling', 'Fighting', 'Character Customization', 'Singleplayer', 'PvP', 'Co-op', 'Local Co-Op', 'Online Co-Op', 'Multiplayer', 'Controller', 'Local Multiplayer', 'Casual', '3D Fighter', '3D', 'Realistic', 'Sandbox']",sports_and_racing,2024-08-13 22:37
1293830,Forza Horizon 4,"Mar 9, 2021",Very Positive,"| 222,178 User Reviews",NT$ 858.00,"['Racing', 'Open World', 'Driving', 'Multiplayer', 'Automobile Sim', 'Online Co-Op', 'Realistic', 'Singleplayer', 'Controller', 'Adventure', 'Simulation', 'Arcade', 'PvP', 'Exploration', 'Sports', 'Action', 'Atmospheric', 'Great Soundtrack', 'First-Person', 'Funny']",sports_and_racing,2024-08-13 22:37
2488620,F1® 24,"May 31, 2024",Mixed,"| 3,439 User Reviews","NT$ 1,439.00","['Racing', 'Sports', 'Driving', 'Multiplayer', 'Automobile Sim', 'Simulation', 'VR', 'Early Access', 'Singleplayer', 'Competitive', 'Realistic', 'Casual', 'Co-op', 'Online Co-Op', 'PvP', 'Character Customization', 'Horror', 'World War II', 'Great Soundtrack', 'eSports']",sports_and_racing,2024-08-13 22:37
1222680,Need for Speed™ Heat,"Jun 4, 2020",Very Positive,"| 94,374 User Reviews",NT$ 199.00,"['Racing', 'Open World', 'Multiplayer', 'Driving', 'Action', 'Singleplayer', 'Adventure', 'Co-op', 'Combat Racing', 'Atmospheric', 'Third Person', 'Online Co-Op', 'Arcade', 'Sports', 'PvP', 'First-Person', 'Controller', 'Character Customization', 'Split Screen', 'Destruction']",sports_and_racing,2024-08-13 22:37
1259980,RIDE 4,"Oct 8, 2020",Very Positive,"| 8,554 User Reviews","NT$ 1,190.00","['Racing', 'Motorbike', 'Sports', 'Multiplayer', 'First-Person', 'Open World', 'Third Person', 'Simulation', 'Automobile Sim', 'Driving', 'PvP', 'Singleplayer', 'Bikes', 'Competitive', 'VR', 'Controller', 'Difficult', 'Split Screen']",sports_and_racing,2024-08-13 22:37
1846380,Need for Speed™ Unbound,"Dec 2, 2022",Mixed,"| 28,510 User Reviews",NT$ 199.00,"['Racing', 'Multiplayer', 'Open World', 'Action', 'Character Customization', 'Singleplayer', 'Driving', 'Combat Racing', 'Arcade', 'Controller', 'Casual', 'Online Co-Op', 'Simulation', 'Atmospheric', 'Sports', 'Adventure', 'Anime', 'Immersive', 'Music', 'Split Screen']",sports_and_racing,2024-08-13 22:37
2051010,Professional Baseball Spirits 2024-2025,"Sep 18, 2024",,,"NT$ 1,673.00","['Sports', 'Action', 'Baseball', 'Realistic', 'eSports', '3D', 'PvP', 'PvE', 'Simulation', 'Singleplayer', 'Multiplayer', 'Co-op', 'Character Customization', 'Tutorial', 'Local Multiplayer', 'Immersive Sim', 'Choices Matter']",sports_and_racing,2024-08-13 22:37
1665460,eFootball™ 2024,"Sep 30, 2021",Mixed,"| 77,873 User Reviews",Free To Play,"['Football (Soccer)', 'Free to Play', 'Sports', 'Controller', 'Multiplayer', 'eSports', 'Simulation', 'PvP', 'Local Multiplayer', 'Co-op', 'Singleplayer', 'Online Co-Op', 'Local Co-Op', 'Realistic', 'Comedy', 'Memes', 'Violent', 'LGBTQ+', 'Anime', 'Funny']",sports_and_racing,2024-08-13 22:37
681280,Descenders,"May 7, 2019",Overwhelmingly Positive,"| 13,734 User Reviews",NT$ 75.00,"['Sports', 'Racing', 'Cycling', 'Action', 'Bikes', 'Multiplayer', 'Great Soundtrack', 'Procedural Generation', 'Roguelite', 'Open World', 'BMX', 'Fast-Paced', 'Simulation', 'Physics', 'Moddable', 'Addictive', 'Difficult', 'Relaxing', 'Beautiful', 'Competitive']",sports_and_racing,2024-08-13 22:37
2440510,Forza Motorsport,"Oct 10, 2023",Mixed,"| 7,287 User Reviews","NT$ 1,990.00","['Racing', 'Automobile Sim', 'Simulation', 'Sports', 'Multiplayer', 'First-Person', 'Driving', 'Realistic', 'Third Person', 'Singleplayer', 'Physics', 'Immersive Sim', 'PvP', 'Family Friendly', 'Management', 'Science', 'Transportation', 'Character Customization', 'Choices Matter', 'VR']",sports_and_racing,2024-08-13 22:37
2700610,Assetto Corsa Competizione - 24H Nürburgring Pack,"Apr 1, 2024",Very Positive,| 354 User Reviews,NT$ 298.00,"['Racing', 'Simulation', 'Automobile Sim', 'Sports', 'Multiplayer', 'VR', 'Driving', 'Realistic', 'Singleplayer', 'Controller', 'Open World', 'eSports', 'Early Access', 'First-Person', 'Competitive', 'Online Co-Op', 'Atmospheric', 'Moddable', 'Difficult', 'Action']",sports_and_racing,2024-08-13 22:37
2581700,MotoGP™24,"May 2, 2024",Very Positive,| 349 User Reviews,"NT$ 1,490.00","['Racing', 'Sports', 'eSports', 'Motorbike', 'Split Screen', 'PvP', 'Physics', 'PvE', 'Local Multiplayer', 'Multiplayer', 'Singleplayer']",sports_and_racing,2024-08-13 22:37
766570,Russian Fishing 4,"Nov 11, 2021",Mixed,"| 65,170 User Reviews",Free To Play,"['Fishing', 'Free to Play', 'Multiplayer', 'Simulation', 'Nature', 'Realistic', 'Relaxing', 'Crafting', 'Immersive Sim', 'First-Person', 'Sports', 'Atmospheric', 'Singleplayer', 'Open World', 'Survival', 'Massively Multiplayer', 'Casual', 'Adventure', 'RPG', 'Family Friendly']",sports_and_racing,2024-08-13 22:37
2591280,F1® Manager 2024,"Jul 23, 2024",Mixed,"| 1,217 User Reviews",NT$ 820.00,"['Simulation', 'Strategy', 'Racing', 'Automobile Sim', 'Immersive Sim', 'Time Management', 'Realistic', '3D', 'Driving', 'Economy', 'Family Friendly', 'Sports', 'Management', 'Tactical', 'Base Building', 'Choices Matter', 'PvE', 'Resource Management', 'Team-Based', 'Time Manipulation']",sports_and_racing,2024-08-13 22:37
339610,Freestyle 2: Street Basketball,"Apr 1, 2015",Mostly Positive,"| 12,483 User Reviews",Free To Play,"['Free to Play', 'Basketball', 'Sports', 'Multiplayer', 'Massively Multiplayer', 'Action', 'Casual', 'Co-op', 'Competitive', 'Strategy', 'Singleplayer', 'Simulation', 'eSports', 'Controller', 'Anime', 'Great Soundtrack', 'Funny', 'Open World', '2D', 'Nudity']",sports_and_racing,2024-08-13 22:37
2100160,MotoGP™23,"Jun 8, 2023",Mostly Positive,| 470 User Reviews,"NT$ 1,190.00","['Racing', 'Simulation', 'Sports', 'Split Screen', 'First-Person', 'Motorbike', 'Third Person', 'Bikes', 'Controller', 'Multiplayer', 'PvP', 'Singleplayer', 'Realistic']",sports_and_racing,2024-08-13 22:37
2700600,Assetto Corsa Competizione - GT2 Pack,"Jan 24, 2024",Very Positive,| 76 User Reviews,NT$ 223.00,"['Racing', 'Simulation', 'Automobile Sim', 'Sports', 'Multiplayer', 'VR', 'Driving', 'Realistic', 'Singleplayer', 'Controller', 'eSports', 'Open World', 'Early Access', 'First-Person', 'Competitive', 'Online Co-Op', 'Atmospheric', 'Moddable', 'Difficult', 'Action']",sports_and_racing,2024-08-13 22:37
2328720,Assetto Corsa Competizione - 2023 GT World Challenge Pack,"Apr 19, 2023",Very Positive,| 140 User Reviews,NT$ 238.00,"['Racing', 'Sports', 'Indie', 'Simulation', 'eSports']",sports_and_racing,2024-08-13 22:37
266410,iRacing,"Jan 12, 2015",Very Positive,"| 2,584 User Reviews",NT$ 278.00,"['Racing', 'Automobile Sim', 'Simulation', 'VR', 'Sports', 'Driving', 'Massively Multiplayer', 'Multiplayer', 'Realistic', 'Singleplayer', 'Controller', 'eSports', 'First-Person', 'Action']",sports_and_racing,2024-08-13 22:37
