GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
380600,Fishing Planet,"Aug 28, 2017",Very Positive,"| 57,499 User Reviews",Free To Play,"['Fishing', 'Free to Play', 'Multiplayer', 'Simulation', 'Sports', 'Relaxing', 'Realistic', 'Massively Multiplayer', 'First-Person', 'Co-op', 'Open World', 'Singleplayer', 'Online Co-Op', 'Family Friendly', 'Adventure', 'Casual', 'MMORPG', 'Action', 'FPS', 'Farming Sim']",sports_fishing_hunting,2024-08-05 12:10
766570,Russian Fishing 4,"Nov 11, 2021",Mixed,"| 64,894 User Reviews",Free To Play,"['Fishing', 'Free to Play', 'Multiplayer', 'Simulation', 'Nature', 'Realistic', 'Relaxing', 'Crafting', 'Immersive Sim', 'First-Person', 'Sports', 'Atmospheric', 'Singleplayer', 'Open World', 'Survival', 'Massively Multiplayer', 'Casual', 'Adventure', 'RPG', 'Family Friendly']",sports_fishing_hunting,2024-08-05 12:10
2922540,Fishing Planet: Japan Odyssey Pack,"Jun 5, 2024",Mixed,| 31 User Reviews,NT$ 898.00,"['Fishing', 'Free to Play', 'Simulation', 'Multiplayer', 'Sports', 'Massively Multiplayer', 'Relaxing', 'Realistic', 'First-Person', 'Co-op', 'Open World', 'Singleplayer', 'Online Co-Op', 'Family Friendly', 'Adventure', 'Casual', 'Action', 'MMORPG', 'FPS', 'Farming Sim']",sports_fishing_hunting,2024-08-05 12:10
2869680,theHunter: Call of the Wild™ - Sundarpatan Nepal Hunting Reserve,"Jun 18, 2024",Mostly Positive,| 306 User Reviews,NT$ 226.00,"['Adventure', 'Simulation', 'Sports', 'Hunting']",sports_fishing_hunting,2024-08-05 12:10
1316840,theHunter: Call of the Wild™ - Silver Ridge Peaks,"Jun 23, 2020",Mostly Positive,| 743 User Reviews,NT$ 152.00,"['Simulation', 'Sports', 'Adventure', 'Hunting']",sports_fishing_hunting,2024-08-05 12:10
2922530,Fishing Planet: Ocean Voyager Pack,"Jun 5, 2024",Mostly Negative,| 27 User Reviews,NT$ 599.00,"['Fishing', 'Free to Play', 'Simulation', 'Multiplayer', 'Sports', 'Massively Multiplayer', 'Relaxing', 'Realistic', 'First-Person', 'Co-op', 'Open World', 'Singleplayer', 'Online Co-Op', 'Family Friendly', 'Adventure', 'Casual', 'Action', 'MMORPG', 'FPS', 'Farming Sim']",sports_fishing_hunting,2024-08-05 12:10
2767520,LurkBait Twitch Fishing,"Feb 22, 2024",Very Positive,| 159 User Reviews,NT$ 138.00,"['Simulation', 'Creature Collector', 'Fishing', 'Casual', 'Utilities', 'Idler', 'Sports', 'Relaxing', 'Automation', 'Nature', 'Farming Sim', '3D', 'Indie', 'Colorful', 'Singleplayer', 'Cozy']",sports_fishing_hunting,2024-08-05 12:10
2074750,All-In-One Summer Sports VR,"Jul 31, 2023",Positive,| 38 User Reviews,NT$ 229.00,"['Action', 'Casual', 'Simulation', 'Arcade', 'eSports', 'Sports', 'Realistic', 'VR', 'Cycling', 'Family Friendly', 'Fishing', 'Pool', 'Racing', 'PvP', '6DOF', 'Physics', 'PvE', 'Multiplayer', 'Singleplayer', 'Early Access']",sports_fishing_hunting,2024-08-05 12:10
1136380,Ultimate Fishing Simulator 2,"Aug 22, 2022",Mostly Positive,"| 1,247 User Reviews",NT$ 328.00,"['Fishing', 'Sports', 'Simulation', 'Realistic', 'Singleplayer', 'First-Person', 'Multiplayer', 'Relaxing', 'Casual', 'Adventure', 'Family Friendly', 'Atmospheric', 'Indie', 'Immersive Sim', 'Walking Simulator', 'Inventory Management', 'Underwater', 'Nature', 'Action', 'Co-op']",sports_fishing_hunting,2024-08-05 12:10
496432,Fishing Planet: Lucky Start Pack,"Aug 25, 2016",Mostly Positive,| 81 User Reviews,NT$ 188.00,"['Simulation', 'Sports', 'Massively Multiplayer', 'Free to Play', 'Fishing']",sports_fishing_hunting,2024-08-05 12:10
1179710,theHunter: Call of the Wild™ - Cuatro Colinas Game Reserve,"Dec 10, 2019",Mixed,| 354 User Reviews,NT$ 152.00,"['Adventure', 'Simulation', 'Sports', 'Hunting']",sports_fishing_hunting,2024-08-05 12:10
