GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
380600,Fishing Planet,"Aug 28, 2017",Very Positive,"| 57,927 User Reviews",Free To Play,"['Fishing', 'Free to Play', 'Multiplayer', 'Simulation', 'Sports', 'Relaxing', 'Realistic', 'Massively Multiplayer', 'First-Person', 'Co-op', 'Open World', 'Singleplayer', 'Online Co-Op', 'Family Friendly', 'Adventure', 'Casual', 'MMORPG', 'Action', 'FPS', 'Farming Sim']",sports_fishing_hunting,2024-08-13 22:37
766570,Russian Fishing 4,"Nov 11, 2021",Mixed,"| 65,170 User Reviews",Free To Play,"['Fishing', 'Free to Play', 'Multiplayer', 'Simulation', 'Nature', 'Realistic', 'Relaxing', 'Crafting', 'Immersive Sim', 'First-Person', 'Sports', 'Atmospheric', 'Singleplayer', 'Open World', 'Survival', 'Massively Multiplayer', 'Casual', 'Adventure', 'RPG', 'Family Friendly']",sports_fishing_hunting,2024-08-13 22:37
2869680,theHunter: Call of the Wild™ - Sundarpatan Nepal Hunting Reserve,"Jun 18, 2024",Mostly Positive,| 309 User Reviews,NT$ 226.00,"['Adventure', 'Simulation', 'Sports', 'Hunting']",sports_fishing_hunting,2024-08-13 22:37
468920,Ultimate Fishing Simulator,"Aug 30, 2018",Very Positive,"| 6,440 User Reviews",NT$ 39.00,"['3D', 'America', 'Fishing', 'Sports', 'Simulation', 'Nature', 'Immersive Sim', 'Atmospheric', 'Exploration', 'Casual', 'Multiplayer', 'Singleplayer', 'Realistic', 'Open World', 'Online Co-Op', 'First-Person', 'Relaxing', 'FPS', 'Sandbox', 'Family Friendly']",sports_fishing_hunting,2024-08-13 22:37
1136380,Ultimate Fishing Simulator 2,"Aug 22, 2022",Mostly Positive,"| 1,251 User Reviews",NT$ 98.00,"['Fishing', 'Sports', 'Simulation', 'Realistic', 'Singleplayer', 'First-Person', 'Multiplayer', 'Relaxing', 'Casual', 'Adventure', 'Family Friendly', 'Atmospheric', 'Indie', 'Immersive Sim', 'Walking Simulator', 'Inventory Management', 'Underwater', 'Nature', 'Action', 'Co-op']",sports_fishing_hunting,2024-08-13 22:37
1316840,theHunter: Call of the Wild™ - Silver Ridge Peaks,"Jun 23, 2020",Mostly Positive,| 743 User Reviews,NT$ 152.00,"['Simulation', 'Sports', 'Adventure', 'Hunting']",sports_fishing_hunting,2024-08-13 22:37
2631430,theHunter: Call of the Wild™ - Labrador Retriever,"Nov 28, 2023",Mostly Positive,| 130 User Reviews,NT$ 118.00,"['Hunting', 'Open World', 'Multiplayer', 'Simulation', 'First-Person', 'Shooter', 'Survival', 'Realistic', 'Adventure', 'Co-op', 'FPS', 'Action', 'Singleplayer', 'Online Co-Op', 'Sports', 'Walking Simulator', 'Atmospheric', 'Combat', 'Strategy', 'Gore']",sports_fishing_hunting,2024-08-13 22:37
630940,theHunter: Call of the Wild™ - ATV SABER 4X4,"Jun 15, 2017",Mixed,"| 1,457 User Reviews",NT$ 120.00,"['Adventure', 'Simulation', 'Sports', 'Hunting', 'Multiplayer']",sports_fishing_hunting,2024-08-13 22:37
496432,Fishing Planet: Lucky Start Pack,"Aug 25, 2016",Mostly Positive,| 81 User Reviews,NT$ 188.00,"['Simulation', 'Sports', 'Massively Multiplayer', 'Free to Play', 'Fishing']",sports_fishing_hunting,2024-08-13 22:37
970640,Ultimate Fishing Simulator - Moraine Lake DLC,"Nov 30, 2018",Very Positive,| 60 User Reviews,NT$ 30.00,"['Simulation', 'Indie', 'Casual', 'Sports', 'First-Person', 'Singleplayer', 'Realistic', 'Adventure', 'Relaxing', 'Fishing', 'Massively Multiplayer', 'Family Friendly', 'Atmospheric', 'Exploration']",sports_fishing_hunting,2024-08-13 22:37
2088220,Ultimate Fishing Simulator - Taupo Lake DLC,"Aug 24, 2022",Mostly Positive,| 38 User Reviews,NT$ 30.00,"['Simulation', 'Sports', 'Casual', 'Fishing', '3D']",sports_fishing_hunting,2024-08-13 22:37
1256780,Ultimate Fishing Simulator - Florida DLC,"Dec 21, 2023",Mixed,| 35 User Reviews,NT$ 30.00,"['Adventure', 'Indie', 'Casual', 'Simulation', 'Sports', 'Open World', 'Exploration', 'First-Person', 'Atmospheric', 'Realistic', 'Singleplayer', 'Fishing']",sports_fishing_hunting,2024-08-13 22:37
2922520,Fishing Planet: Sailor Collection Pack,"Aug 8, 2024",,,NT$ 328.00,"['Fishing', 'Free to Play', 'Simulation', 'Multiplayer', 'Sports', 'Massively Multiplayer', 'Relaxing', 'Realistic', 'First-Person', 'Co-op', 'Open World', 'Singleplayer', 'Online Co-Op', 'Family Friendly', 'Adventure', 'Casual', 'Action', 'MMORPG', 'FPS', 'Farming Sim']",sports_fishing_hunting,2024-08-13 22:37
