GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
1650010,RIDE 5,"Aug 24, 2023",Mostly Positive,| 961 User Reviews,NT$ 537.00,"['Racing', 'Simulation', 'Sports', 'Motorbike', 'Split Screen', 'Bikes', 'Driving', 'Realistic', 'Multiplayer', 'Singleplayer', 'Local Multiplayer', 'First-Person', 'Controller', 'Third Person', 'PvP', 'Physics', 'Family Friendly', 'Artificial Intelligence', 'Character Customization', 'Tutorial']",sports_individual,2024-08-27 13:56
431240,Golf With Your Friends,"May 19, 2020",Very Positive,"| 42,432 User Reviews",NT$ 449.00,"['Multiplayer', 'Casual', 'Mini Golf', 'Sports', 'Golf', 'Indie', 'Funny', 'Family Friendly', 'Co-op', 'Singleplayer', 'Early Access', 'Physics', 'Simulation', 'Strategy', 'Great Soundtrack', 'Local Multiplayer', 'Difficult', 'Memes', 'Massively Multiplayer', 'Horror']",sports_individual,2024-08-27 13:56
380600,Fishing Planet,"Aug 28, 2017",Very Positive,"| 58,475 User Reviews",Free To Play,"['Fishing', 'Free to Play', 'Multiplayer', 'Simulation', 'Sports', 'Relaxing', 'Realistic', 'Massively Multiplayer', 'Co-op', 'First-Person', 'Open World', 'Singleplayer', 'Online Co-Op', 'Family Friendly', 'Adventure', 'Casual', 'MMORPG', 'Action', 'FPS', 'Farming Sim']",sports_individual,2024-08-27 13:56
766570,Russian Fishing 4,"Nov 11, 2021",Mixed,"| 65,711 User Reviews",Free To Play,"['Fishing', 'Free to Play', 'Multiplayer', 'Simulation', 'Nature', 'Realistic', 'Relaxing', 'Crafting', 'Immersive Sim', 'First-Person', 'Sports', 'Atmospheric', 'Singleplayer', 'Open World', 'Survival', 'Massively Multiplayer', 'Casual', 'Adventure', 'RPG', 'Family Friendly']",sports_individual,2024-08-27 13:56
571740,Golf It!,"Aug 18, 2023",Very Positive,"| 21,997 User Reviews",NT$ 258.00,"['Multiplayer', 'Mini Golf', 'Golf', 'Casual', 'Sports', 'Funny', 'Online Co-Op', 'Singleplayer', 'Simulation', 'Level Editor', 'Indie', 'Early Access', 'Local Multiplayer', 'Sandbox', 'Co-op', 'Family Friendly', 'VR', 'Memes', 'Difficult', 'Strategy']",sports_individual,2024-08-27 13:56
1588010,PGA TOUR 2K23,"Oct 13, 2022",Mostly Positive,"| 4,101 User Reviews","NT$ 1,790.00","['Sports', 'Simulation', 'RPG', 'Golf', 'Third Person', 'PvP', 'Singleplayer', 'Local Multiplayer', 'Local Co-Op', 'Controller', '4 Player Local']",sports_individual,2024-08-27 13:56
861650,Session: Skate Sim,"Sep 22, 2022",Very Positive,"| 11,434 User Reviews",NT$ 568.00,"['Sports', 'Skateboarding', 'Simulation', 'Singleplayer', 'Indie', 'Action', 'Realistic', 'Third Person', 'Difficult', 'Exploration', 'Funny', 'Family Friendly', 'Early Access', 'Physics', 'Character Customization', 'Skating', 'Immersive Sim', 'Parkour', 'Multiplayer', 'Strategy']",sports_individual,2024-08-27 13:56
1408610,Call of the Wild: The Angler™,"Aug 31, 2022",Mixed,"| 5,157 User Reviews",NT$ 438.00,"['Fishing', 'Simulation', 'Nature', 'Multiplayer', 'Open World', 'Immersive Sim', 'Sports', 'Relaxing', 'Realistic', 'Walking Simulator', 'Casual', 'Farming Sim', 'Hunting', 'America', 'Exploration', 'Singleplayer', 'Arcade', 'Family Friendly', 'Online Co-Op', '3D']",sports_individual,2024-08-27 13:56
711540,Lonely Mountains: Downhill,"Oct 23, 2019",Very Positive,"| 2,201 User Reviews",NT$ 117.00,"['Bikes', 'Difficult', 'Sports', 'Indie', 'Racing', 'Physics', 'Nature', 'Singleplayer', 'Simulation', 'Cycling', 'Exploration', 'Open World', 'Action', '3D', 'Fast-Paced', 'Souls-like', 'Offroad', 'Funny', 'Competitive', 'Arcade']",sports_individual,2024-08-27 13:56
2079370,Bicycle Challenge - Wastelands,"Jul 26, 2022",Mixed,| 21 User Reviews,NT$ 105.00,"['Choose Your Own Adventure', '3D Platformer', 'Racing', 'Roguevania', 'Combat Racing', 'Sports', 'FPS', 'Hack and Slash', 'Immersive Sim', 'Collectathon', 'Auto Battler', 'Interactive Fiction', 'Colony Sim', 'Baseball', 'Bikes', 'Basketball', 'BMX', 'Cycling', 'Education', 'Board Game']",sports_individual,2024-08-27 13:56
