GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
1948980,Hero's Adventure: Road to Passion,"Nov 16, 2023",Very Positive,"| 16,614 User Reviews",NT$ 204.00,"['RPG', 'Martial Arts', 'Open World', 'Multiple Endings', 'Strategy', 'Indie', 'Adventure', 'Pixel Graphics', 'Turn-Based Strategy', 'Singleplayer', 'Turn-Based', 'Stealth', 'Simulation', 'Choose Your Own Adventure', '2D', 'Drama', 'Sexual Content', 'Anime', 'RPGMaker', 'Mature']",sports_sim,2024-08-13 22:37
1562430,DREDGE,"Mar 30, 2023",Overwhelmingly Positive,"| 27,920 User Reviews",NT$ 486.00,"['Exploration', 'Fishing', 'Lovecraftian', 'Adventure', 'Open World', 'Mystery', 'Inventory Management', 'Atmospheric', 'RPG', 'Simulation', 'Psychological Horror', 'Singleplayer', 'Horror', 'Stylized', 'Survival Horror', 'Psychological', 'Story Rich', '3D', 'Sailing', 'Indie']",sports_sim,2024-08-13 22:37
1909840,JIANGHU CHRONICLES,"Aug 1, 2024",Mostly Positive,"| 1,081 User Reviews",NT$ 278.00,"['Action', 'Base Building', 'Dungeon Crawler', 'Martial Arts', 'Action-Adventure', 'Adventure', 'Historical', 'Real Time Tactics', '2.5D', 'Top-Down', 'God Game', 'Simulation', 'Singleplayer', 'Action RPG', 'Immersive Sim', 'Combat', 'Exploration', 'Conversation', '3D', 'Indie']",sports_sim,2024-08-13 22:37
1868140,DAVE THE DIVER,"Jun 28, 2023",Overwhelmingly Positive,"| 100,414 User Reviews",NT$ 350.00,"['Pixel Graphics', 'Casual', 'Management', 'Adventure', 'Relaxing', 'RPG', 'Fishing', 'Simulation', 'Exploration', 'Underwater', 'Singleplayer', 'Farming Sim', 'Crafting', '2D', 'Story Rich', 'Roguelite', 'Funny', 'Agriculture', 'Action', 'Indie']",sports_sim,2024-08-13 22:37
2338770,NBA 2K24,"Sep 7, 2023",Mostly Negative,"| 30,084 User Reviews","NT$ 1,790.00","['Sports', 'Basketball', 'Simulation', 'eSports', '3D', 'Realistic', 'Management', 'PvP', 'Character Customization', 'Controller', 'Immersive Sim', 'Team-Based', 'Trading', 'Co-op', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Gambling', 'Online Co-Op', 'Singleplayer']",sports_sim,2024-08-13 22:37
2195250,EA SPORTS FC™ 24,"Sep 28, 2023",Mixed,"| 81,597 User Reviews","NT$ 1,999.00","['Football (Soccer)', 'Sports', 'Controller', 'Multiplayer', 'PvP', 'eSports', 'Competitive', 'PvE', 'Local Multiplayer', '3D', 'Simulation', 'Online Co-Op', 'Singleplayer', 'Realistic', 'Co-op', 'Local Co-Op', 'Action', 'Family Friendly', 'First-Person', 'Early Access']",sports_sim,2024-08-13 22:37
431240,Golf With Your Friends,"May 19, 2020",Very Positive,"| 42,329 User Reviews",NT$ 251.00,"['Multiplayer', 'Casual', 'Mini Golf', 'Sports', 'Golf', 'Indie', 'Funny', 'Family Friendly', 'Co-op', 'Singleplayer', 'Early Access', 'Physics', 'Simulation', 'Strategy', 'Great Soundtrack', 'Local Multiplayer', 'Difficult', 'Memes', 'Massively Multiplayer', 'Horror']",sports_sim,2024-08-13 22:37
2878980,NBA 2K25,"Sep 6, 2024",,,"NT$ 2,090.00","['Simulation', 'Sports', 'Basketball', 'eSports', 'Immersive Sim', '3D', 'Management', 'PvP', 'Character Customization', 'Controller', 'Deckbuilding', 'Team-Based', 'Trading', 'Co-op', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'Singleplayer', '4 Player Local']",sports_sim,2024-08-13 22:37
380600,Fishing Planet,"Aug 28, 2017",Very Positive,"| 57,927 User Reviews",Free To Play,"['Fishing', 'Free to Play', 'Multiplayer', 'Simulation', 'Sports', 'Relaxing', 'Realistic', 'Massively Multiplayer', 'First-Person', 'Co-op', 'Open World', 'Singleplayer', 'Online Co-Op', 'Family Friendly', 'Adventure', 'Casual', 'MMORPG', 'Action', 'FPS', 'Farming Sim']",sports_sim,2024-08-13 22:37
2315690,WWE 2K24,"Mar 8, 2024",Mostly Positive,"| 3,225 User Reviews",NT$ 895.00,"['Sports', 'Simulation', 'Wrestling', 'Fighting', 'Character Customization', 'Singleplayer', 'PvP', 'Co-op', 'Local Co-Op', 'Online Co-Op', 'Multiplayer', 'Controller', 'Local Multiplayer', 'Casual', '3D Fighter', '3D', 'Realistic', 'Sandbox']",sports_sim,2024-08-13 22:37
