App_Id,Name,Operation_Date,Rating_Summary,Total_Number_of_Rating,Cost,Game_Tag,Category,Datetime
2338770,NBA 2K24,"Sep 7, 2023",Mostly Negative,"| 29,894 User Reviews","NT$ 1,790.00","['Sports', 'Basketball', 'Simulation', 'eSports', '3D', 'Realistic', 'Management', 'PvP', 'Character Customization', 'Controller', 'Immersive Sim', 'Team-Based', 'Trading', 'Co-op', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Gambling', 'Online Co-Op', 'Singleplayer']",sports_team,2024-08-05 12:10
1665460,eFootball™ 2024,"Sep 30, 2021",Mixed,"| 77,655 User Reviews",Free To Play,"['Football (Soccer)', 'Free to Play', 'Sports', 'Controller', 'Multiplayer', 'eSports', 'Simulation', 'PvP', 'Local Multiplayer', 'Co-op', 'Singleplayer', 'Online Co-Op', 'Local Co-Op', 'Realistic', 'Comedy', 'Memes', 'Violent', 'LGBTQ+', 'Anime', 'Funny']",sports_team,2024-08-05 12:10
2051010,Professional Baseball Spirits 2024-2025,"Sep 18, 2024",,,"NT$ 1,673.00","['Sports', 'Action', 'Baseball', 'Realistic', 'eSports', '3D', 'PvP', 'PvE', 'Simulation', 'Singleplayer', 'Multiplayer', 'Co-op', 'Character Customization', 'Tutorial', 'Local Multiplayer', 'Immersive Sim', 'Choices Matter']",sports_team,2024-08-05 12:10
2878980,NBA 2K25,"Sep 6, 2024",,,"NT$ 2,090.00","['Simulation', 'Sports', 'Basketball', 'eSports', 'Immersive Sim', '3D', 'Management', 'PvP', 'Character Customization', 'Controller', 'Deckbuilding', 'Team-Based', 'Trading', 'Co-op', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'Singleplayer', '4 Player Local']",sports_team,2024-08-05 12:10
2252570,Football Manager 2024,"Nov 6, 2023",Very Positive,"| 8,841 User Reviews","NT$ 1,299.00","['Simulation', 'Sports', 'Strategy', 'Football (Soccer)', 'Management', 'Multiplayer', 'eSports', 'Economy', 'Real Time Tactics', '3D', 'Singleplayer', 'Text-Based', '2D']",sports_team,2024-08-05 12:10
1919590,NBA 2K23,"Sep 8, 2022",Mixed,"| 39,044 User Reviews","NT$ 1,790.00","['Immersive Sim', 'Basketball', 'Sports', 'Simulation', 'Multiplayer', 'PvP', 'Co-op', 'Realistic', 'Controller', 'Local Co-Op', 'Singleplayer', 'Online Co-Op', 'Character Customization', '3D', 'Trading', '4 Player Local', 'Local Multiplayer', 'eSports', 'Team-Based', 'Management']",sports_team,2024-08-05 12:10
339610,Freestyle 2: Street Basketball,"Apr 1, 2015",Mostly Positive,"| 12,483 User Reviews",Free To Play,"['Free to Play', 'Basketball', 'Sports', 'Multiplayer', 'Massively Multiplayer', 'Action', 'Casual', 'Co-op', 'Competitive', 'Strategy', 'Singleplayer', 'Simulation', 'eSports', 'Controller', 'Anime', 'Great Soundtrack', 'Funny', 'Open World', '2D', 'Nudity']",sports_team,2024-08-05 12:10
2669320,EA SPORTS FC™ 25,"Sep 27, 2024",,,"NT$ 2,099.00","['Simulation', 'Sports', 'eSports', 'Competitive', 'Football (Soccer)', 'Controller', 'Family Friendly', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Modern', 'Online Co-Op', 'PvP', 'Realistic', 'Singleplayer', 'Soundtrack']",sports_team,2024-08-05 12:10
2384620,Out of the Park Baseball 25,"Mar 15, 2024",Very Positive,| 500 User Reviews,NT$ 746.00,"['Simulation', 'Sports', 'Strategy', 'Sandbox', 'Strategy RPG', 'Card Battler', 'Immersive Sim', '2D', 'Baseball', '3D', 'America', 'Management', 'Tactical', 'Historical', 'PvP', 'Resource Management', 'Trading', 'Multiplayer', 'Singleplayer', 'Competitive']",sports_team,2024-08-05 12:10
1514840,All-In-One Sports VR,"Apr 7, 2023",Very Positive,| 606 User Reviews,NT$ 222.00,"['Simulation', 'VR', 'Sports', 'Baseball', 'Basketball', 'Bowling', 'Casual', 'Boxing', 'Archery', 'Tennis', 'Pool', 'Golf', 'Arcade', 'eSports', 'Physics', '6DOF', 'Realistic', 'Singleplayer', 'Multiplayer', 'Action']",sports_team,2024-08-05 12:10
1163550,Captain Tsubasa: Rise of New Champions,"Sep 28, 2020",Mostly Positive,"| 3,809 User Reviews","NT$ 1,190.00","['Anime', 'Sports', 'RPG', 'Football (Soccer)', 'Action', 'Casual', 'Multiplayer', 'Character Customization', 'Singleplayer', 'Funny', 'Competitive', 'Arcade', 'Online Co-Op', 'PvP', 'Co-op', 'Management', '4 Player Local', 'Story Rich', 'Fighting', 'Trading Card Game']",sports_team,2024-08-05 12:10
738550,Spike Volleyball,"Feb 5, 2019",Mixed,| 434 User Reviews,NT$ 37.00,"['Sports', 'Volleyball', 'Multiplayer', 'Singleplayer', 'Relaxing', 'Simulation', 'Realistic', 'Strategy', 'Indie', 'Casual', 'Sandbox', 'Management', 'Family Friendly', 'First-Person']",sports_team,2024-08-05 12:10
2328780,Pro Basketball Manager 2024,"Nov 21, 2023",Mixed,| 119 User Reviews,NT$ 249.00,"['Sports', 'Simulation', 'Basketball', 'Management', 'Strategy', '2D', 'Indie', '3D', 'Singleplayer']",sports_team,2024-08-05 12:10
2084720,Home Run High,"Oct 11, 2022",Mostly Positive,| 89 User Reviews,NT$ 130.00,"['Simulation', 'Sports', 'Casual', 'Strategy', 'Colony Sim', 'Baseball', 'Life Sim', 'Education', 'City Builder', '2D', 'Indie', 'Pixel Graphics', 'Cute', 'Retro', 'Singleplayer', 'Building', 'Action', 'Adventure', 'Arcade', 'Female Protagonist']",sports_team,2024-08-05 12:10
1923690,Pocket League Story,"Aug 8, 2022",Very Positive,| 104 User Reviews,NT$ 106.00,"['Football (Soccer)', 'Sports', 'Simulation', 'Indie', 'Strategy', 'Casual', 'Life Sim', 'Pixel Graphics', 'City Builder', '2D', 'Cute', 'Building', 'Management', 'Economy', 'Singleplayer', '2D Platformer', 'Character Customization', 'Resource Management']",sports_team,2024-08-05 12:10
2102490,Basketball Club Story,"Apr 10, 2023",Mostly Positive,| 123 User Reviews,NT$ 120.00,"['Simulation', 'Sports', 'Casual', 'Basketball', 'Colony Sim', 'Auto Battler', 'Life Sim', 'Pixel Graphics', 'City Builder', '2D', 'Indie', 'Strategy', 'Cute', 'Retro', 'Singleplayer', 'Building']",sports_team,2024-08-05 12:10
1709350,Bat Boy,"May 25, 2023",Very Positive,| 90 User Reviews,NT$ 257.00,"['Action', 'Adventure', 'Action-Adventure', 'Platformer', 'Puzzle', '2D Platformer', '2D', 'Anime', 'Cartoony', 'Pixel Graphics', 'Colorful', 'Baseball', 'Fantasy', 'Old School', 'Sports', 'Singleplayer', 'Combat', 'Side Scroller', 'Music', 'Cute']",sports_team,2024-08-05 12:10
