App_Id,Name,Operation_Date,Rating_Summary,Total_Number_of_Rating,Cost,Game_Tag,Category,Datetime
2778580,ELDEN RING Shadow of the Erdtree,"Jun 20, 2024",Mostly Positive,"| 76,075 User Reviews","NT$ 1,190.00","['Action', 'RPG', 'Souls-like', 'Difficult', 'Fantasy', 'Dark', 'Lore-Rich', 'Exploration', 'Adventure', 'Story Rich', 'Third Person', 'Singleplayer', 'PvE', 'Action RPG', 'Character Customization', 'PvP', 'Online Co-Op', 'Multiplayer', 'Co-op', '3D']",story_rich,2024-08-05 12:10
1086940,Baldur's Gate 3,"Aug 3, 2023",Overwhelmingly Positive,"| 565,670 User Reviews","NT$ 1,599.00","['RPG', 'Character Customization', 'Choices Matter', 'Story Rich', 'Turn-Based Combat', 'Dungeons & Dragons', 'CRPG', 'Adventure', 'Fantasy', 'Online Co-Op', 'Romance', 'Multiplayer', 'Strategy', 'Singleplayer', 'Sexual Content', 'Co-op Campaign', 'Class-Based', 'Dark Fantasy', 'Combat', 'Nudity']",story_rich,2024-08-05 12:10
814380,Sekiro™: Shadows Die Twice - GOTY Edition,"Mar 21, 2019",Overwhelmingly Positive,"| 212,844 User Reviews",NT$ 795.00,"['Souls-like', 'Difficult', 'Action', 'Singleplayer', 'Ninja', 'Stealth', 'Adventure', 'Third Person', 'Open World', 'Story Rich', 'Violent', 'Atmospheric', 'Assassin', 'Dark Fantasy', 'Hack and Slash', 'RPG', 'Gore', 'Great Soundtrack', 'Rhythm', 'Dark']",story_rich,2024-08-05 12:10
1973710,ヘブンバーンズレッド,"Aug 10, 2022",Very Positive,"| 3,820 User Reviews",Free To Play,"['Singleplayer', 'RPG', 'Free to Play', 'Visual Novel', 'Adventure', '3D', 'Story Rich', 'Emotional', '2D', 'Cute', 'Anime', 'Exploration', 'Sci-fi', 'Controller', 'Female Protagonist', 'Choices Matter', 'Comedy', 'Drama', 'Choose Your Own Adventure', 'Turn-Based Tactics']",story_rich,2024-08-05 12:10
2344520,Diablo® IV,"Oct 17, 2023",Mostly Positive,"| 20,611 User Reviews","NT$ 1,575.00","['Action RPG', 'Hack and Slash', 'Loot', 'RPG', 'Isometric', 'Online Co-Op', 'Singleplayer', 'Co-op', 'Action', 'Third Person', 'Multiplayer', 'Dungeon Crawler', 'PvE', 'Fantasy', 'Story Rich', 'Dark Fantasy', 'Gore', 'Exploration', 'Point & Click', 'Violent']",story_rich,2024-08-05 12:10
1809540,Nine Sols,"May 29, 2024",Overwhelmingly Positive,"| 8,288 User Reviews",NT$ 650.00,"['Action', 'Metroidvania', 'Souls-like', 'Difficult', 'Platformer', 'Hand-drawn', '2D', 'Adventure', 'Atmospheric', 'Cats', 'Dark Fantasy', 'Sci-fi', 'Story Rich', 'Mythology', 'Gore', 'Indie', 'Singleplayer', 'Martial Arts', 'Action-Adventure', 'Comic Book']",story_rich,2024-08-05 12:10
2215430,Ghost of Tsushima DIRECTOR'S CUT,"May 16, 2024",Very Positive,"| 24,548 User Reviews","NT$ 1,490.00","['Action', 'Open World', 'Adventure', 'Story Rich', 'Singleplayer', 'Third Person', 'Stealth', 'Combat', 'Ninja', 'Action-Adventure', 'Souls-like', 'Action RPG', 'Atmospheric', 'Historical', 'Multiplayer', 'Gore', 'Violent', 'Online Co-Op', 'Exploration', 'Co-op']",story_rich,2024-08-05 12:10
1091500,Cyberpunk 2077,"Dec 10, 2020",Very Positive,"| 669,614 User Reviews","NT$ 1,599.00","['Cyberpunk', 'Open World', 'Nudity', 'RPG', 'Singleplayer', 'Sci-fi', 'Futuristic', 'FPS', 'Mature', 'Story Rich', 'First-Person', 'Atmospheric', 'Exploration', 'Action', 'Violent', 'Great Soundtrack', 'Action RPG', 'Adventure', 'Character Customization', 'Immersive Sim']",story_rich,2024-08-05 12:10
2358720,Black Myth: Wukong,"Aug 20, 2024",,,"NT$ 1,280.00","['Mythology', 'Action RPG', 'Action', 'RPG', 'Combat', 'Souls-like', 'Story Rich', 'Dark Fantasy', 'Singleplayer', 'Drama', 'Action-Adventure', 'Atmospheric', 'Adventure', '3D', 'Fantasy', 'Hack and Slash', 'Violent', 'Music', 'Difficult', 'Third Person']",story_rich,2024-08-05 12:10
2050650,Resident Evil 4,"Mar 24, 2023",Overwhelmingly Positive,"| 90,947 User Reviews",NT$ 937.00,"['Horror', 'Action', 'Survival Horror', 'Third-Person Shooter', 'Zombies', 'Singleplayer', 'Story Rich', 'Survival', 'Cinematic', 'Dark', 'Realistic', 'Remake', 'Resource Management', 'Gore', 'Adventure', 'Third Person', 'Psychological Horror', '3D', 'Violent', 'Action-Adventure']",story_rich,2024-08-05 12:10
1875830,Shin Megami Tensei V: Vengeance,"Jun 14, 2024",Overwhelmingly Positive,"| 3,334 User Reviews","NT$ 1,790.00","['JRPG', 'RPG', 'Story Rich', 'Demons', 'Adventure', 'Choices Matter', 'Exploration', 'Anime', '3D', 'Third Person', 'Atmospheric', 'Dark', 'Turn-Based Strategy', 'Multiple Endings', 'Destruction', 'Difficult', 'Turn-Based', 'Singleplayer', 'Creature Collector', 'Post-apocalyptic']",story_rich,2024-08-05 12:10
1610440,Minds Beneath Us,"Jul 31, 2024",Very Positive,| 240 User Reviews,NT$ 385.00,"['Atmospheric', 'Cinematic', 'Cyberpunk', 'Story Rich', 'Choices Matter', 'Visual Novel', 'Choose Your Own Adventure', 'RPG', '2D', '2.5D', 'Adventure', 'Multiple Endings', 'Dystopian ', 'Hand-drawn', 'Singleplayer', 'Puzzle', 'Point & Click', 'Sci-fi', 'LGBTQ+', 'Philosophical']",story_rich,2024-08-05 12:10
