App_Id,Name,Operation_Date,Rating_Summary,Total_Number_of_Rating,Cost,Game_Tag,Category,Datetime
1422440,Cataclismo,"Jul 22, 2024",Very Positive,"| 1,514 User Reviews",NT$ 559.00,"['Strategy', 'Base Building', 'Simulation', 'City Builder', 'Management', 'Sandbox', 'Building', 'Resource Management', 'Grand Strategy', 'Historical', 'Colony Sim', 'Tower Defense', 'Open World', 'Dark Fantasy', 'Singleplayer', 'Moddable', '4X', 'Economy', 'RTS', 'Early Access']",strategy_cities_settlements,2024-08-05 12:10
1857090,Norland,"Jul 18, 2024",Mostly Positive,"| 3,347 User Reviews",NT$ 699.00,"['Strategy', 'Simulation', 'Base Building', 'City Builder', 'Colony Sim', 'Management', 'Building', 'Sandbox', 'Resource Management', 'Grand Strategy', 'Open World', 'Moddable', 'Historical', 'Survival', 'Singleplayer', 'Replay Value', '4X', 'Early Access', 'Economy', 'RTS']",strategy_cities_settlements,2024-08-05 12:10
1363080,Manor Lords,"Apr 26, 2024",Very Positive,"| 45,245 User Reviews",NT$ 749.00,"['Strategy', 'Simulation', 'City Builder', 'Base Building', 'Grand Strategy', 'Management', 'Building', 'Resource Management', 'Sandbox', 'Colony Sim', 'Historical', 'Survival', 'Moddable', 'Open World', 'Singleplayer', 'Replay Value', 'RTS', '4X', 'Early Access', 'Economy']",strategy_cities_settlements,2024-08-05 12:10
949230,Cities: Skylines II,"Oct 24, 2023",Mixed,"| 41,599 User Reviews","NT$ 1,398.00","['Simulation', 'City Builder', 'Building', 'Singleplayer', 'Sandbox', 'Management', 'Economy', 'Strategy', 'Realistic', 'Moddable', 'Resource Management', 'Transportation', 'Relaxing', 'Casual', 'Atmospheric', 'Multiplayer', 'Early Access', 'Open World', 'Great Soundtrack', 'Mod']",strategy_cities_settlements,2024-08-05 12:10
813780,Age of Empires II: Definitive Edition,"Nov 14, 2019",Very Positive,"| 129,534 User Reviews",NT$ 679.00,"['Strategy', 'RTS', 'City Builder', 'Multiplayer', 'Base Building', 'Historical', 'Singleplayer', 'Medieval', 'Resource Management', 'Classic', 'Tactical', 'Real-Time', 'Co-op', 'Remake', 'Isometric', 'Replay Value', '2D', 'Action', 'Great Soundtrack', 'Adventure']",strategy_cities_settlements,2024-08-05 12:10
294100,RimWorld,"Oct 17, 2018",Overwhelmingly Positive,"| 161,640 User Reviews",NT$ 529.00,"['Colony Sim', 'Base Building', 'Survival', 'Strategy', 'Sandbox', 'Management', 'Building', 'Simulation', 'Singleplayer', 'Moddable', 'City Builder', 'Open World', 'Procedural Generation', '2D', 'Sci-fi', 'Indie', 'Space', 'Tactical RPG', 'Western', 'Cartoony']",strategy_cities_settlements,2024-08-05 12:10
1466860,Age of Empires IV: Anniversary Edition,"Oct 28, 2021",Very Positive,"| 52,451 User Reviews","NT$ 1,088.00","['Strategy', 'RTS', 'Base Building', 'War', 'Multiplayer', 'Singleplayer', 'Medieval', 'Resource Management', 'City Builder', 'Historical', 'Action RTS', 'PvP', 'PvE', 'Co-op', '3D', 'Isometric', 'Management', 'Open World', 'Online Co-Op', 'Mature']",strategy_cities_settlements,2024-08-05 12:10
784150,Workers & Resources: Soviet Republic,"Jun 20, 2024",Very Positive,"| 16,134 User Reviews",NT$ 649.00,"['Strategy', 'City Builder', 'Simulation', 'Sandbox', 'Management', 'Base Building', 'Resource Management', 'Building', 'Moddable', 'Grand Strategy', 'Colony Sim', 'Historical', 'Open World', 'Survival', 'Singleplayer', 'Economy', '4X', 'RTS', 'Real-Time with Pause', 'Replay Value']",strategy_cities_settlements,2024-08-05 12:10
255710,Cities: Skylines,"Mar 10, 2015",Very Positive,"| 192,663 User Reviews",NT$ 768.00,"['City Builder', 'Simulation', 'Building', 'Management', 'Strategy', 'Sandbox', 'Singleplayer', 'Moddable', 'Economy', 'Resource Management', 'Mod', 'Realistic', 'Replay Value', 'Casual', 'Modern', 'Real-Time with Pause', 'Family Friendly', 'Great Soundtrack', 'Funny', 'Action']",strategy_cities_settlements,2024-08-05 12:10
289070,Sid Meier’s Civilization® VI,"Oct 21, 2016",Very Positive,"| 233,463 User Reviews","NT$ 1,790.00","['Strategy', 'Turn-Based Strategy', 'Multiplayer', 'Historical', 'Singleplayer', 'Grand Strategy', 'Turn-Based', '4X', 'War', 'Simulation', 'City Builder', 'Tactical', 'Building', 'Management', 'Great Soundtrack', 'Moddable', 'Online Co-Op', 'Co-op', 'Hex Grid', 'Atmospheric']",strategy_cities_settlements,2024-08-05 12:10
