GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
1857090,Norland,"Jul 18, 2024",Mostly Positive,"| 3,606 User Reviews",NT$ 699.00,"['Strategy', 'Simulation', 'Base Building', 'City Builder', 'Colony Sim', 'Management', 'Building', 'Sandbox', 'Resource Management', 'Grand Strategy', 'Open World', 'Moddable', 'Historical', 'Survival', 'Singleplayer', 'Replay Value', '4X', 'Early Access', 'Economy', 'RTS']",strategy_grand_4x,2024-08-13 22:37
289070,Sid Meier’s Civilization® VI,"Oct 21, 2016",Very Positive,"| 233,965 User Reviews","NT$ 1,790.00","['Strategy', 'Turn-Based Strategy', 'Multiplayer', 'Historical', 'Singleplayer', 'Grand Strategy', 'Turn-Based', '4X', 'War', 'Simulation', 'City Builder', 'Tactical', 'Building', 'Management', 'Great Soundtrack', 'Moddable', 'Online Co-Op', 'Co-op', 'Hex Grid', 'Atmospheric']",strategy_grand_4x,2024-08-13 22:37
281990,Stellaris,"May 9, 2016",Very Positive,"| 118,184 User Reviews","NT$ 1,018.00","['Space', 'Grand Strategy', 'Strategy', 'Sci-fi', '4X', 'Exploration', 'Sandbox', 'Simulation', 'Multiplayer', 'Singleplayer', 'Real-Time with Pause', 'Moddable', 'Diplomacy', 'Management', 'Military', 'Futuristic', 'Replay Value', 'Great Soundtrack', 'Procedural Generation', 'Atmospheric']",strategy_grand_4x,2024-08-13 22:37
1336980,NOBUNAGA'S AMBITION: Awakening,"Jul 20, 2022",Mostly Positive,"| 1,759 User Reviews",NT$ 995.00,"['Wargame', 'Real Time Tactics', 'Grand Strategy', 'Immersive Sim', 'RTS', 'Historical', 'Strategy', 'Alternate History', 'Story Rich', 'Tactical', 'Simulation', 'Resource Management', 'Singleplayer', 'Replay Value', 'Military', '3D', 'Addictive', 'Great Soundtrack', 'Epic']",strategy_grand_4x,2024-08-13 22:37
1363080,Manor Lords,"Apr 26, 2024",Very Positive,"| 45,728 User Reviews",NT$ 999.00,"['Strategy', 'Simulation', 'City Builder', 'Base Building', 'Grand Strategy', 'Management', 'Building', 'Resource Management', 'Sandbox', 'Colony Sim', 'Survival', 'Historical', 'Moddable', 'Open World', 'Singleplayer', 'RTS', 'Replay Value', '4X', 'Early Access', 'Economy']",strategy_grand_4x,2024-08-13 22:37
1158310,Crusader Kings III,"Sep 1, 2020",Very Positive,"| 71,767 User Reviews","NT$ 1,268.00","['Strategy', 'Medieval', 'Grand Strategy', 'Simulation', 'RPG', 'Historical', 'Management', 'Character Customization', 'RTS', 'Life Sim', 'Sandbox', 'Choices Matter', 'War', 'Singleplayer', 'Economy', '4X', 'Political', 'Moddable', 'Multiplayer', 'Real-Time with Pause']",strategy_grand_4x,2024-08-13 22:37
394360,Hearts of Iron IV,"Jun 6, 2016",Very Positive,"| 214,565 User Reviews","NT$ 1,268.00","['Strategy', 'World War II', 'Grand Strategy', 'War', 'Historical', 'Military', 'Alternate History', 'Multiplayer', 'Simulation', 'Tactical', 'Real-Time with Pause', 'Singleplayer', 'RTS', 'Diplomacy', 'Sandbox', 'Co-op', 'Strategy RPG', 'Competitive', 'Open World', 'Action']",strategy_grand_4x,2024-08-13 22:37
1142710,Total War: WARHAMMER III,"Feb 17, 2022",Mixed,"| 74,335 User Reviews","NT$ 1,790.00","['Strategy', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Fantasy', 'Real Time Tactics', 'Dark Fantasy', 'War', 'Action', 'Tactical', 'Atmospheric', 'Games Workshop', 'Dwarf', 'Multiplayer', 'Colorful', 'Co-op', 'PvP', 'Singleplayer', 'Story Rich', 'Warhammer 40K']",strategy_grand_4x,2024-08-13 22:37
1669000,Age of Wonders 4,"May 2, 2023",Very Positive,"| 11,009 User Reviews","NT$ 1,398.00","['Strategy', '4X', 'Character Customization', 'Choices Matter', 'RPG', 'Strategy RPG', 'Fantasy', 'Moddable', 'Lore-Rich', 'Dwarf', 'Combat', 'Turn-Based Strategy', 'Grand Strategy', 'Singleplayer', 'Magic', 'Exploration', 'Co-op', 'Top-Down', 'Multiplayer', 'Tactical RPG']",strategy_grand_4x,2024-08-13 22:37
1422440,Cataclismo,"Jul 22, 2024",Very Positive,"| 1,754 User Reviews",NT$ 699.00,"['Base Building', 'Strategy', 'Simulation', 'City Builder', 'Management', 'Sandbox', 'Building', 'Resource Management', 'Grand Strategy', 'Historical', 'Colony Sim', 'Tower Defense', 'Open World', 'Dark Fantasy', 'Singleplayer', 'Moddable', '4X', 'Economy', 'RTS', 'Early Access']",strategy_grand_4x,2024-08-13 22:37
