GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
730,Counter-Strike 2,"Aug 21, 2012",Very Positive,"| 8,238,432 User Reviews",Free To Play,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']",strategy_military,2024-08-13 22:37
394360,Hearts of Iron IV,"Jun 6, 2016",Very Positive,"| 214,565 User Reviews","NT$ 1,268.00","['Strategy', 'World War II', 'Grand Strategy', 'War', 'Historical', 'Military', 'Alternate History', 'Multiplayer', 'Simulation', 'Tactical', 'Real-Time with Pause', 'Singleplayer', 'RTS', 'Diplomacy', 'Sandbox', 'Co-op', 'Strategy RPG', 'Competitive', 'Open World', 'Action']",strategy_military,2024-08-13 22:37
835570,Conqueror's Blade,"Apr 6, 2020",Mixed,"| 30,544 User Reviews",Free To Play,"['PvP', 'Medieval', 'Massively Multiplayer', 'Action', 'Strategy', 'MMORPG', 'Sandbox', 'Free to Play', 'Character Customization', 'Alternate History', 'War', 'Wargame', 'RPG', 'Open World', 'Swordplay', 'RTS', 'Tactical', 'Third Person', 'Team-Based', 'Action RPG']",strategy_military,2024-08-13 22:37
359550,Tom Clancy's Rainbow Six® Siege,"Dec 1, 2015",Very Positive,"| 1,112,623 User Reviews",NT$ 569.00,"['FPS', 'PvP', 'eSports', 'Multiplayer', 'Tactical', 'Shooter', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'Team-Based', 'Military', 'Strategy', 'First-Person', 'War', 'Co-op', 'Realistic', 'Destruction', 'Difficult', '3D']",strategy_military,2024-08-13 22:37
1336980,NOBUNAGA'S AMBITION: Awakening,"Jul 20, 2022",Mostly Positive,"| 1,759 User Reviews",NT$ 995.00,"['Wargame', 'Real Time Tactics', 'Grand Strategy', 'Immersive Sim', 'RTS', 'Historical', 'Strategy', 'Alternate History', 'Story Rich', 'Tactical', 'Simulation', 'Resource Management', 'Singleplayer', 'Replay Value', 'Military', '3D', 'Addictive', 'Great Soundtrack', 'Epic']",strategy_military,2024-08-13 22:37
444200,World of Tanks Blitz,"Nov 9, 2016",Mostly Positive,"| 141,726 User Reviews",Free To Play,"['Tanks', 'Free to Play', 'Shooter', 'Action', 'FPS', 'Strategy', 'Massively Multiplayer', 'Real Time Tactics', 'PvP', 'World War II', 'Multiplayer', 'Online Co-Op', 'Team-Based', 'War', 'Competitive', 'Realistic', '3D Platformer', 'Singleplayer', 'Military', 'Vehicular Combat']",strategy_military,2024-08-13 22:37
281990,Stellaris,"May 9, 2016",Very Positive,"| 118,184 User Reviews","NT$ 1,018.00","['Space', 'Grand Strategy', 'Strategy', 'Sci-fi', '4X', 'Exploration', 'Sandbox', 'Simulation', 'Multiplayer', 'Singleplayer', 'Real-Time with Pause', 'Moddable', 'Diplomacy', 'Management', 'Military', 'Futuristic', 'Replay Value', 'Great Soundtrack', 'Procedural Generation', 'Atmospheric']",strategy_military,2024-08-13 22:37
1466860,Age of Empires IV: Anniversary Edition,"Oct 28, 2021",Very Positive,"| 52,626 User Reviews","NT$ 1,088.00","['Strategy', 'RTS', 'Base Building', 'War', 'Multiplayer', 'Singleplayer', 'Medieval', 'Resource Management', 'City Builder', 'Historical', 'Action RTS', 'PvP', 'PvE', 'Co-op', '3D', 'Isometric', 'Management', 'Open World', 'Online Co-Op', 'Mature']",strategy_military,2024-08-13 22:37
289070,Sid Meier’s Civilization® VI,"Oct 21, 2016",Very Positive,"| 233,965 User Reviews","NT$ 1,790.00","['Strategy', 'Turn-Based Strategy', 'Multiplayer', 'Historical', 'Singleplayer', 'Grand Strategy', 'Turn-Based', '4X', 'War', 'Simulation', 'City Builder', 'Tactical', 'Building', 'Management', 'Great Soundtrack', 'Moddable', 'Online Co-Op', 'Co-op', 'Hex Grid', 'Atmospheric']",strategy_military,2024-08-13 22:37
261550,Mount & Blade II: Bannerlord,"Oct 25, 2022",Very Positive,"| 193,467 User Reviews","NT$ 1,399.00","['Medieval', 'Strategy', 'Open World', 'RPG', 'War', 'Sandbox', 'Multiplayer', 'Singleplayer', 'Action', 'Character Customization', 'Simulation', 'Moddable', 'Adventure', 'Horses', 'Realistic', 'Third Person', 'First-Person', 'Historical', 'Great Soundtrack', 'Early Access']",strategy_military,2024-08-13 22:37
898750,Super Robot Wars 30,"Oct 27, 2021",Very Positive,"| 4,888 User Reviews",NT$ 557.00,"['Strategy', 'RPG', 'JRPG', 'Mechs', 'Turn-Based Strategy', 'Simulation', 'Strategy RPG', 'Turn-Based Tactics', 'Anime', 'Tactical RPG', 'Visual Novel', '2D', 'Sci-fi', 'Isometric', 'Robots', 'Turn-Based Combat', 'Story Rich', 'Singleplayer', 'Turn-Based', 'Lore-Rich']",strategy_military,2024-08-13 22:37
872410,ROMANCE OF THE THREE KINGDOMS XIV,"Jan 16, 2020",Mixed,"| 11,641 User Reviews","NT$ 1,790.00","['Turn-Based Tactics', 'Wargame', 'Military', 'Immersive Sim', 'Diplomacy', 'War', 'Character Customization', 'Grand Strategy', 'Turn-Based Strategy', 'Strategy', 'Historical', '3D', 'Alternate History', 'Simulation', 'Tactical', 'Resource Management', 'Singleplayer', 'Replay Value', 'RPG', 'Turn-Based']",strategy_military,2024-08-13 22:37
1158310,Crusader Kings III,"Sep 1, 2020",Very Positive,"| 71,767 User Reviews","NT$ 1,268.00","['Strategy', 'Medieval', 'Grand Strategy', 'Simulation', 'RPG', 'Historical', 'Management', 'Character Customization', 'RTS', 'Life Sim', 'Sandbox', 'Choices Matter', 'War', 'Singleplayer', 'Economy', '4X', 'Political', 'Moddable', 'Multiplayer', 'Real-Time with Pause']",strategy_military,2024-08-13 22:37
1142710,Total War: WARHAMMER III,"Feb 17, 2022",Mixed,"| 74,335 User Reviews","NT$ 1,790.00","['Strategy', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Fantasy', 'Real Time Tactics', 'Dark Fantasy', 'War', 'Action', 'Tactical', 'Atmospheric', 'Games Workshop', 'Dwarf', 'Multiplayer', 'Colorful', 'Co-op', 'PvP', 'Singleplayer', 'Story Rich', 'Warhammer 40K']",strategy_military,2024-08-13 22:37
107410,Arma 3,"Sep 12, 2013",Very Positive,"| 150,951 User Reviews",NT$ 698.00,"['Military', 'Action', 'Multiplayer', 'Simulation', 'Shooter', 'Realistic', 'First-Person', 'Open World', 'Tactical', 'FPS', 'War', 'Co-op', 'Strategy', 'Sandbox', 'Singleplayer', 'Moddable', 'Combat', 'Online Co-Op', 'Team-Based', 'Third-Person Shooter']",strategy_military,2024-08-13 22:37
628070,Romance of the Three Kingdoms XI with Power Up Kit,"Jan 17, 2018",Very Positive,"| 2,914 User Reviews",NT$ 938.00,"['Turn-Based Tactics', 'Wargame', 'Immersive Sim', 'War', 'Military', 'Diplomacy', 'Turn-Based Strategy', 'Grand Strategy', 'Character Customization', 'Strategy', '3D', 'Historical', 'Alternate History', 'Simulation', 'Tactical', 'Resource Management', 'Local Multiplayer', 'Replay Value', 'Great Soundtrack', 'Addictive']",strategy_military,2024-08-13 22:37
1469610,Last Train Home,"Nov 28, 2023",Very Positive,"| 2,812 User Reviews",NT$ 299.00,"['Strategy', 'Real Time Tactics', 'RTS', 'Historical', 'Trains', '3D', 'Choices Matter', 'Singleplayer', 'War', 'World War I', 'Wargame', 'Survival', 'Unforgiving', 'Management', 'Atmospheric', 'Base Building', 'Realistic', 'Tactical', 'Isometric', 'Multiple Endings']",strategy_military,2024-08-13 22:37
292990,NOBUNAGA'S AMBITION: Souzou,"Aug 27, 2014",Very Positive,| 994 User Reviews,NT$ 395.00,"['Wargame', 'Immersive Sim', 'Real Time Tactics', 'War', 'Military', 'Diplomacy', 'RTS', 'Grand Strategy', 'Character Customization', 'Strategy', '3D', 'Historical', 'Alternate History', 'Simulation', 'Tactical', 'Resource Management', 'Replay Value', 'Great Soundtrack', 'Addictive']",strategy_military,2024-08-13 22:37
933110,Age of Empires III: Definitive Edition,"Oct 15, 2020",Very Positive,"| 43,457 User Reviews",Free To Play,"['Strategy', 'Base Building', 'RTS', 'Multiplayer', 'Military', 'City Builder', 'Historical', 'War', 'Singleplayer', 'Resource Management', 'Free to Play', 'PvP', '3D', 'Combat', 'Online Co-Op', 'Medieval', 'Co-op', 'Moddable', 'Story Rich', 'Level Editor']",strategy_military,2024-08-13 22:37
