GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
813780,Age of Empires II: Definitive Edition,"Nov 14, 2019",Very Positive,"| 129,865 User Reviews",NT$ 679.00,"['Strategy', 'RTS', 'City Builder', 'Multiplayer', 'Base Building', 'Historical', 'Singleplayer', 'Medieval', 'Resource Management', 'Classic', 'Tactical', 'Real-Time', 'Co-op', 'Remake', 'Isometric', 'Replay Value', '2D', 'Action', 'Great Soundtrack', 'Adventure']",strategy_real_time,2024-08-13 22:37
1466860,Age of Empires IV: Anniversary Edition,"Oct 28, 2021",Very Positive,"| 52,626 User Reviews","NT$ 1,088.00","['Strategy', 'RTS', 'Base Building', 'War', 'Multiplayer', 'Singleplayer', 'Medieval', 'Resource Management', 'City Builder', 'Historical', 'Action RTS', 'PvP', 'PvE', 'Co-op', '3D', 'Isometric', 'Management', 'Open World', 'Online Co-Op', 'Mature']",strategy_real_time,2024-08-13 22:37
1336980,NOBUNAGA'S AMBITION: Awakening,"Jul 20, 2022",Mostly Positive,"| 1,759 User Reviews",NT$ 995.00,"['Wargame', 'Real Time Tactics', 'Grand Strategy', 'Immersive Sim', 'RTS', 'Historical', 'Strategy', 'Alternate History', 'Story Rich', 'Tactical', 'Simulation', 'Resource Management', 'Singleplayer', 'Replay Value', 'Military', '3D', 'Addictive', 'Great Soundtrack', 'Epic']",strategy_real_time,2024-08-13 22:37
570,Dota 2,"Jul 9, 2013",Very Positive,"| 2,295,117 User Reviews",Free To Play,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']",strategy_real_time,2024-08-13 22:37
2426960,Summoners War,"Jan 8, 2024",Mostly Positive,"| 6,043 User Reviews",Free To Play,"['Free to Play', 'RPG', 'Strategy', 'RTS', 'Strategy RPG', 'Turn-Based Strategy', 'Tactical RPG', 'Turn-Based Tactics', 'PvP', 'Real Time Tactics', 'PvE', 'Tutorial', 'Turn-Based Combat', 'Lore-Rich', 'Fantasy', 'Colorful', 'Anime', 'Cinematic', 'Multiplayer', 'Party-Based RPG']",strategy_real_time,2024-08-13 22:37
1142710,Total War: WARHAMMER III,"Feb 17, 2022",Mixed,"| 74,335 User Reviews","NT$ 1,790.00","['Strategy', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Fantasy', 'Real Time Tactics', 'Dark Fantasy', 'War', 'Action', 'Tactical', 'Atmospheric', 'Games Workshop', 'Dwarf', 'Multiplayer', 'Colorful', 'Co-op', 'PvP', 'Singleplayer', 'Story Rich', 'Warhammer 40K']",strategy_real_time,2024-08-13 22:37
394360,Hearts of Iron IV,"Jun 6, 2016",Very Positive,"| 214,565 User Reviews","NT$ 1,268.00","['Strategy', 'World War II', 'Grand Strategy', 'War', 'Historical', 'Military', 'Alternate History', 'Multiplayer', 'Simulation', 'Tactical', 'Real-Time with Pause', 'Singleplayer', 'RTS', 'Diplomacy', 'Sandbox', 'Co-op', 'Strategy RPG', 'Competitive', 'Open World', 'Action']",strategy_real_time,2024-08-13 22:37
1954420,RiichiCity - ACG mahjong games,"Sep 8, 2022",Mixed,"| 2,275 User Reviews",Free To Play,"['Casual', 'Sexual Content', 'Anime', 'Psychological Horror', 'Thriller', 'Card Game', 'Horror', 'Modern', 'Cute', 'Strategy', 'RTS', 'JRPG', 'Sports', 'Card Battler', 'Funny', 'Souls-like', 'Real Time Tactics', '2.5D', 'Drama', 'Board Game']",strategy_real_time,2024-08-13 22:37
1934680,Age of Mythology: Retold,"Sep 4, 2024",,,"NT$ 1,018.00","['Strategy', 'RTS', 'Action RTS', '3D', 'Mythology', 'Fantasy', 'Top-Down', 'Magic', 'Base Building', 'Level Editor', 'Moddable', 'PvP', 'PvE', 'Resource Management', 'Story Rich', 'Tutorial', 'Co-op', 'Multiplayer', 'Singleplayer', 'Online Co-Op']",strategy_real_time,2024-08-13 22:37
1158310,Crusader Kings III,"Sep 1, 2020",Very Positive,"| 71,767 User Reviews","NT$ 1,268.00","['Strategy', 'Medieval', 'Grand Strategy', 'Simulation', 'RPG', 'Historical', 'Management', 'Character Customization', 'RTS', 'Life Sim', 'Sandbox', 'Choices Matter', 'War', 'Singleplayer', 'Economy', '4X', 'Political', 'Moddable', 'Multiplayer', 'Real-Time with Pause']",strategy_real_time,2024-08-13 22:37
