GameID,GameName,OperationDate,Rating_Summary,Total_Number_of_Rating,Cost,Tag,Category,Datetime
570,Dota 2,"Jul 9, 2013",Very Positive,"| 2,295,117 User Reviews",Free To Play,"['Free to Play', 'MOBA', 'Multiplayer', 'Strategy', 'eSports', 'Team-Based', 'Competitive', 'Action', 'Online Co-Op', 'PvP', 'Difficult', 'Co-op', 'RTS', 'RPG', 'Tower Defense', 'Fantasy', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']",tower_defense,2024-08-13 22:37
2849080,Kingdom Rush 5: Alliance TD,"Jul 25, 2024",Very Positive,"| 4,258 User Reviews",NT$ 328.00,"['Strategy', 'Tower Defense', '2D', 'Cartoon', 'Cartoony', 'Dragons', 'Singleplayer', 'Fantasy', 'Building', 'Funny', 'Medieval', 'Indie', 'Action', 'Adventure', 'Comedy', 'Magic', 'Dark']",tower_defense,2024-08-13 22:37
960090,Bloons TD 6,"Dec 18, 2018",Overwhelmingly Positive,"| 284,839 User Reviews",NT$ 248.00,"['Tower Defense', 'Strategy', 'Multiplayer', 'Singleplayer', 'Online Co-Op', 'Co-op', 'Family Friendly', 'Casual', '3D', 'Cartoony', 'Sandbox', 'Great Soundtrack', 'Difficult', 'Funny', 'Cute', 'Survival', 'Action', 'Indie', '2D', 'Adventure']",tower_defense,2024-08-13 22:37
1422440,Cataclismo,"Jul 22, 2024",Very Positive,"| 1,754 User Reviews",NT$ 699.00,"['Base Building', 'Strategy', 'Simulation', 'City Builder', 'Management', 'Sandbox', 'Building', 'Resource Management', 'Grand Strategy', 'Historical', 'Colony Sim', 'Tower Defense', 'Open World', 'Dark Fantasy', 'Singleplayer', 'Moddable', '4X', 'Economy', 'RTS', 'Early Access']",tower_defense,2024-08-13 22:37
2459550,Emberward,"Jun 25, 2024",Overwhelmingly Positive,| 871 User Reviews,NT$ 268.00,"['Tower Defense', 'Strategy', 'Roguelite', 'Base Building', 'Deckbuilding', 'RTS', 'Roguelike', 'Singleplayer', 'Tactical', '3D', 'Indie', 'Colorful', 'Cartoony', 'Building', 'Fantasy', 'Magic', 'Resource Management', 'Top-Down', 'Procedural Generation', 'Roguelike Deckbuilder']",tower_defense,2024-08-13 22:37
3048530,白荊迴廊,"Jul 30, 2024",Mixed,| 27 User Reviews,Free To Play,"['Adventure', 'Strategy', 'RPG', 'Card Game', 'RTS', 'Tower Defense', 'Strategy RPG', 'Auto Battler', 'Card Battler', 'Real Time Tactics', 'Tactical RPG', '3D', 'Anime', 'Isometric', 'Drama', 'Fantasy', 'Time Travel', 'Atmospheric', 'Magic', 'Story Rich']",tower_defense,2024-08-13 22:37
2310160,Operation: Polygon Storm,"Aug 12, 2024",Very Positive,| 57 User Reviews,NT$ 214.00,"['Strategy', 'Tower Defense', 'RTS', 'War', 'Tactical', 'Resource Management', 'Auto Battler', 'Singleplayer', 'Simulation', 'Physics', 'Indie', 'Action RTS', '3D', 'Military', 'Wargame', 'Base Building', 'Combat', 'Destruction', 'Sandbox', 'Violent']",tower_defense,2024-08-13 22:37
1018830,Element TD 2 - Tower Defense,"Apr 2, 2021",Very Positive,"| 2,489 User Reviews",NT$ 265.00,"['Tower Defense', 'Real Time Tactics', 'Multiplayer', 'Fantasy', 'Strategy', 'PvE', 'PvP', 'Team-Based', 'Competitive', 'Character Customization', 'RTS', '3D', 'Tactical', 'Score Attack', 'Building', 'Co-op', 'Online Co-Op', 'Singleplayer', 'Replay Value', 'Indie']",tower_defense,2024-08-13 22:37
2224640,Artisan TD,"Jul 22, 2024",Very Positive,"| 1,442 User Reviews",NT$ 299.00,"['Tower Defense', 'Strategy', 'Difficult', 'Puzzle', 'Building', 'Tactical', 'Real Time Tactics', 'Fantasy', 'Singleplayer', 'Stylized', 'Top-Down', '3D', 'Management', 'Turn-Based Tactics', 'Indie']",tower_defense,2024-08-13 22:37
3590,Plants vs. Zombies GOTY Edition,"May 5, 2009",Overwhelmingly Positive,"| 118,519 User Reviews",NT$ 148.00,"['Tower Defense', 'Zombies', 'Strategy', 'Singleplayer', 'Casual', 'Classic', 'Comedy', '2D', 'Great Soundtrack', 'Family Friendly', 'Funny', 'Puzzle', 'Addictive', 'Cute', 'Survival', 'Indie', 'Tactical', 'Adventure', 'Touch-Friendly', 'Post-apocalyptic']",tower_defense,2024-08-13 22:37
