Rank,GameID,GameName,Cost,Country,Datetime
1,730,Counter-Strike 2,Free To Play,AT,2024-08-10 12:05
2,306130,The Elder Scrolls® Online,NT$ 179.00,AT,2024-08-10 12:05
4,1593500,God of War,NT$ 476.00,AT,2024-08-10 12:05
5,2074920,The First Descendant,Free To Play,AT,2024-08-10 12:05
6,236390,War Thunder,Free To Play,AT,2024-08-10 12:05
7,1222670,The Sims™ 4,Free To Play,AT,2024-08-10 12:05
8,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",AT,2024-08-10 12:05
10,397540,Borderlands 3,NT$ 178.00,AT,2024-08-10 12:05
11,1086940,Baldur's Gate 3,"NT$ 1,599.00",AT,2024-08-10 12:05
12,238960,Path of Exile(not available in your region),"NT$ 1,599.00",AT,2024-08-10 12:05
13,578080,PUBG: BATTLEGROUNDS,Free To Play,AT,2024-08-10 12:05
14,1857090,Norland,NT$ 699.00,AT,2024-08-10 12:05
15,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",AT,2024-08-10 12:05
16,2638370,Five Nights at Freddy's: Into the Pit,NT$ 328.00,AT,2024-08-10 12:05
17,381210,Dead by Daylight,NT$ 379.00,AT,2024-08-10 12:05
18,553850,HELLDIVERS™ 2,"NT$ 1,190.00",AT,2024-08-10 12:05
20,2139460,Once Human,Free To Play,AT,2024-08-10 12:05
21,230410,Warframe,Free To Play,AT,2024-08-10 12:05
22,782330,DOOM Eternal,NT$ 299.00,AT,2024-08-10 12:05
24,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",AT,2024-08-10 12:05
25,1245620,ELDEN RING,"NT$ 1,790.00",AT,2024-08-10 12:05
26,252490,Rust,NT$ 694.00,AT,2024-08-10 12:05
28,2344520,Diablo® IV,"NT$ 1,575.00",AT,2024-08-10 12:05
29,271590,Grand Theft Auto V,NT$ 662.00,AT,2024-08-10 12:05
30,1172470,Apex Legends™,Free To Play,AT,2024-08-10 12:05
31,2808930,Lust Goddess(hidden by your preferences),Free To Play,AT,2024-08-10 12:05
33,1449850,Yu-Gi-Oh! Master Duel,Free To Play,AT,2024-08-10 12:05
34,377160,Fallout 4,NT$ 239.00,AT,2024-08-10 12:05
35,39210,FINAL FANTASY XIV Online(not available in your region),NT$ 239.00,AT,2024-08-10 12:05
36,2751000,Prince of Persia The Lost Crown,NT$ 677.00,AT,2024-08-10 12:05
37,1599340,Lost Ark(not available in your region),NT$ 677.00,AT,2024-08-10 12:05
38,1716740,Starfield,"NT$ 1,333.00",AT,2024-08-10 12:05
40,1717250,Ratten Reich,NT$ 262.00,AT,2024-08-10 12:05
42,1237970,Titanfall® 2,NT$ 79.00,AT,2024-08-10 12:05
43,2362300,Train Sim World® 4,NT$ 599.00,AT,2024-08-10 12:05
45,2358720,Black Myth: Wukong,"NT$ 1,280.00",AT,2024-08-10 12:05
46,489830,The Elder Scrolls V: Skyrim Special Edition,NT$ 299.00,AT,2024-08-10 12:05
48,570,Dota 2,Free To Play,AT,2024-08-10 12:05
49,2567870,Chained Together,NT$ 102.00,AT,2024-08-10 12:05
50,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",AT,2024-08-10 12:05
52,2142790,Fields of Mistria,NT$ 248.00,AT,2024-08-10 12:05
53,1151340,Fallout 76,NT$ 299.00,AT,2024-08-10 12:05
54,2488620,F1® 24,"NT$ 1,439.00",AT,2024-08-10 12:05
55,440,Team Fortress 2,Free To Play,AT,2024-08-10 12:05
58,2396240,SteamWorld Heist II,NT$ 439.00,AT,2024-08-10 12:05
59,227300,Euro Truck Simulator 2,NT$ 428.00,AT,2024-08-10 12:05
60,49520,Borderlands 2,NT$ 149.00,AT,2024-08-10 12:05
61,1085660,Destiny 2,Free To Play,AT,2024-08-10 12:05
62,1286680,Tiny Tina's Wonderlands,NT$ 433.00,AT,2024-08-10 12:05
63,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",AT,2024-08-10 12:05
64,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,AT,2024-08-10 12:05
65,1158310,Crusader Kings III,"NT$ 1,268.00",AT,2024-08-10 12:05
66,1643310,Dungeons 4,NT$ 825.00,AT,2024-08-10 12:05
67,1203620,Enshrouded,NT$ 499.00,AT,2024-08-10 12:05
68,2662170,Train Sim World® 4: Expert DB BR 101 & IC Steuerwagen Loco Add-On,NT$ 599.00,AT,2024-08-10 12:05
69,304390,FOR HONOR™,NT$ 849.00,AT,2024-08-10 12:05
70,1144200,Ready or Not,NT$ 846.00,AT,2024-08-10 12:05
72,552990,World of Warships,Free To Play,AT,2024-08-10 12:05
73,380600,Fishing Planet,Free To Play,AT,2024-08-10 12:05
74,1818450,STALCRAFT: X,Free To Play,AT,2024-08-10 12:05
75,494840,UBOAT,NT$ 146.00,AT,2024-08-10 12:05
76,1248130,Farming Simulator 22,NT$ 650.00,AT,2024-08-10 12:05
77,2280,DOOM + DOOM II,NT$ 285.00,AT,2024-08-10 12:05
79,2141910,Magic: The Gathering Arena(not available in your region),NT$ 633.00,AT,2024-08-10 12:05
80,1149460,ICARUS,NT$ 283.00,AT,2024-08-10 12:05
81,546560,Half-Life: Alyx,NT$ 305.00,AT,2024-08-10 12:05
82,739630,Phasmophobia,NT$ 198.00,AT,2024-08-10 12:05
83,2244470,Train Valley World,NT$ 262.00,AT,2024-08-10 12:05
84,311210,Call of Duty®: Black Ops III,NT$ 659.00,AT,2024-08-10 12:05
85,2400510,Dungeons & Degenerate Gamblers,NT$ 241.00,AT,2024-08-10 12:05
86,1091500,Cyberpunk 2077,"NT$ 1,599.00",AT,2024-08-10 12:05
87,1551360,Forza Horizon 5,"NT$ 1,688.00",AT,2024-08-10 12:05
88,2964020,"Dungeons 4 - The Good, the Bad and the Evil",NT$ 315.00,AT,2024-08-10 12:05
90,413150,Stardew Valley,NT$ 318.00,AT,2024-08-10 12:05
92,1017180,The Long Drive,NT$ 278.00,AT,2024-08-10 12:05
93,444200,World of Tanks Blitz,Free To Play,AT,2024-08-10 12:05
94,1232580,Knock on the Coffin Lid,NT$ 302.00,AT,2024-08-10 12:05
96,2300320,Farming Simulator 25,"NT$ 1,199.00",AT,2024-08-10 12:05
