Rank,GameID,GameName,Cost,Country,Datetime
2,2074920,The First Descendant,Free To Play,BE,2024-08-05 12:04
3,238960,Path of Exile(not available in your region),Free To Play,BE,2024-08-05 12:04
4,2139460,Once Human,Free To Play,BE,2024-08-05 12:04
5,1086940,Baldur's Gate 3,"NT$ 1,599.00",BE,2024-08-05 12:04
6,1245620,ELDEN RING,"NT$ 1,790.00",BE,2024-08-05 12:04
7,39210,FINAL FANTASY XIV Online(not available in your region),"NT$ 1,790.00",BE,2024-08-05 12:04
8,271590,Grand Theft Auto V,NT$ 662.00,BE,2024-08-05 12:04
9,1203620,Enshrouded,NT$ 399.00,BE,2024-08-05 12:04
10,2567870,Chained Together,NT$ 102.00,BE,2024-08-05 12:04
11,381210,Dead by Daylight,NT$ 151.00,BE,2024-08-05 12:04
12,230410,Warframe,Free To Play,BE,2024-08-05 12:04
13,2300320,Farming Simulator 25,"NT$ 1,199.00",BE,2024-08-05 12:04
14,2141910,Magic: The Gathering Arena(not available in your region),"NT$ 1,199.00",BE,2024-08-05 12:04
15,1172620,Sea of Thieves: 2024 Edition,"NT$ 1,088.00",BE,2024-08-05 12:04
16,983380,Car Manufacture,NT$ 295.00,BE,2024-08-05 12:04
17,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",BE,2024-08-05 12:04
19,1222670,The Sims™ 4,Free To Play,BE,2024-08-05 12:04
20,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",BE,2024-08-05 12:04
21,236390,War Thunder,Free To Play,BE,2024-08-05 12:04
22,2426960,Summoners War,Free To Play,BE,2024-08-05 12:04
23,227300,Euro Truck Simulator 2,NT$ 428.00,BE,2024-08-05 12:04
24,1363080,Manor Lords,NT$ 749.00,BE,2024-08-05 12:04
25,553850,HELLDIVERS™ 2,"NT$ 1,190.00",BE,2024-08-05 12:04
26,2519060,Call of Duty®: Modern Warfare® III,"NT$ 1,220.00",BE,2024-08-05 12:04
27,2399830,ARK: Survival Ascended,"NT$ 1,382.00",BE,2024-08-05 12:04
28,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,BE,2024-08-05 12:04
29,306130,The Elder Scrolls® Online,NT$ 599.00,BE,2024-08-05 12:04
31,2526380,Sword of Convallaria,Free To Play,BE,2024-08-05 12:04
32,1938090,Call of Duty®,Free To Play,BE,2024-08-05 12:04
33,252490,Rust,NT$ 694.00,BE,2024-08-05 12:04
35,494840,UBOAT,NT$ 146.00,BE,2024-08-05 12:04
37,1432860,Sun Haven,NT$ 189.00,BE,2024-08-05 12:04
38,2406770,Bodycam,NT$ 566.00,BE,2024-08-05 12:04
40,1282100,REMNANT II®,NT$ 550.00,BE,2024-08-05 12:04
41,1551360,Forza Horizon 5,"NT$ 1,688.00",BE,2024-08-05 12:04
44,1422440,Cataclismo,NT$ 559.00,BE,2024-08-05 12:04
46,1623730,Palworld,NT$ 488.00,BE,2024-08-05 12:04
47,1144200,Ready or Not,NT$ 846.00,BE,2024-08-05 12:04
48,2344520,Diablo® IV,"NT$ 1,575.00",BE,2024-08-05 12:04
49,1937780,Total War: PHARAOH,"NT$ 1,090.00",BE,2024-08-05 12:04
50,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",BE,2024-08-05 12:04
51,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",BE,2024-08-05 12:04
52,2429640,THRONE AND LIBERTY(not available in your region),"NT$ 1,690.00",BE,2024-08-05 12:04
55,570,Dota 2,Free To Play,BE,2024-08-05 12:04
56,1142710,Total War: WARHAMMER III,"NT$ 1,790.00",BE,2024-08-05 12:04
57,686810,Hell Let Loose,NT$ 899.00,BE,2024-08-05 12:04
58,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",BE,2024-08-05 12:04
59,2591280,F1® Manager 2024,NT$ 820.00,BE,2024-08-05 12:04
60,1331550,Big Ambitions,NT$ 375.00,BE,2024-08-05 12:04
62,2698780,ContractVille,NT$ 328.00,BE,2024-08-05 12:04
63,1145350,Hades II,NT$ 488.00,BE,2024-08-05 12:04
64,2849080,Kingdom Rush 5: Alliance TD,NT$ 295.00,BE,2024-08-05 12:04
65,730,Counter-Strike 2,Free To Play,BE,2024-08-05 12:04
66,703080,Planet Zoo,NT$ 975.00,BE,2024-08-05 12:04
