Top_Selling,App_Id,Name,Cost,Country,Datetime
1,2344520,Diablo® IV,"NT$ 1,575.00",BR,2024-08-05 12:04
2,730,Counter-Strike 2,Free To Play,BR,2024-08-05 12:04
3,2519060,Call of Duty®: Modern Warfare® III,"NT$ 1,220.00",BR,2024-08-05 12:04
4,5700,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,NT$ 662.00,BR,2024-08-05 12:04
5,570,Dota 2,Free To Play,BR,2024-08-05 12:04
6,271590,Grand Theft Auto V,NT$ 662.00,BR,2024-08-05 12:04
7,1245620,ELDEN RING,"NT$ 1,790.00",BR,2024-08-05 12:04
8,238960,Path of Exile(not available in your region),"NT$ 1,790.00",BR,2024-08-05 12:04
9,381210,Dead by Daylight,NT$ 151.00,BR,2024-08-05 12:04
10,2074920,The First Descendant,Free To Play,BR,2024-08-05 12:04
11,578080,PUBG: BATTLEGROUNDS,Free To Play,BR,2024-08-05 12:04
12,597820,BIOMUTANT,NT$ 142.00,BR,2024-08-05 12:04
13,1938090,Call of Duty®,NT$ 142.00,BR,2024-08-05 12:04
14,230410,Warframe,Free To Play,BR,2024-08-05 12:04
15,1086940,Baldur's Gate 3,"NT$ 1,599.00",BR,2024-08-05 12:04
16,2050650,Resident Evil 4,NT$ 937.00,BR,2024-08-05 12:04
17,1665460,eFootball™ 2024,Free To Play,BR,2024-08-05 12:04
18,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",BR,2024-08-05 12:04
19,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",BR,2024-08-05 12:04
20,1962663,Call of Duty®: Warzone™,Free To Play,BR,2024-08-05 12:04
21,39210,FINAL FANTASY XIV Online(not available in your region),Free To Play,BR,2024-08-05 12:04
22,2358720,Black Myth: Wukong,"NT$ 1,280.00",BR,2024-08-05 12:04
23,2567870,Chained Together,NT$ 102.00,BR,2024-08-05 12:04
24,1174180,Red Dead Redemption 2,"NT$ 1,790.00",BR,2024-08-05 12:04
25,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",BR,2024-08-05 12:04
26,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",BR,2024-08-05 12:04
27,2139460,Once Human,Free To Play,BR,2024-08-05 12:04
28,431960,Wallpaper Engine,NT$ 120.00,BR,2024-08-05 12:04
29,1203620,Enshrouded,NT$ 399.00,BR,2024-08-05 12:04
30,728880,Overcooked! 2,NT$ 211.00,BR,2024-08-05 12:04
31,447040,Watch_Dogs® 2,NT$ 254.00,BR,2024-08-05 12:04
32,2790710,Call of Duty®: Modern Warfare® III - Tracer Pack: Underboss Pro Pack,NT$ 690.00,BR,2024-08-05 12:04
33,1432860,Sun Haven,NT$ 189.00,BR,2024-08-05 12:04
34,582660,Black Desert,NT$ 200.00,BR,2024-08-05 12:04
35,413150,Stardew Valley,NT$ 398.00,BR,2024-08-05 12:04
36,2790720,Call of Duty®: Modern Warfare® III - BlackCell (Season 5),"NT$ 1,008.00",BR,2024-08-05 12:04
37,1282100,REMNANT II®,NT$ 550.00,BR,2024-08-05 12:04
38,418370,Resident Evil 7 Biohazard,NT$ 224.00,BR,2024-08-05 12:04
39,993090,Lossless Scaling,NT$ 138.00,BR,2024-08-05 12:04
40,548430,Deep Rock Galactic,NT$ 144.00,BR,2024-08-05 12:04
41,1119730,"Ranch Simulator: Build, Hunt, Farm",NT$ 113.00,BR,2024-08-05 12:04
42,227300,Euro Truck Simulator 2,NT$ 428.00,BR,2024-08-05 12:04
43,236390,War Thunder,Free To Play,BR,2024-08-05 12:04
44,1196590,Resident Evil Village,NT$ 448.00,BR,2024-08-05 12:04
45,2526380,Sword of Convallaria,Free To Play,BR,2024-08-05 12:04
46,2780980,LOCKDOWN Protocol,NT$ 188.00,BR,2024-08-05 12:04
47,601150,Devil May Cry 5,NT$ 287.00,BR,2024-08-05 12:04
48,21478,FINAL FANTASY I-VI Bundle,"NT$ 1,680.00",BR,2024-08-05 12:04
49,266410,iRacing,NT$ 278.00,BR,2024-08-05 12:04
50,952060,Resident Evil 3,NT$ 280.00,BR,2024-08-05 12:04
51,1449690,The Walking Dead: The Telltale Definitive Series,NT$ 149.00,BR,2024-08-05 12:04
52,108600,Project Zomboid,NT$ 328.00,BR,2024-08-05 12:04
53,10464,Darksiders Blades & Whip Franchise Pack,NT$ 384.00,BR,2024-08-05 12:04
54,985810,GrandChase,Free To Play,BR,2024-08-05 12:04
55,1289670,EA Play,NT$ 34.00,BR,2024-08-05 12:04
56,268910,Cuphead,NT$ 468.00,BR,2024-08-05 12:04
57,1966720,Lethal Company,NT$ 188.00,BR,2024-08-05 12:04
58,739630,Phasmophobia,NT$ 248.00,BR,2024-08-05 12:04
59,2357570,Overwatch® 2,Free To Play,BR,2024-08-05 12:04
60,883710,Resident Evil 2,NT$ 327.00,BR,2024-08-05 12:04
61,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",BR,2024-08-05 12:04
62,1332010,Stray,NT$ 323.00,BR,2024-08-05 12:04
63,1623730,Palworld,NT$ 488.00,BR,2024-08-05 12:04
64,488790,South Park™: The Fractured But Whole™,NT$ 169.00,BR,2024-08-05 12:04
65,960090,Bloons TD 6,NT$ 124.00,BR,2024-08-05 12:04
66,1190000,Car Mechanic Simulator 2021,NT$ 163.00,BR,2024-08-05 12:04
67,764692,Resident Evil Village Gold Edition,NT$ 560.00,BR,2024-08-05 12:04
68,1222670,The Sims™ 4,Free To Play,BR,2024-08-05 12:04
69,1790600,DRAGON BALL: Sparking! ZERO,"NT$ 1,890.00",BR,2024-08-05 12:04
70,440,Team Fortress 2,Free To Play,BR,2024-08-05 12:04
71,2429640,THRONE AND LIBERTY(not available in your region),Free To Play,BR,2024-08-05 12:04
72,6115,Bundle: South Park™ : The Stick of Truth™ + The Fractured but Whole™,NT$ 343.00,BR,2024-08-05 12:04
73,1599340,Lost Ark(not available in your region),NT$ 343.00,BR,2024-08-05 12:04
74,1172620,Sea of Thieves: 2024 Edition,"NT$ 1,088.00",BR,2024-08-05 12:04
75,1997040,MARVEL SNAP,Free To Play,BR,2024-08-05 12:04
76,2016590,Dark and Darker,Free To Play,BR,2024-08-05 12:04
77,1091500,Cyberpunk 2077,"NT$ 1,599.00",BR,2024-08-05 12:04
78,1284210,Guild Wars 2,Free To Play,BR,2024-08-05 12:04
79,648800,Raft,NT$ 468.00,BR,2024-08-05 12:04
80,252490,Rust,NT$ 694.00,BR,2024-08-05 12:04
81,1363080,Manor Lords,NT$ 749.00,BR,2024-08-05 12:04
82,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",BR,2024-08-05 12:04
83,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,BR,2024-08-05 12:04
84,1326470,Sons Of The Forest,NT$ 488.00,BR,2024-08-05 12:04
85,1364780,Street Fighter™ 6,"NT$ 1,680.00",BR,2024-08-05 12:04
86,1857090,Norland,NT$ 699.00,BR,2024-08-05 12:04
87,34269,Green Hell & Official Soundtrack Bundle,NT$ 132.00,BR,2024-08-05 12:04
88,606280,Darksiders III,NT$ 139.00,BR,2024-08-05 12:04
89,1465360,SnowRunner,NT$ 424.00,BR,2024-08-05 12:04
90,1085660,Destiny 2,Free To Play,BR,2024-08-05 12:04
91,43079,THRONE AND LIBERTY: Early Access Pack - Ultimate,Free To Play,BR,2024-08-05 12:04
92,221040,Resident Evil 6,NT$ 157.00,BR,2024-08-05 12:04
93,2208920,Assassin's Creed Valhalla,"NT$ 1,699.00",BR,2024-08-05 12:04
94,489830,The Elder Scrolls V: Skyrim Special Edition,"NT$ 1,199.00",BR,2024-08-05 12:04
95,1677740,Stumble Guys,Free To Play,BR,2024-08-05 12:04
96,107410,Arma 3,NT$ 174.00,BR,2024-08-05 12:04
97,945360,Among Us,NT$ 77.00,BR,2024-08-05 12:04
98,1422440,Cataclismo,NT$ 559.00,BR,2024-08-05 12:04
99,105600,Terraria,NT$ 188.00,BR,2024-08-05 12:04
100,21690,Resident Evil 5,NT$ 157.00,BR,2024-08-05 12:04
