Top_Selling,App_Id,Name,Cost,Country,Datetime
1,730,Counter-Strike 2,Free To Play,CA,2024-08-05 12:04
2,1675200,Steam Deck,Free To Play,CA,2024-08-05 12:04
3,2074920,The First Descendant,Free To Play,CA,2024-08-05 12:04
4,1245620,ELDEN RING,"NT$ 1,790.00",CA,2024-08-05 12:04
5,238960,Path of Exile(not available in your region),"NT$ 1,790.00",CA,2024-08-05 12:04
6,1086940,Baldur's Gate 3,"NT$ 1,599.00",CA,2024-08-05 12:04
7,354231,Valve Index VR Kit(not available in your region),"NT$ 1,599.00",CA,2024-08-05 12:04
8,230410,Warframe,Free To Play,CA,2024-08-05 12:04
9,2139460,Once Human,Free To Play,CA,2024-08-05 12:04
10,1203620,Enshrouded,NT$ 399.00,CA,2024-08-05 12:04
11,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",CA,2024-08-05 12:04
12,1599340,Lost Ark(not available in your region),"NT$ 1,190.00",CA,2024-08-05 12:04
13,39210,FINAL FANTASY XIV Online(not available in your region),"NT$ 1,190.00",CA,2024-08-05 12:04
14,2567870,Chained Together,NT$ 102.00,CA,2024-08-05 12:04
15,381210,Dead by Daylight,NT$ 151.00,CA,2024-08-05 12:04
16,5700,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,NT$ 662.00,CA,2024-08-05 12:04
17,553850,HELLDIVERS™ 2,"NT$ 1,190.00",CA,2024-08-05 12:04
18,1059530,Valve Index® Headset(not available in your region),"NT$ 1,190.00",CA,2024-08-05 12:04
19,570,Dota 2,Free To Play,CA,2024-08-05 12:04
20,236390,War Thunder,Free To Play,CA,2024-08-05 12:04
21,271590,Grand Theft Auto V,NT$ 662.00,CA,2024-08-05 12:04
22,1172470,Apex Legends™,Free To Play,CA,2024-08-05 12:04
23,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,CA,2024-08-05 12:04
24,1222670,The Sims™ 4,Free To Play,CA,2024-08-05 12:04
25,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",CA,2024-08-05 12:04
26,1085660,Destiny 2,Free To Play,CA,2024-08-05 12:04
27,2141910,Magic: The Gathering Arena(not available in your region),Free To Play,CA,2024-08-05 12:04
28,1144200,Ready or Not,NT$ 846.00,CA,2024-08-05 12:04
29,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",CA,2024-08-05 12:04
30,1422440,Cataclismo,NT$ 559.00,CA,2024-08-05 12:04
31,252490,Rust,NT$ 694.00,CA,2024-08-05 12:04
32,1282100,REMNANT II®,NT$ 550.00,CA,2024-08-05 12:04
33,1432860,Sun Haven,NT$ 189.00,CA,2024-08-05 12:04
34,578080,PUBG: BATTLEGROUNDS,Free To Play,CA,2024-08-05 12:04
35,440,Team Fortress 2,Free To Play,CA,2024-08-05 12:04
36,2519060,Call of Duty®: Modern Warfare® III,"NT$ 1,220.00",CA,2024-08-05 12:04
37,582660,Black Desert,NT$ 200.00,CA,2024-08-05 12:04
38,2016590,Dark and Darker,Free To Play,CA,2024-08-05 12:04
39,1938090,Call of Duty®,Free To Play,CA,2024-08-05 12:04
40,2526380,Sword of Convallaria,Free To Play,CA,2024-08-05 12:04
41,2358720,Black Myth: Wukong,"NT$ 1,280.00",CA,2024-08-05 12:04
42,1363080,Manor Lords,NT$ 749.00,CA,2024-08-05 12:04
43,1091500,Cyberpunk 2077,"NT$ 1,599.00",CA,2024-08-05 12:04
44,548430,Deep Rock Galactic,NT$ 144.00,CA,2024-08-05 12:04
45,1172620,Sea of Thieves: 2024 Edition,"NT$ 1,088.00",CA,2024-08-05 12:04
46,21478,FINAL FANTASY I-VI Bundle,"NT$ 1,680.00",CA,2024-08-05 12:04
47,1637320,Dome Keeper,NT$ 119.00,CA,2024-08-05 12:04
48,1962663,Call of Duty®: Warzone™,Free To Play,CA,2024-08-05 12:04
49,413150,Stardew Valley,NT$ 398.00,CA,2024-08-05 12:04
50,494840,UBOAT,NT$ 146.00,CA,2024-08-05 12:04
51,960090,Bloons TD 6,NT$ 124.00,CA,2024-08-05 12:04
52,251570,7 Days to Die,NT$ 670.00,CA,2024-08-05 12:04
53,1659040,HITMAN World of Assassination,NT$ 48.00,CA,2024-08-05 12:04
