Rank,GameID,GameName,Cost,Country,Datetime
2,730,Counter-Strike 2,Free To Play,CA,2024-08-09 12:05
3,553850,HELLDIVERS™ 2,"NT$ 1,190.00",CA,2024-08-09 12:05
4,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",CA,2024-08-09 12:05
5,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",CA,2024-08-09 12:05
6,306130,The Elder Scrolls® Online,NT$ 179.00,CA,2024-08-09 12:05
7,2074920,The First Descendant,Free To Play,CA,2024-08-09 12:05
9,1593500,God of War,NT$ 476.00,CA,2024-08-09 12:05
10,1245620,ELDEN RING,"NT$ 1,790.00",CA,2024-08-09 12:05
11,2638370,Five Nights at Freddy's: Into the Pit,NT$ 328.00,CA,2024-08-09 12:05
12,2358720,Black Myth: Wukong,"NT$ 1,280.00",CA,2024-08-09 12:05
13,397540,Borderlands 3,NT$ 178.00,CA,2024-08-09 12:05
14,2400510,Dungeons & Degenerate Gamblers,NT$ 241.00,CA,2024-08-09 12:05
15,1449850,Yu-Gi-Oh! Master Duel,Free To Play,CA,2024-08-09 12:05
16,2751000,Prince of Persia The Lost Crown,NT$ 677.00,CA,2024-08-09 12:05
17,238960,Path of Exile(not available in your region),NT$ 677.00,CA,2024-08-09 12:05
18,236390,War Thunder,Free To Play,CA,2024-08-09 12:05
19,2142790,Fields of Mistria,NT$ 248.00,CA,2024-08-09 12:05
20,1222670,The Sims™ 4,Free To Play,CA,2024-08-09 12:05
21,2396240,SteamWorld Heist II,NT$ 439.00,CA,2024-08-09 12:05
22,230410,Warframe,Free To Play,CA,2024-08-09 12:05
23,1086940,Baldur's Gate 3,"NT$ 1,599.00",CA,2024-08-09 12:05
24,1151340,Fallout 76,NT$ 299.00,CA,2024-08-09 12:05
25,311210,Call of Duty®: Black Ops III,NT$ 659.00,CA,2024-08-09 12:05
26,1085660,Destiny 2,Free To Play,CA,2024-08-09 12:05
27,381210,Dead by Daylight,NT$ 379.00,CA,2024-08-09 12:05
28,377160,Fallout 4,NT$ 239.00,CA,2024-08-09 12:05
29,782330,DOOM Eternal,NT$ 299.00,CA,2024-08-09 12:05
30,570,Dota 2,Free To Play,CA,2024-08-09 12:05
31,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",CA,2024-08-09 12:05
32,489830,The Elder Scrolls V: Skyrim Special Edition,NT$ 299.00,CA,2024-08-09 12:05
33,2139460,Once Human,Free To Play,CA,2024-08-09 12:05
34,1172470,Apex Legends™,Free To Play,CA,2024-08-09 12:05
35,39210,FINAL FANTASY XIV Online(not available in your region),Free To Play,CA,2024-08-09 12:05
36,252490,Rust,NT$ 694.00,CA,2024-08-09 12:05
38,578080,PUBG: BATTLEGROUNDS,Free To Play,CA,2024-08-09 12:05
40,1237970,Titanfall® 2,NT$ 79.00,CA,2024-08-09 12:05
41,1599340,Lost Ark(not available in your region),NT$ 79.00,CA,2024-08-09 12:05
43,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,CA,2024-08-09 12:05
44,271590,Grand Theft Auto V,NT$ 662.00,CA,2024-08-09 12:05
45,1716740,Starfield,"NT$ 1,333.00",CA,2024-08-09 12:05
47,2396980,Fate/stay night REMASTERED,NT$ 439.00,CA,2024-08-09 12:05
48,2567870,Chained Together,NT$ 102.00,CA,2024-08-09 12:05
49,440,Team Fortress 2,Free To Play,CA,2024-08-09 12:05
50,427410,Abiotic Factor,NT$ 326.00,CA,2024-08-09 12:05
51,2305840,Cat Quest III,NT$ 340.00,CA,2024-08-09 12:05
52,49520,Borderlands 2,NT$ 149.00,CA,2024-08-09 12:05
54,1203220,NARAKA: BLADEPOINT,Free To Play,CA,2024-08-09 12:05
55,216150,MapleStory(not available in your region),Free To Play,CA,2024-08-09 12:05
56,2344520,Diablo® IV,"NT$ 1,575.00",CA,2024-08-09 12:05
57,2141910,Magic: The Gathering Arena(not available in your region),"NT$ 1,575.00",CA,2024-08-09 12:05
58,1286680,Tiny Tina's Wonderlands,NT$ 433.00,CA,2024-08-09 12:05
60,546560,Half-Life: Alyx,NT$ 305.00,CA,2024-08-09 12:05
61,739630,Phasmophobia,NT$ 198.00,CA,2024-08-09 12:05
62,202970,Call of Duty®: Black Ops II,NT$ 623.00,CA,2024-08-09 12:05
63,582660,Black Desert,NT$ 200.00,CA,2024-08-09 12:05
64,1091500,Cyberpunk 2077,"NT$ 1,599.00",CA,2024-08-09 12:05
65,2670630,Supermarket Simulator,NT$ 238.00,CA,2024-08-09 12:05
66,1144200,Ready or Not,NT$ 846.00,CA,2024-08-09 12:05
