Rank,GameID,GameName,Cost,Country,Datetime
1,2358720,Black Myth: Wukong,"NT$ 1,280.00",CN,2024-08-21 12:05
2,1329410,雀魂麻將(MahjongSoul),Free To Play,CN,2024-08-21 12:05
3,2672610,Black Myth: Wukong Deluxe Edition Upgrade,NT$ 300.00,CN,2024-08-21 12:05
5,730,Counter-Strike 2,Free To Play,CN,2024-08-21 12:05
6,578080,PUBG: BATTLEGROUNDS,Free To Play,CN,2024-08-21 12:05
7,1203220,NARAKA: BLADEPOINT,Free To Play,CN,2024-08-21 12:05
8,271590,Grand Theft Auto V,NT$ 480.00,CN,2024-08-21 12:05
9,431960,Wallpaper Engine,NT$ 120.00,CN,2024-08-21 12:05
10,1172470,Apex Legends™,Free To Play,CN,2024-08-21 12:05
11,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",CN,2024-08-21 12:05
12,289070,Sid Meier’s Civilization® VI,NT$ 179.00,CN,2024-08-21 12:05
13,2357570,Overwatch® 2,Free To Play,CN,2024-08-21 12:05
14,582010,Monster Hunter: World,NT$ 303.00,CN,2024-08-21 12:05
15,1295660,Sid Meier's Civilization® VII,"NT$ 2,090.00",CN,2024-08-21 12:05
16,1245620,ELDEN RING,"NT$ 1,790.00",CN,2024-08-21 12:05
17,2139460,Once Human,Free To Play,CN,2024-08-21 12:05
18,588650,Dead Cells,NT$ 349.00,CN,2024-08-21 12:05
19,2593370,The Hungry Lamb: Traveling in the Late Ming Dynasty,NT$ 188.00,CN,2024-08-21 12:05
20,1446780,MONSTER HUNTER RISE,NT$ 280.00,CN,2024-08-21 12:05
22,2515020,FINAL FANTASY XVI,"NT$ 1,490.00",CN,2024-08-21 12:05
23,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",CN,2024-08-21 12:05
24,239140,Dying Light,NT$ 60.00,CN,2024-08-21 12:05
25,534380,Dying Light 2 Stay Human: Reloaded Edition,NT$ 716.00,CN,2024-08-21 12:05
26,1771300,Kingdom Come: Deliverance II,"NT$ 1,755.00",CN,2024-08-21 12:05
28,1030840,Mafia: Definitive Edition,NT$ 238.00,CN,2024-08-21 12:05
29,1791590,Sunset Hills,NT$ 268.00,CN,2024-08-21 12:05
30,397540,Borderlands 3,NT$ 178.00,CN,2024-08-21 12:05
31,1326470,Sons Of The Forest,NT$ 488.00,CN,2024-08-21 12:05
32,1118010,Monster Hunter World: Iceborne,NT$ 455.00,CN,2024-08-21 12:05
