Top_Selling,App_Id,Name,Cost,Country,Datetime
1,730,Counter-Strike 2,Free To Play,DK,2024-08-05 12:04
2,1675200,Steam Deck,Free To Play,DK,2024-08-05 12:04
3,238960,Path of Exile(not available in your region),Free To Play,DK,2024-08-05 12:04
4,2074920,The First Descendant,Free To Play,DK,2024-08-05 12:04
5,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",DK,2024-08-05 12:04
6,983380,Car Manufacture,NT$ 295.00,DK,2024-08-05 12:04
7,2567870,Chained Together,NT$ 102.00,DK,2024-08-05 12:04
8,236390,War Thunder,Free To Play,DK,2024-08-05 12:04
9,1245620,ELDEN RING,"NT$ 1,790.00",DK,2024-08-05 12:04
10,1086940,Baldur's Gate 3,"NT$ 1,599.00",DK,2024-08-05 12:04
11,2139460,Once Human,Free To Play,DK,2024-08-05 12:04
12,271590,Grand Theft Auto V,NT$ 662.00,DK,2024-08-05 12:04
13,2300320,Farming Simulator 25,"NT$ 1,199.00",DK,2024-08-05 12:04
14,230410,Warframe,Free To Play,DK,2024-08-05 12:04
15,553850,HELLDIVERS™ 2,"NT$ 1,190.00",DK,2024-08-05 12:04
16,252490,Rust,NT$ 694.00,DK,2024-08-05 12:04
17,1203620,Enshrouded,NT$ 399.00,DK,2024-08-05 12:04
18,1172470,Apex Legends™,Free To Play,DK,2024-08-05 12:04
19,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",DK,2024-08-05 12:04
20,578080,PUBG: BATTLEGROUNDS,Free To Play,DK,2024-08-05 12:04
21,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",DK,2024-08-05 12:04
22,5700,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,NT$ 662.00,DK,2024-08-05 12:04
23,381210,Dead by Daylight,NT$ 151.00,DK,2024-08-05 12:04
24,39210,FINAL FANTASY XIV Online(not available in your region),NT$ 151.00,DK,2024-08-05 12:04
25,1599340,Lost Ark(not available in your region),NT$ 151.00,DK,2024-08-05 12:04
26,6588,Monkey Island Collection,NT$ 953.00,DK,2024-08-05 12:04
27,2519060,Call of Duty®: Modern Warfare® III,"NT$ 1,220.00",DK,2024-08-05 12:04
28,227300,Euro Truck Simulator 2,NT$ 428.00,DK,2024-08-05 12:04
29,570,Dota 2,Free To Play,DK,2024-08-05 12:04
30,1214470,Hotel Renovator,NT$ 345.00,DK,2024-08-05 12:04
31,42237,Thieves'n'Dealers,NT$ 396.00,DK,2024-08-05 12:04
32,1172620,Sea of Thieves: 2024 Edition,"NT$ 1,088.00",DK,2024-08-05 12:04
33,1286830,STAR WARS™: The Old Republic™,Free To Play,DK,2024-08-05 12:04
34,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",DK,2024-08-05 12:04
35,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,DK,2024-08-05 12:04
36,494840,UBOAT,NT$ 146.00,DK,2024-08-05 12:04
37,1144200,Ready or Not,NT$ 846.00,DK,2024-08-05 12:04
38,1091500,Cyberpunk 2077,"NT$ 1,599.00",DK,2024-08-05 12:04
39,23122,Serene City-Builder Bundle,NT$ 946.00,DK,2024-08-05 12:04
40,1363080,Manor Lords,NT$ 749.00,DK,2024-08-05 12:04
41,440,Team Fortress 2,Free To Play,DK,2024-08-05 12:04
42,1962663,Call of Duty®: Warzone™,Free To Play,DK,2024-08-05 12:04
43,1422440,Cataclismo,NT$ 559.00,DK,2024-08-05 12:04
44,1551360,Forza Horizon 5,"NT$ 1,688.00",DK,2024-08-05 12:04
45,7889,Banner Saga Trilogy - Stoic Edition,"NT$ 1,800.00",DK,2024-08-05 12:04
46,2670630,Supermarket Simulator,NT$ 238.00,DK,2024-08-05 12:04
47,2591280,F1® Manager 2024,NT$ 820.00,DK,2024-08-05 12:04
48,2488620,F1® 24,"NT$ 1,999.00",DK,2024-08-05 12:04
49,1222670,The Sims™ 4,Free To Play,DK,2024-08-05 12:04
50,24695,Build & Benchmark Bundle,NT$ 715.00,DK,2024-08-05 12:04
51,1174180,Red Dead Redemption 2,"NT$ 1,790.00",DK,2024-08-05 12:04
52,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",DK,2024-08-05 12:04
53,960090,Bloons TD 6,NT$ 124.00,DK,2024-08-05 12:04
54,1142710,Total War: WARHAMMER III,"NT$ 1,790.00",DK,2024-08-05 12:04
55,2358720,Black Myth: Wukong,"NT$ 1,280.00",DK,2024-08-05 12:04
56,648800,Raft,NT$ 468.00,DK,2024-08-05 12:04
57,1938090,Call of Duty®,NT$ 468.00,DK,2024-08-05 12:04
58,1659040,HITMAN World of Assassination,NT$ 48.00,DK,2024-08-05 12:04
59,2141910,Magic: The Gathering Arena(not available in your region),NT$ 48.00,DK,2024-08-05 12:04
60,1190000,Car Mechanic Simulator 2021,NT$ 163.00,DK,2024-08-05 12:04
61,1708850,Drug Dealer Simulator 2,NT$ 396.00,DK,2024-08-05 12:04
62,739630,Phasmophobia,NT$ 248.00,DK,2024-08-05 12:04
63,281990,Stellaris,"NT$ 1,018.00",DK,2024-08-05 12:04
64,582660,Black Desert,NT$ 200.00,DK,2024-08-05 12:04
65,1119730,"Ranch Simulator: Build, Hunt, Farm",NT$ 113.00,DK,2024-08-05 12:04
66,35623,Legion TD 2 - Complete Edition,NT$ 323.00,DK,2024-08-05 12:04
67,284160,BeamNG.drive,NT$ 408.00,DK,2024-08-05 12:04
68,1634050,Valve Index® Replacement Tether(not available in your region),NT$ 408.00,DK,2024-08-05 12:04
69,2138330,Cyberpunk 2077: Phantom Liberty,NT$ 799.00,DK,2024-08-05 12:04
70,1623730,Palworld,NT$ 488.00,DK,2024-08-05 12:04
71,2357570,Overwatch® 2,Free To Play,DK,2024-08-05 12:04
72,35840,Balkans Bundle,"NT$ 1,154.00",DK,2024-08-05 12:04
73,27244,ANIMAL SHELTER FAMILY,NT$ 316.00,DK,2024-08-05 12:04
74,306130,The Elder Scrolls® Online,NT$ 599.00,DK,2024-08-05 12:04
75,2016590,Dark and Darker,Free To Play,DK,2024-08-05 12:04
76,1326470,Sons Of The Forest,NT$ 488.00,DK,2024-08-05 12:04
77,23491,Horizon Chase Turbo - Ayrton Senna Edition,NT$ 392.00,DK,2024-08-05 12:04
78,377160,Fallout 4,NT$ 599.00,DK,2024-08-05 12:04
79,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",DK,2024-08-05 12:04
80,413150,Stardew Valley,NT$ 398.00,DK,2024-08-05 12:04
81,1159,Galactic Civilizations IV - Expansion Pass,NT$ 795.00,DK,2024-08-05 12:04
