Rank,GameID,GameName,Cost,Country,Datetime
1,730,Counter-Strike 2,Free To Play,DK,2024-08-11 12:05
2,238960,Path of Exile(not available in your region),Free To Play,DK,2024-08-11 12:05
3,33369,Borderlands Collection: Pandora's Box,"NT$ 1,119.00",DK,2024-08-11 12:05
4,1675200,Steam Deck,"NT$ 1,119.00",DK,2024-08-11 12:05
5,1593500,God of War,NT$ 476.00,DK,2024-08-11 12:05
6,578080,PUBG: BATTLEGROUNDS,Free To Play,DK,2024-08-11 12:05
7,553850,HELLDIVERS™ 2,"NT$ 1,190.00",DK,2024-08-11 12:05
8,2074920,The First Descendant,Free To Play,DK,2024-08-11 12:05
9,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",DK,2024-08-11 12:05
10,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",DK,2024-08-11 12:05
11,2567870,Chained Together,NT$ 102.00,DK,2024-08-11 12:05
12,1245620,ELDEN RING,"NT$ 1,790.00",DK,2024-08-11 12:05
13,983380,Car Manufacture,NT$ 295.00,DK,2024-08-11 12:05
14,236390,War Thunder,Free To Play,DK,2024-08-11 12:05
15,397540,Borderlands 3,NT$ 178.00,DK,2024-08-11 12:05
16,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",DK,2024-08-11 12:05
17,252490,Rust,NT$ 694.00,DK,2024-08-11 12:05
18,2139460,Once Human,Free To Play,DK,2024-08-11 12:05
19,230410,Warframe,Free To Play,DK,2024-08-11 12:05
20,1222670,The Sims™ 4,Free To Play,DK,2024-08-11 12:05
21,1476970,IdleOn - The Idle RPG,Free To Play,DK,2024-08-11 12:05
22,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,DK,2024-08-11 12:05
23,271590,Grand Theft Auto V,NT$ 662.00,DK,2024-08-11 12:05
24,38150,Tiny Tina's Wonderlands Chaotic Great Edition,NT$ 470.00,DK,2024-08-11 12:05
25,306130,The Elder Scrolls® Online,NT$ 179.00,DK,2024-08-11 12:05
26,1086940,Baldur's Gate 3,"NT$ 1,599.00",DK,2024-08-11 12:05
27,1172470,Apex Legends™,Free To Play,DK,2024-08-11 12:05
28,227300,Euro Truck Simulator 2,NT$ 428.00,DK,2024-08-11 12:05
