Rank,GameID,GameName,Cost,Country,Datetime
1,578080,PUBG: BATTLEGROUNDS,Free To Play,ES,2024-08-06 12:03
2,730,Counter-Strike 2,Free To Play,ES,2024-08-06 12:03
4,2349820,Hero's Land,Free To Play,ES,2024-08-06 12:03
5,1203220,NARAKA: BLADEPOINT,Free To Play,ES,2024-08-06 12:03
6,2074920,The First Descendant,Free To Play,ES,2024-08-06 12:03
7,2142790,Fields of Mistria,NT$ 248.00,ES,2024-08-06 12:03
9,1245620,ELDEN RING,"NT$ 1,790.00",ES,2024-08-06 12:03
10,1599340,Lost Ark(not available in your region),"NT$ 1,790.00",ES,2024-08-06 12:03
11,1086940,Baldur's Gate 3,"NT$ 1,599.00",ES,2024-08-06 12:03
12,381210,Dead by Daylight,NT$ 151.00,ES,2024-08-06 12:03
13,570,Dota 2,Free To Play,ES,2024-08-06 12:03
15,271590,Grand Theft Auto V,NT$ 662.00,ES,2024-08-06 12:03
16,546560,Half-Life: Alyx,NT$ 305.00,ES,2024-08-06 12:03
17,2139460,Once Human,Free To Play,ES,2024-08-06 12:03
18,311210,Call of Duty®: Black Ops III,NT$ 659.00,ES,2024-08-06 12:03
19,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",ES,2024-08-06 12:03
20,1665460,eFootball™ 2024,Free To Play,ES,2024-08-06 12:03
21,1222670,The Sims™ 4,Free To Play,ES,2024-08-06 12:03
22,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",ES,2024-08-06 12:03
23,1790600,DRAGON BALL: Sparking! ZERO,"NT$ 1,890.00",ES,2024-08-06 12:03
24,230410,Warframe,Free To Play,ES,2024-08-06 12:03
25,440,Team Fortress 2,Free To Play,ES,2024-08-06 12:03
26,238960,Path of Exile(not available in your region),Free To Play,ES,2024-08-06 12:03
27,553850,HELLDIVERS™ 2,"NT$ 1,190.00",ES,2024-08-06 12:03
28,2358720,Black Myth: Wukong,"NT$ 1,280.00",ES,2024-08-06 12:03
29,2203070,Dragonheir: Silent Gods,Free To Play,ES,2024-08-06 12:03
30,2526380,Sword of Convallaria,Free To Play,ES,2024-08-06 12:03
31,252490,Rust,NT$ 694.00,ES,2024-08-06 12:03
32,1203620,Enshrouded,NT$ 499.00,ES,2024-08-06 12:03
34,227300,Euro Truck Simulator 2,NT$ 428.00,ES,2024-08-06 12:03
35,2808930,Lust Goddess(hidden by your preferences),Free To Play,ES,2024-08-06 12:03
36,2448970,Dungeonborne(not available in your region),Free To Play,ES,2024-08-06 12:03
37,236390,War Thunder,Free To Play,ES,2024-08-06 12:03
38,2395210,Tony Hawk's™ Pro Skater™ 1 + 2,NT$ 499.00,ES,2024-08-06 12:03
