Rank,GameID,GameName,Cost,Country,Datetime
1,730,Counter-Strike 2,Free To Play,FI,2024-08-15 11:10
2,393080,Call of Duty®: Modern Warfare® Remastered (2017),"NT$ 1,310.00",FI,2024-08-15 11:10
3,1675200,Steam Deck,"NT$ 1,310.00",FI,2024-08-15 11:10
4,1040200,Crime Scene Cleaner,NT$ 288.00,FI,2024-08-15 11:10
5,1091500,Cyberpunk 2077,NT$ 799.00,FI,2024-08-15 11:10
6,236390,War Thunder,Free To Play,FI,2024-08-15 11:10
7,39210,FINAL FANTASY XIV Online(not available in your region),Free To Play,FI,2024-08-15 11:10
9,440,Team Fortress 2,Free To Play,FI,2024-08-15 11:10
10,1599340,Lost Ark(not available in your region),Free To Play,FI,2024-08-15 11:10
11,1313140,Cult of the Lamb,NT$ 244.00,FI,2024-08-15 11:10
12,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",FI,2024-08-15 11:10
13,570,Dota 2,Free To Play,FI,2024-08-15 11:10
14,578080,PUBG: BATTLEGROUNDS,Free To Play,FI,2024-08-15 11:10
15,1245620,ELDEN RING,"NT$ 1,790.00",FI,2024-08-15 11:10
16,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",FI,2024-08-15 11:10
17,238960,Path of Exile(not available in your region),"NT$ 2,219.00",FI,2024-08-15 11:10
18,230410,Warframe,Free To Play,FI,2024-08-15 11:10
19,1172620,Sea of Thieves: 2024 Edition,NT$ 652.00,FI,2024-08-15 11:10
20,427410,Abiotic Factor,NT$ 326.00,FI,2024-08-15 11:10
21,2074920,The First Descendant,Free To Play,FI,2024-08-15 11:10
22,582660,Black Desert,NT$ 200.00,FI,2024-08-15 11:10
23,306130,The Elder Scrolls® Online,NT$ 179.00,FI,2024-08-15 11:10
25,2161700,Persona 3 Reload,"NT$ 1,134.00",FI,2024-08-15 11:10
26,2358720,Black Myth: Wukong,"NT$ 1,280.00",FI,2024-08-15 11:10
27,1086940,Baldur's Gate 3,"NT$ 1,599.00",FI,2024-08-15 11:10
28,1172470,Apex Legends™,Free To Play,FI,2024-08-15 11:10
29,1222670,The Sims™ 4,Free To Play,FI,2024-08-15 11:10
30,271590,Grand Theft Auto V,NT$ 662.00,FI,2024-08-15 11:10
31,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",FI,2024-08-15 11:10
32,2138330,Cyberpunk 2077: Phantom Liberty,NT$ 679.00,FI,2024-08-15 11:10
33,397540,Borderlands 3,NT$ 178.00,FI,2024-08-15 11:10
34,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",FI,2024-08-15 11:10
36,381210,Dead by Daylight,NT$ 379.00,FI,2024-08-15 11:10
38,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,FI,2024-08-15 11:10
39,1687950,Persona 5 Royal,NT$ 716.00,FI,2024-08-15 11:10
40,985810,GrandChase,Free To Play,FI,2024-08-15 11:10
41,2139460,Once Human,Free To Play,FI,2024-08-15 11:10
