Top_Selling,App_Id,Name,Cost,Country,Datetime
1,2074920,The First Descendant,Free To Play,FR,2024-08-05 12:04
2,1675200,Steam Deck,Free To Play,FR,2024-08-05 12:04
3,1086940,Baldur's Gate 3,"NT$ 1,599.00",FR,2024-08-05 12:04
4,238960,Path of Exile(not available in your region),"NT$ 1,599.00",FR,2024-08-05 12:04
5,1245620,ELDEN RING,"NT$ 1,790.00",FR,2024-08-05 12:04
6,2139460,Once Human,Free To Play,FR,2024-08-05 12:04
7,730,Counter-Strike 2,Free To Play,FR,2024-08-05 12:04
8,230410,Warframe,Free To Play,FR,2024-08-05 12:04
9,1203620,Enshrouded,NT$ 399.00,FR,2024-08-05 12:04
10,39210,FINAL FANTASY XIV Online(not available in your region),NT$ 399.00,FR,2024-08-05 12:04
11,381210,Dead by Daylight,NT$ 151.00,FR,2024-08-05 12:04
12,236390,War Thunder,Free To Play,FR,2024-08-05 12:04
13,2426960,Summoners War,Free To Play,FR,2024-08-05 12:04
14,2224640,Artisan TD,NT$ 269.00,FR,2024-08-05 12:04
15,2567870,Chained Together,NT$ 102.00,FR,2024-08-05 12:04
16,1172620,Sea of Thieves: 2024 Edition,"NT$ 1,088.00",FR,2024-08-05 12:04
17,1331550,Big Ambitions,NT$ 375.00,FR,2024-08-05 12:04
18,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",FR,2024-08-05 12:04
19,1771980,The Operator,NT$ 223.00,FR,2024-08-05 12:04
20,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",FR,2024-08-05 12:04
21,1599340,Lost Ark(not available in your region),"NT$ 2,219.00",FR,2024-08-05 12:04
22,271590,Grand Theft Auto V,NT$ 662.00,FR,2024-08-05 12:04
23,24081,Jurassic World Evolution 2: Premium Edition,"NT$ 3,648.00",FR,2024-08-05 12:04
24,2519060,Call of Duty®: Modern Warfare® III,"NT$ 1,220.00",FR,2024-08-05 12:04
25,1938090,Call of Duty®,"NT$ 1,220.00",FR,2024-08-05 12:04
26,1172470,Apex Legends™,Free To Play,FR,2024-08-05 12:04
27,227300,Euro Truck Simulator 2,NT$ 428.00,FR,2024-08-05 12:04
28,1222670,The Sims™ 4,Free To Play,FR,2024-08-05 12:04
29,2526380,Sword of Convallaria,Free To Play,FR,2024-08-05 12:04
30,983380,Car Manufacture,NT$ 295.00,FR,2024-08-05 12:04
31,553850,HELLDIVERS™ 2,"NT$ 1,190.00",FR,2024-08-05 12:04
32,1363080,Manor Lords,NT$ 749.00,FR,2024-08-05 12:04
33,1091500,Cyberpunk 2077,"NT$ 1,599.00",FR,2024-08-05 12:04
34,252490,Rust,NT$ 694.00,FR,2024-08-05 12:04
35,1085660,Destiny 2,Free To Play,FR,2024-08-05 12:04
36,578080,PUBG: BATTLEGROUNDS,Free To Play,FR,2024-08-05 12:04
37,1623730,Palworld,NT$ 488.00,FR,2024-08-05 12:04
38,306130,The Elder Scrolls® Online,NT$ 599.00,FR,2024-08-05 12:04
39,1326470,Sons Of The Forest,NT$ 488.00,FR,2024-08-05 12:04
40,1332010,Stray,NT$ 323.00,FR,2024-08-05 12:04
41,1449850,Yu-Gi-Oh! Master Duel,Free To Play,FR,2024-08-05 12:04
42,1962663,Call of Duty®: Warzone™,Free To Play,FR,2024-08-05 12:04
43,494840,UBOAT,NT$ 146.00,FR,2024-08-05 12:04
44,2399830,ARK: Survival Ascended,"NT$ 1,382.00",FR,2024-08-05 12:04
45,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",FR,2024-08-05 12:04
46,1422440,Cataclismo,NT$ 559.00,FR,2024-08-05 12:04
47,2406770,Bodycam,NT$ 566.00,FR,2024-08-05 12:04
48,5700,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,NT$ 662.00,FR,2024-08-05 12:04
49,2344520,Diablo® IV,"NT$ 1,575.00",FR,2024-08-05 12:04
50,2591280,F1® Manager 2024,NT$ 820.00,FR,2024-08-05 12:04
51,1145350,Hades II,NT$ 488.00,FR,2024-08-05 12:04
52,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",FR,2024-08-05 12:04
53,2141910,Magic: The Gathering Arena(not available in your region),"NT$ 2,099.00",FR,2024-08-05 12:04
54,2790720,Call of Duty®: Modern Warfare® III - BlackCell (Season 5),"NT$ 1,008.00",FR,2024-08-05 12:04
55,2808930,Lust Goddess(hidden by your preferences),Free To Play,FR,2024-08-05 12:04
56,1934680,Age of Mythology: Retold,"NT$ 1,018.00",FR,2024-08-05 12:04
57,29794,Car Mechanic Simulator 2021 - Platinum Edition,NT$ 662.00,FR,2024-08-05 12:04
58,1286830,STAR WARS™: The Old Republic™,Free To Play,FR,2024-08-05 12:04
59,1144200,Ready or Not,NT$ 846.00,FR,2024-08-05 12:04
60,2358720,Black Myth: Wukong,"NT$ 1,280.00",FR,2024-08-05 12:04
61,2488620,F1® 24,"NT$ 1,999.00",FR,2024-08-05 12:04
62,648800,Raft,NT$ 468.00,FR,2024-08-05 12:04
63,2321470,Deep Rock Galactic: Survivor,NT$ 141.00,FR,2024-08-05 12:04
64,38285,ARK Upgrade Bundle,"NT$ 1,382.00",FR,2024-08-05 12:04
65,1966720,Lethal Company,NT$ 188.00,FR,2024-08-05 12:04
66,548430,Deep Rock Galactic,NT$ 144.00,FR,2024-08-05 12:04
67,582660,Black Desert,NT$ 200.00,FR,2024-08-05 12:04
68,1515210,The Past Within,NT$ 118.00,FR,2024-08-05 12:04
69,251570,7 Days to Die,NT$ 670.00,FR,2024-08-05 12:04
70,2450700,Drug Lord Tycoon,NT$ 192.00,FR,2024-08-05 12:04
71,2167580,Summoners War: Chronicles,Free To Play,FR,2024-08-05 12:04
72,413150,Stardew Valley,NT$ 398.00,FR,2024-08-05 12:04
73,570,Dota 2,Free To Play,FR,2024-08-05 12:04
74,1142710,Total War: WARHAMMER III,"NT$ 1,790.00",FR,2024-08-05 12:04
75,32470,Cyberpunk 2077: Ultimate Edition,"NT$ 2,206.00",FR,2024-08-05 12:04
76,2849080,Kingdom Rush 5: Alliance TD,NT$ 295.00,FR,2024-08-05 12:04
77,1190000,Car Mechanic Simulator 2021,NT$ 163.00,FR,2024-08-05 12:04
78,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",FR,2024-08-05 12:04
79,1158310,Crusader Kings III,"NT$ 1,268.00",FR,2024-08-05 12:04
