Rank,GameID,GameName,Cost,Country,Datetime
1,2358720,Black Myth: Wukong,"NT$ 1,280.00",FR,2024-08-21 12:05
2,1675200,Steam Deck,"NT$ 1,280.00",FR,2024-08-21 12:05
3,2139460,Once Human,Free To Play,FR,2024-08-21 12:05
4,730,Counter-Strike 2,Free To Play,FR,2024-08-21 12:05
5,1295660,Sid Meier's Civilization® VII,"NT$ 2,090.00",FR,2024-08-21 12:05
6,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",FR,2024-08-21 12:05
7,1172470,Apex Legends™,Free To Play,FR,2024-08-21 12:05
8,1086940,Baldur's Gate 3,"NT$ 1,599.00",FR,2024-08-21 12:05
9,2515020,FINAL FANTASY XVI,"NT$ 1,490.00",FR,2024-08-21 12:05
10,2162800,shapez 2,NT$ 326.00,FR,2024-08-21 12:05
11,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",FR,2024-08-21 12:05
12,2074920,The First Descendant,Free To Play,FR,2024-08-21 12:05
14,2357570,Overwatch® 2,Free To Play,FR,2024-08-21 12:05
15,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",FR,2024-08-21 12:05
16,1030840,Mafia: Definitive Edition,NT$ 238.00,FR,2024-08-21 12:05
17,594650,Hunt: Showdown 1896,NT$ 639.00,FR,2024-08-21 12:05
18,236390,War Thunder,Free To Play,FR,2024-08-21 12:05
19,1245620,ELDEN RING,"NT$ 1,790.00",FR,2024-08-21 12:05
20,1575940,Sins of a Solar Empire II,NT$ 596.00,FR,2024-08-21 12:05
21,1040200,Crime Scene Cleaner,NT$ 288.00,FR,2024-08-21 12:05
22,39210,FINAL FANTASY XIV Online(not available in your region),NT$ 288.00,FR,2024-08-21 12:05
23,230410,Warframe,Free To Play,FR,2024-08-21 12:05
24,1934680,Age of Mythology: Retold,"NT$ 1,018.00",FR,2024-08-21 12:05
26,1599340,Lost Ark(not available in your region),"NT$ 1,018.00",FR,2024-08-21 12:05
27,397540,Borderlands 3,NT$ 178.00,FR,2024-08-21 12:05
28,238960,Path of Exile(not available in your region),NT$ 178.00,FR,2024-08-21 12:05
29,271590,Grand Theft Auto V,NT$ 480.00,FR,2024-08-21 12:05
30,381210,Dead by Daylight,NT$ 379.00,FR,2024-08-21 12:05
31,1401590,Disney Dreamlight Valley,"NT$ 1,019.00",FR,2024-08-21 12:05
32,2780980,LOCKDOWN Protocol,NT$ 188.00,FR,2024-08-21 12:05
33,1446780,MONSTER HUNTER RISE,NT$ 280.00,FR,2024-08-21 12:05
34,289070,Sid Meier’s Civilization® VI,NT$ 179.00,FR,2024-08-21 12:05
35,489830,The Elder Scrolls V: Skyrim Special Edition,NT$ 299.00,FR,2024-08-21 12:05
36,1172620,Sea of Thieves: 2024 Edition,"NT$ 1,088.00",FR,2024-08-21 12:05
37,1091500,Cyberpunk 2077,"NT$ 1,599.00",FR,2024-08-21 12:05
38,534380,Dying Light 2 Stay Human: Reloaded Edition,NT$ 716.00,FR,2024-08-21 12:05
39,227300,Euro Truck Simulator 2,NT$ 428.00,FR,2024-08-21 12:05
40,306130,The Elder Scrolls® Online,NT$ 179.00,FR,2024-08-21 12:05
41,252490,Rust,NT$ 694.00,FR,2024-08-21 12:05
42,2567870,Chained Together,NT$ 102.00,FR,2024-08-21 12:05
43,648800,Raft,NT$ 468.00,FR,2024-08-21 12:05
44,2426960,Summoners War,Free To Play,FR,2024-08-21 12:05
46,1716740,Starfield,"NT$ 1,333.00",FR,2024-08-21 12:05
47,1284210,Guild Wars 2,Free To Play,FR,2024-08-21 12:05
48,1966720,Lethal Company,NT$ 188.00,FR,2024-08-21 12:05
49,2674290,kings call,Free To Play,FR,2024-08-21 12:05
50,1286830,STAR WARS™: The Old Republic™,Free To Play,FR,2024-08-21 12:05
51,582010,Monster Hunter: World,NT$ 303.00,FR,2024-08-21 12:05
52,1562430,DREDGE,NT$ 486.00,FR,2024-08-21 12:05
53,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",FR,2024-08-21 12:05
54,2252570,Football Manager 2024,NT$ 519.00,FR,2024-08-21 12:05
55,1623730,Palworld,NT$ 488.00,FR,2024-08-21 12:05
56,553850,HELLDIVERS™ 2,"NT$ 1,190.00",FR,2024-08-21 12:05
57,1962663,Call of Duty®: Warzone™,Free To Play,FR,2024-08-21 12:05
58,582660,Black Desert,NT$ 200.00,FR,2024-08-21 12:05
59,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",FR,2024-08-21 12:05
60,1222670,The Sims™ 4,Free To Play,FR,2024-08-21 12:05
61,1353230,Bomb Rush Cyberfunk,NT$ 299.00,FR,2024-08-21 12:05
63,1151340,Fallout 76,NT$ 299.00,FR,2024-08-21 12:05
65,1771300,Kingdom Come: Deliverance II,"NT$ 1,755.00",FR,2024-08-21 12:05
66,588650,Dead Cells,NT$ 349.00,FR,2024-08-21 12:05
67,2399830,ARK: Survival Ascended,"NT$ 1,382.00",FR,2024-08-21 12:05
68,2344520,Diablo® IV,"NT$ 1,575.00",FR,2024-08-21 12:05
69,377160,Fallout 4,NT$ 239.00,FR,2024-08-21 12:05
70,2333480,RAID: Shadow Legends,Free To Play,FR,2024-08-21 12:05
71,739630,Phasmophobia,NT$ 248.00,FR,2024-08-21 12:05
72,281990,Stellaris,"NT$ 1,018.00",FR,2024-08-21 12:05
