Top_Selling,App_Id,Name,Cost,Country,Datetime
1,1675200,Steam Deck,Free To Play,GB,2024-08-05 12:04
2,730,Counter-Strike 2,Free To Play,GB,2024-08-05 12:04
3,2074920,The First Descendant,Free To Play,GB,2024-08-05 12:04
4,2366980,Thank Goodness You're Here!,NT$ 296.00,GB,2024-08-05 12:04
5,238960,Path of Exile(not available in your region),NT$ 296.00,GB,2024-08-05 12:04
6,230410,Warframe,Free To Play,GB,2024-08-05 12:04
7,5700,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,NT$ 662.00,GB,2024-08-05 12:04
8,1086940,Baldur's Gate 3,"NT$ 1,599.00",GB,2024-08-05 12:04
9,236390,War Thunder,Free To Play,GB,2024-08-05 12:04
10,381210,Dead by Daylight,NT$ 151.00,GB,2024-08-05 12:04
11,2139460,Once Human,Free To Play,GB,2024-08-05 12:04
12,1245620,ELDEN RING,"NT$ 1,790.00",GB,2024-08-05 12:04
13,39210,FINAL FANTASY XIV Online(not available in your region),"NT$ 1,790.00",GB,2024-08-05 12:04
14,440,Team Fortress 2,Free To Play,GB,2024-08-05 12:04
15,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",GB,2024-08-05 12:04
16,2567870,Chained Together,NT$ 102.00,GB,2024-08-05 12:04
17,252490,Rust,NT$ 694.00,GB,2024-08-05 12:04
18,570,Dota 2,Free To Play,GB,2024-08-05 12:04
19,271590,Grand Theft Auto V,NT$ 662.00,GB,2024-08-05 12:04
20,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",GB,2024-08-05 12:04
21,1203620,Enshrouded,NT$ 399.00,GB,2024-08-05 12:04
22,553850,HELLDIVERS™ 2,"NT$ 1,190.00",GB,2024-08-05 12:04
23,1085660,Destiny 2,Free To Play,GB,2024-08-05 12:04
24,1222670,The Sims™ 4,Free To Play,GB,2024-08-05 12:04
25,1172470,Apex Legends™,Free To Play,GB,2024-08-05 12:04
26,494840,UBOAT,NT$ 146.00,GB,2024-08-05 12:04
27,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",GB,2024-08-05 12:04
28,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",GB,2024-08-05 12:04
29,354231,Valve Index VR Kit(not available in your region),"NT$ 2,099.00",GB,2024-08-05 12:04
30,227300,Euro Truck Simulator 2,NT$ 428.00,GB,2024-08-05 12:04
31,1422440,Cataclismo,NT$ 559.00,GB,2024-08-05 12:04
32,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",GB,2024-08-05 12:04
33,1363080,Manor Lords,NT$ 749.00,GB,2024-08-05 12:04
34,1599340,Lost Ark(not available in your region),NT$ 749.00,GB,2024-08-05 12:04
35,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,GB,2024-08-05 12:04
36,1144200,Ready or Not,NT$ 846.00,GB,2024-08-05 12:04
37,1059530,Valve Index® Headset(not available in your region),NT$ 846.00,GB,2024-08-05 12:04
38,2591280,F1® Manager 2024,NT$ 820.00,GB,2024-08-05 12:04
39,1091500,Cyberpunk 2077,"NT$ 1,599.00",GB,2024-08-05 12:04
40,2519060,Call of Duty®: Modern Warfare® III,"NT$ 1,220.00",GB,2024-08-05 12:04
41,1432860,Sun Haven,NT$ 189.00,GB,2024-08-05 12:04
42,578080,PUBG: BATTLEGROUNDS,Free To Play,GB,2024-08-05 12:04
43,2670630,Supermarket Simulator,NT$ 238.00,GB,2024-08-05 12:04
44,306130,The Elder Scrolls® Online,NT$ 599.00,GB,2024-08-05 12:04
45,960090,Bloons TD 6,NT$ 124.00,GB,2024-08-05 12:04
46,294100,RimWorld,NT$ 529.00,GB,2024-08-05 12:04
47,1659040,HITMAN World of Assassination,NT$ 48.00,GB,2024-08-05 12:04
48,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",GB,2024-08-05 12:04
49,1119730,"Ranch Simulator: Build, Hunt, Farm",NT$ 113.00,GB,2024-08-05 12:04
50,1158310,Crusader Kings III,"NT$ 1,268.00",GB,2024-08-05 12:04
51,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",GB,2024-08-05 12:04
52,1637320,Dome Keeper,NT$ 119.00,GB,2024-08-05 12:04
53,1962663,Call of Duty®: Warzone™,Free To Play,GB,2024-08-05 12:04
54,413150,Stardew Valley,NT$ 398.00,GB,2024-08-05 12:04
55,281990,Stellaris,"NT$ 1,018.00",GB,2024-08-05 12:04
56,6115,Bundle: South Park™ : The Stick of Truth™ + The Fractured but Whole™,NT$ 343.00,GB,2024-08-05 12:04
57,2488620,F1® 24,"NT$ 1,999.00",GB,2024-08-05 12:04
58,2252570,Football Manager 2024,"NT$ 1,299.00",GB,2024-08-05 12:04
59,2357570,Overwatch® 2,Free To Play,GB,2024-08-05 12:04
60,1172620,Sea of Thieves: 2024 Edition,"NT$ 1,088.00",GB,2024-08-05 12:04
61,1142710,Total War: WARHAMMER III,"NT$ 1,790.00",GB,2024-08-05 12:04
62,983380,Car Manufacture,NT$ 295.00,GB,2024-08-05 12:04
63,548430,Deep Rock Galactic,NT$ 144.00,GB,2024-08-05 12:04
64,107410,Arma 3,NT$ 174.00,GB,2024-08-05 12:04
65,1332010,Stray,NT$ 323.00,GB,2024-08-05 12:04
66,1282100,REMNANT II®,NT$ 550.00,GB,2024-08-05 12:04
67,1938090,Call of Duty®,NT$ 550.00,GB,2024-08-05 12:04
68,377160,Fallout 4,NT$ 599.00,GB,2024-08-05 12:04
69,1190000,Car Mechanic Simulator 2021,NT$ 163.00,GB,2024-08-05 12:04
70,1937780,Total War: PHARAOH,"NT$ 1,090.00",GB,2024-08-05 12:04
71,1465460,Infection Free Zone,NT$ 399.00,GB,2024-08-05 12:04
72,2141910,Magic: The Gathering Arena(not available in your region),NT$ 399.00,GB,2024-08-05 12:04
73,42824,Untitled Goose Game & Thank Goodness You're Here! Bundle,NT$ 625.00,GB,2024-08-05 12:04
74,108600,Project Zomboid,NT$ 328.00,GB,2024-08-05 12:04
75,739630,Phasmophobia,NT$ 248.00,GB,2024-08-05 12:04
76,199943,Fallout 4: Game of the Year Edition,"NT$ 1,199.00",GB,2024-08-05 12:04
77,2315690,WWE 2K24,NT$ 895.00,GB,2024-08-05 12:04
78,1465360,SnowRunner,NT$ 424.00,GB,2024-08-05 12:04
79,1326470,Sons Of The Forest,NT$ 488.00,GB,2024-08-05 12:04
80,2405,The Binding of Isaac: Rebirth Complete Bundle,NT$ 930.00,GB,2024-08-05 12:04
81,2344520,Diablo® IV,"NT$ 1,575.00",GB,2024-08-05 12:04
82,2050650,Resident Evil 4,NT$ 937.00,GB,2024-08-05 12:04
83,1966720,Lethal Company,NT$ 188.00,GB,2024-08-05 12:04
84,1449850,Yu-Gi-Oh! Master Duel,Free To Play,GB,2024-08-05 12:04
85,34206,Remnant Ultimate Bundle,NT$ 940.00,GB,2024-08-05 12:04
86,284160,BeamNG.drive,NT$ 408.00,GB,2024-08-05 12:04
87,489830,The Elder Scrolls V: Skyrim Special Edition,"NT$ 1,199.00",GB,2024-08-05 12:04
88,2358720,Black Myth: Wukong,"NT$ 1,280.00",GB,2024-08-05 12:04
89,2138330,Cyberpunk 2077: Phantom Liberty,NT$ 799.00,GB,2024-08-05 12:04
90,3015760,Ready or Not: Home Invasion,NT$ 249.00,GB,2024-08-05 12:04
91,1286830,STAR WARS™: The Old Republic™,Free To Play,GB,2024-08-05 12:04
92,488790,South Park™: The Fractured But Whole™,NT$ 169.00,GB,2024-08-05 12:04
93,1696780,Steam Deck Docking Station,NT$ 169.00,GB,2024-08-05 12:04
94,823469,Resident Evil 7 Gold Edition & Village Gold Edition,NT$ 910.00,GB,2024-08-05 12:04
95,1272320,Diplomacy is Not an Option,NT$ 226.00,GB,2024-08-05 12:04
96,251570,7 Days to Die,NT$ 670.00,GB,2024-08-05 12:04
97,394360,Hearts of Iron IV,"NT$ 1,268.00",GB,2024-08-05 12:04
98,2073850,THE FINALS,Free To Play,GB,2024-08-05 12:04
99,2291060,EARTH DEFENSE FORCE 6,"NT$ 1,755.00",GB,2024-08-05 12:04
100,2419090,STAR WARS™: Bounty Hunter™,NT$ 328.00,GB,2024-08-05 12:04
