Rank,GameID,GameName,Cost,Country,Datetime
1,1675200,Steam Deck,Free To Play,GB,2024-08-07 12:03
2,730,Counter-Strike 2,Free To Play,GB,2024-08-07 12:03
3,1172470,Apex Legends™,Free To Play,GB,2024-08-07 12:03
4,1085660,Destiny 2,Free To Play,GB,2024-08-07 12:03
5,354231,Valve Index VR Kit(not available in your region),Free To Play,GB,2024-08-07 12:03
6,2074920,The First Descendant,Free To Play,GB,2024-08-07 12:03
7,1059530,Valve Index® Headset(not available in your region),Free To Play,GB,2024-08-07 12:03
8,2366980,Thank Goodness You're Here!,NT$ 296.00,GB,2024-08-07 12:03
9,381210,Dead by Daylight,NT$ 151.00,GB,2024-08-07 12:03
10,1222670,The Sims™ 4,Free To Play,GB,2024-08-07 12:03
11,546560,Half-Life: Alyx,NT$ 305.00,GB,2024-08-07 12:03
12,230410,Warframe,Free To Play,GB,2024-08-07 12:03
13,311210,Call of Duty®: Black Ops III,NT$ 659.00,GB,2024-08-07 12:03
14,236390,War Thunder,Free To Play,GB,2024-08-07 12:03
15,39210,FINAL FANTASY XIV Online(not available in your region),Free To Play,GB,2024-08-07 12:03
16,553850,HELLDIVERS™ 2,"NT$ 1,190.00",GB,2024-08-07 12:03
17,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",GB,2024-08-07 12:03
18,2139460,Once Human,Free To Play,GB,2024-08-07 12:03
19,1086940,Baldur's Gate 3,"NT$ 1,599.00",GB,2024-08-07 12:03
20,1245620,ELDEN RING,"NT$ 1,790.00",GB,2024-08-07 12:03
21,2142790,Fields of Mistria,NT$ 248.00,GB,2024-08-07 12:03
22,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",GB,2024-08-07 12:03
23,440,Team Fortress 2,Free To Play,GB,2024-08-07 12:03
24,2395210,Tony Hawk's™ Pro Skater™ 1 + 2,NT$ 499.00,GB,2024-08-07 12:03
25,5700,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,NT$ 662.00,GB,2024-08-07 12:03
26,238960,Path of Exile(not available in your region),NT$ 662.00,GB,2024-08-07 12:03
27,1151340,Fallout 76,"NT$ 1,199.00",GB,2024-08-07 12:03
28,271590,Grand Theft Auto V,NT$ 662.00,GB,2024-08-07 12:03
29,570,Dota 2,Free To Play,GB,2024-08-07 12:03
30,2567870,Chained Together,NT$ 102.00,GB,2024-08-07 12:03
31,202970,Call of Duty®: Black Ops II,NT$ 623.00,GB,2024-08-07 12:03
32,1149460,ICARUS,NT$ 283.00,GB,2024-08-07 12:03
33,1997040,MARVEL SNAP,Free To Play,GB,2024-08-07 12:03
34,29097,The Lucky 7 Bundle,"NT$ 1,281.00",GB,2024-08-07 12:03
35,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",GB,2024-08-07 12:03
36,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,GB,2024-08-07 12:03
37,252490,Rust,NT$ 694.00,GB,2024-08-07 12:03
38,2344520,Diablo® IV,"NT$ 1,575.00",GB,2024-08-07 12:03
39,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",GB,2024-08-07 12:03
40,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",GB,2024-08-07 12:03
41,1774580,STAR WARS Jedi: Survivor™,NT$ 899.00,GB,2024-08-07 12:03
42,2357570,Overwatch® 2,Free To Play,GB,2024-08-07 12:03
43,578080,PUBG: BATTLEGROUNDS,Free To Play,GB,2024-08-07 12:03
44,1985810,Call of Duty®: Black Ops Cold War,NT$ 626.00,GB,2024-08-07 12:03
45,1659040,HITMAN World of Assassination,NT$ 420.00,GB,2024-08-07 12:03
46,227300,Euro Truck Simulator 2,NT$ 428.00,GB,2024-08-07 12:03
47,306130,The Elder Scrolls® Online,NT$ 599.00,GB,2024-08-07 12:03
48,42700,Call of Duty®: Black Ops,NT$ 618.00,GB,2024-08-07 12:03
49,1158310,Crusader Kings III,"NT$ 1,268.00",GB,2024-08-07 12:03
50,33608,HELLDIVERS™ 2 Super Citizen Edition,"NT$ 1,432.00",GB,2024-08-07 12:03
51,2488620,F1® 24,"NT$ 1,439.00",GB,2024-08-07 12:03
52,2141910,Magic: The Gathering Arena(not available in your region),"NT$ 1,439.00",GB,2024-08-07 12:03
53,2670630,Supermarket Simulator,NT$ 238.00,GB,2024-08-07 12:03
54,33369,Borderlands Collection: Pandora's Box,"NT$ 4,434.00",GB,2024-08-07 12:03
55,494840,UBOAT,NT$ 146.00,GB,2024-08-07 12:03
56,2358720,Black Myth: Wukong,"NT$ 1,280.00",GB,2024-08-07 12:03
57,2519060,Call of Duty®: Modern Warfare® III,"NT$ 1,220.00",GB,2024-08-07 12:03
58,1351240,Taxi Life: A City Driving Simulator,NT$ 323.00,GB,2024-08-07 12:03
59,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",GB,2024-08-07 12:03
60,1681430,RoboCop: Rogue City,NT$ 599.00,GB,2024-08-07 12:03
61,1091500,Cyberpunk 2077,"NT$ 1,599.00",GB,2024-08-07 12:03
62,107410,Arma 3,NT$ 174.00,GB,2024-08-07 12:03
63,1517290,Battlefield™ 2042,NT$ 239.00,GB,2024-08-07 12:03
64,281990,Stellaris,"NT$ 1,018.00",GB,2024-08-07 12:03
65,1289670,EA Play,NT$ 34.00,GB,2024-08-07 12:03
66,39394,Command & Conquer™ The Ultimate Collection,NT$ 288.00,GB,2024-08-07 12:03
67,2591280,F1® Manager 2024,NT$ 820.00,GB,2024-08-07 12:03
68,394360,Hearts of Iron IV,"NT$ 1,268.00",GB,2024-08-07 12:03
69,1599340,Lost Ark(not available in your region),"NT$ 1,268.00",GB,2024-08-07 12:03
70,739630,Phasmophobia,NT$ 248.00,GB,2024-08-07 12:03
71,413150,Stardew Valley,NT$ 398.00,GB,2024-08-07 12:03
72,2315690,WWE 2K24,NT$ 895.00,GB,2024-08-07 12:03
73,1938090,Call of Duty®,NT$ 895.00,GB,2024-08-07 12:03
74,266410,iRacing,NT$ 278.00,GB,2024-08-07 12:03
75,1696780,Steam Deck Docking Station,NT$ 278.00,GB,2024-08-07 12:03
76,1332010,Stray,NT$ 323.00,GB,2024-08-07 12:03
77,960090,Bloons TD 6,NT$ 248.00,GB,2024-08-07 12:03
78,992300,嗜血印 Bloody Spell,NT$ 63.00,GB,2024-08-07 12:03
79,13560,【豪华版】嗜血印本体+全部服装DLC,NT$ 457.00,GB,2024-08-07 12:03
80,1172620,Sea of Thieves: 2024 Edition,"NT$ 1,088.00",GB,2024-08-07 12:03
81,36586,Crusader Kings III: Collection,"NT$ 3,656.00",GB,2024-08-07 12:03
82,548430,Deep Rock Galactic,NT$ 144.00,GB,2024-08-07 12:03
83,1363080,Manor Lords,NT$ 999.00,GB,2024-08-07 12:03
84,1693980,Dead Space,NT$ 559.00,GB,2024-08-07 12:03
85,1962663,Call of Duty®: Warzone™,Free To Play,GB,2024-08-07 12:03
86,40955,Warframe: Protea Prime Access - Complete Pack,"NT$ 2,009.00",GB,2024-08-07 12:03
