Top_Selling,App_Id,Name,Cost,Country,Datetime
1,578080,PUBG: BATTLEGROUNDS,Free To Play,HK,2024-08-05 12:04
2,730,Counter-Strike 2,Free To Play,HK,2024-08-05 12:04
3,2074920,The First Descendant,Free To Play,HK,2024-08-05 12:04
4,2358720,Black Myth: Wukong,"NT$ 1,280.00",HK,2024-08-05 12:04
5,1203220,NARAKA: BLADEPOINT,Free To Play,HK,2024-08-05 12:04
6,2897760,Romantic Escapades(hidden by your preferences),NT$ 295.00,HK,2024-08-05 12:04
7,22460,Hearts of Iron IV: Ultimate Bundle,"NT$ 4,510.00",HK,2024-08-05 12:04
8,2668080,Snowbreak: Containment Zone,Free To Play,HK,2024-08-05 12:04
9,1172470,Apex Legends™,Free To Play,HK,2024-08-05 12:04
10,2139460,Once Human,Free To Play,HK,2024-08-05 12:04
11,2458860,Summer Clover(hidden by your preferences),NT$ 329.00,HK,2024-08-05 12:04
12,1665460,eFootball™ 2024,Free To Play,HK,2024-08-05 12:04
13,886250,Vegas Infinite by PokerStars,Free To Play,HK,2024-08-05 12:04
14,1245620,ELDEN RING,"NT$ 1,790.00",HK,2024-08-05 12:04
15,230410,Warframe,Free To Play,HK,2024-08-05 12:04
16,2854170,"OPPAI Succubus Academy Sucky and Busty, Demonic and Lusty!(hidden by your preferences)",NT$ 599.00,HK,2024-08-05 12:04
17,271590,Grand Theft Auto V,NT$ 662.00,HK,2024-08-05 12:04
18,2445690,Lost Castle 2,NT$ 220.00,HK,2024-08-05 12:04
19,1909840,JIANGHU CHRONICLES,NT$ 278.00,HK,2024-08-05 12:04
20,381210,Dead by Daylight,NT$ 151.00,HK,2024-08-05 12:04
21,394360,Hearts of Iron IV,"NT$ 1,268.00",HK,2024-08-05 12:04
22,5700,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,NT$ 662.00,HK,2024-08-05 12:04
23,570,Dota 2,Free To Play,HK,2024-08-05 12:04
24,431960,Wallpaper Engine,NT$ 120.00,HK,2024-08-05 12:04
25,2808930,Lust Goddess(hidden by your preferences),Free To Play,HK,2024-08-05 12:04
26,21037,Stellaris: Ultimate Bundle,"NT$ 7,428.00",HK,2024-08-05 12:04
27,1449850,Yu-Gi-Oh! Master Duel,Free To Play,HK,2024-08-05 12:04
28,2849080,Kingdom Rush 5: Alliance TD,NT$ 295.00,HK,2024-08-05 12:04
