Rank,GameID,GameName,Cost,Country,Datetime
1,1672500,GUNDAM BREAKER 4,"NT$ 1,790.00",JP,2024-08-27 12:05
2,2608350,Snezhinka:Sentinel Girls2,NT$ 135.00,JP,2024-08-27 12:05
3,1172470,Apex Legends™,Free To Play,JP,2024-08-27 12:05
4,2358720,Black Myth: Wukong,"NT$ 1,280.00",JP,2024-08-27 12:05
5,2668080,Snowbreak: Containment Zone,Free To Play,JP,2024-08-27 12:05
6,2490990,Visions of Mana,"NT$ 1,790.00",JP,2024-08-27 12:05
7,1621690,Core Keeper,NT$ 262.00,JP,2024-08-27 12:05
8,1449850,Yu-Gi-Oh! Master Duel,Free To Play,JP,2024-08-27 12:05
9,2074920,The First Descendant,Free To Play,JP,2024-08-27 12:05
10,2344520,Diablo® IV,NT$ 945.00,JP,2024-08-27 12:05
11,2139460,Once Human,Free To Play,JP,2024-08-27 12:05
12,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",JP,2024-08-27 12:05
13,1364780,Street Fighter™ 6,"NT$ 1,680.00",JP,2024-08-27 12:05
14,2305500,FAIRY TAIL: DUNGEONS,NT$ 198.00,JP,2024-08-27 12:05
15,582010,Monster Hunter: World,NT$ 920.00,JP,2024-08-27 12:05
16,960170,DJMAX RESPECT V,NT$ 698.00,JP,2024-08-27 12:05
17,251570,7 Days to Die,NT$ 670.00,JP,2024-08-27 12:05
18,2144640,Endzone 2,NT$ 367.00,JP,2024-08-27 12:05
19,1245620,ELDEN RING,"NT$ 1,790.00",JP,2024-08-27 12:05
20,2051010,Professional Baseball Spirits 2024-2025,"NT$ 1,673.00",JP,2024-08-27 12:05
21,730,Counter-Strike 2,Free To Play,JP,2024-08-27 12:05
22,2162800,shapez 2,NT$ 326.00,JP,2024-08-27 12:05
23,2190220,Touhou Danmaku Kagura Phantasia Lost,NT$ 488.00,JP,2024-08-27 12:05
24,271590,Grand Theft Auto V,NT$ 480.00,JP,2024-08-27 12:05
25,2357570,Overwatch® 2,Free To Play,JP,2024-08-27 12:05
26,2845170,救国のスネジンカ:Sentinel Girls2 Soundtrack,NT$ 100.00,JP,2024-08-27 12:05
28,2325290,Sky: Children of the Light,Free To Play,JP,2024-08-27 12:05
29,2515020,FINAL FANTASY XVI,"NT$ 1,490.00",JP,2024-08-27 12:05
30,1534980,Terminus: Zombie Survivors,NT$ 262.00,JP,2024-08-27 12:05
31,2826230,SnezhinkaArtBook,NT$ 66.00,JP,2024-08-27 12:05
32,381210,Dead by Daylight,NT$ 379.00,JP,2024-08-27 12:05
33,394360,Hearts of Iron IV,NT$ 380.00,JP,2024-08-27 12:05
34,2891040,Transformative Summer: Life with a TS Companion(hidden by your preferences),NT$ 259.00,JP,2024-08-27 12:05
35,534380,Dying Light 2 Stay Human: Reloaded Edition,NT$ 716.00,JP,2024-08-27 12:05
36,39210,FINAL FANTASY XIV Online(not available in your region),NT$ 716.00,JP,2024-08-27 12:05
37,1456820,Marfusha:Sentinel Girls ,NT$ 91.00,JP,2024-08-27 12:05
38,1222670,The Sims™ 4,Free To Play,JP,2024-08-27 12:05
39,1118010,Monster Hunter World: Iceborne,"NT$ 1,230.00",JP,2024-08-27 12:05
40,578080,PUBG: BATTLEGROUNDS,Free To Play,JP,2024-08-27 12:05
41,1446780,MONSTER HUNTER RISE,"NT$ 1,120.00",JP,2024-08-27 12:05
43,1040200,Crime Scene Cleaner,NT$ 288.00,JP,2024-08-27 12:05
44,230410,Warframe,Free To Play,JP,2024-08-27 12:05
46,2764370,Starward,Free To Play,JP,2024-08-27 12:05
47,1201540,HELLCARD,NT$ 244.00,JP,2024-08-27 12:05
48,1973710,ヘブンバーンズレッド,Free To Play,JP,2024-08-27 12:05
49,1623730,Palworld,NT$ 488.00,JP,2024-08-27 12:05
50,2526380,Sword of Convallaria,Free To Play,JP,2024-08-27 12:05
51,289070,Sid Meier’s Civilization® VI,NT$ 179.00,JP,2024-08-27 12:05
52,2291060,EARTH DEFENSE FORCE 6,"NT$ 1,950.00",JP,2024-08-27 12:05
53,2399830,ARK: Survival Ascended,"NT$ 1,382.00",JP,2024-08-27 12:05
54,2586520,Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator(not available in your region),"NT$ 1,382.00",JP,2024-08-27 12:05
56,294100,RimWorld,NT$ 529.00,JP,2024-08-27 12:05
57,1881700,Undawn(not available in your region),NT$ 529.00,JP,2024-08-27 12:05
58,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,JP,2024-08-27 12:05
59,2749770,Galaxy Burger,NT$ 180.00,JP,2024-08-27 12:05
