Top_Selling,App_Id,Name,Cost,Country,Datetime
1,1675200,Steam Deck,NT$ 295.00,NL,2024-08-05 12:04
2,2074920,The First Descendant,Free To Play,NL,2024-08-05 12:04
3,238960,Path of Exile(not available in your region),Free To Play,NL,2024-08-05 12:04
4,1245620,ELDEN RING,"NT$ 1,790.00",NL,2024-08-05 12:04
5,1086940,Baldur's Gate 3,"NT$ 1,599.00",NL,2024-08-05 12:04
6,236390,War Thunder,Free To Play,NL,2024-08-05 12:04
7,2139460,Once Human,Free To Play,NL,2024-08-05 12:04
8,230410,Warframe,Free To Play,NL,2024-08-05 12:04
9,227300,Euro Truck Simulator 2,NT$ 428.00,NL,2024-08-05 12:04
10,271590,Grand Theft Auto V,NT$ 662.00,NL,2024-08-05 12:04
11,39210,FINAL FANTASY XIV Online(not available in your region),NT$ 662.00,NL,2024-08-05 12:04
12,2567870,Chained Together,NT$ 102.00,NL,2024-08-05 12:04
13,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",NL,2024-08-05 12:04
14,1203620,Enshrouded,NT$ 399.00,NL,2024-08-05 12:04
15,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",NL,2024-08-05 12:04
16,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",NL,2024-08-05 12:04
17,42053,WARNO - Gold Edition,"NT$ 2,157.00",NL,2024-08-05 12:04
18,1422440,Cataclismo,NT$ 559.00,NL,2024-08-05 12:04
19,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",NL,2024-08-05 12:04
20,5700,Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,NT$ 662.00,NL,2024-08-05 12:04
21,252490,Rust,NT$ 694.00,NL,2024-08-05 12:04
22,494840,UBOAT,NT$ 146.00,NL,2024-08-05 12:04
23,2248760,Car For Sale Simulator 2023,NT$ 298.00,NL,2024-08-05 12:04
24,578080,PUBG: BATTLEGROUNDS,Free To Play,NL,2024-08-05 12:04
