Rank,GameID,GameName,Cost,Country,Datetime
1,2358720,Black Myth: Wukong,"NT$ 1,280.00",NL,2024-08-23 12:05
2,1675200,Steam Deck,"NT$ 1,280.00",NL,2024-08-23 12:05
3,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",NL,2024-08-23 12:05
4,1043810,Tactical Breach Wizards,NT$ 295.00,NL,2024-08-23 12:05
5,2139460,Once Human,Free To Play,NL,2024-08-23 12:05
6,1295660,Sid Meier's Civilization® VII,"NT$ 2,090.00",NL,2024-08-23 12:05
7,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",NL,2024-08-23 12:05
8,230410,Warframe,Free To Play,NL,2024-08-23 12:05
9,2344520,Diablo® IV,NT$ 945.00,NL,2024-08-23 12:05
10,236390,War Thunder,Free To Play,NL,2024-08-23 12:05
11,2162800,shapez 2,NT$ 326.00,NL,2024-08-23 12:05
12,570,Dota 2,Free To Play,NL,2024-08-23 12:05
13,1771300,Kingdom Come: Deliverance II,"NT$ 1,755.00",NL,2024-08-23 12:05
14,1575940,Sins of a Solar Empire II,NT$ 596.00,NL,2024-08-23 12:05
15,1030840,Mafia: Definitive Edition,NT$ 238.00,NL,2024-08-23 12:05
16,2406770,Bodycam,NT$ 452.00,NL,2024-08-23 12:05
17,39210,FINAL FANTASY XIV Online(not available in your region),NT$ 452.00,NL,2024-08-23 12:05
18,1086940,Baldur's Gate 3,"NT$ 1,599.00",NL,2024-08-23 12:05
19,238960,Path of Exile(not available in your region),"NT$ 1,599.00",NL,2024-08-23 12:05
20,271590,Grand Theft Auto V,NT$ 480.00,NL,2024-08-23 12:05
21,1172470,Apex Legends™,Free To Play,NL,2024-08-23 12:05
22,1245620,ELDEN RING,"NT$ 1,790.00",NL,2024-08-23 12:05
23,227300,Euro Truck Simulator 2,NT$ 428.00,NL,2024-08-23 12:05
24,1401590,Disney Dreamlight Valley,"NT$ 1,019.00",NL,2024-08-23 12:05
25,252490,Rust,NT$ 694.00,NL,2024-08-23 12:05
26,2300320,Farming Simulator 25,"NT$ 1,199.00",NL,2024-08-23 12:05
28,381210,Dead by Daylight,NT$ 379.00,NL,2024-08-23 12:05
30,2853730,Skull and Bones,NT$ 716.00,NL,2024-08-23 12:05
31,2074920,The First Descendant,Free To Play,NL,2024-08-23 12:05
32,1040200,Crime Scene Cleaner,NT$ 288.00,NL,2024-08-23 12:05
33,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",NL,2024-08-23 12:05
34,594650,Hunt: Showdown 1896,NT$ 799.00,NL,2024-08-23 12:05
35,291550,Brawlhalla,Free To Play,NL,2024-08-23 12:05
36,289070,Sid Meier’s Civilization® VI,NT$ 179.00,NL,2024-08-23 12:05
37,2780980,LOCKDOWN Protocol,NT$ 188.00,NL,2024-08-23 12:05
38,397540,Borderlands 3,NT$ 773.00,NL,2024-08-23 12:05
39,1973530,Limbus Company,Free To Play,NL,2024-08-23 12:05
41,1934680,Age of Mythology: Retold,"NT$ 1,018.00",NL,2024-08-23 12:05
42,1172620,Sea of Thieves: 2024 Edition,"NT$ 1,088.00",NL,2024-08-23 12:05
43,905370,Conqueror's Blade(not available in your region),"NT$ 1,088.00",NL,2024-08-23 12:05
45,582010,Monster Hunter: World,NT$ 303.00,NL,2024-08-23 12:05
46,534380,Dying Light 2 Stay Human: Reloaded Edition,NT$ 716.00,NL,2024-08-23 12:05
47,2215430,Ghost of Tsushima DIRECTOR'S CUT,"NT$ 1,490.00",NL,2024-08-23 12:05
48,1599340,Lost Ark(not available in your region),"NT$ 1,490.00",NL,2024-08-23 12:05
49,2488620,F1® 24,"NT$ 1,199.00",NL,2024-08-23 12:05
50,2357570,Overwatch® 2,Free To Play,NL,2024-08-23 12:05
51,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,NL,2024-08-23 12:05
52,553850,HELLDIVERS™ 2,"NT$ 1,190.00",NL,2024-08-23 12:05
54,2668080,Snowbreak: Containment Zone,Free To Play,NL,2024-08-23 12:05
55,1158310,Crusader Kings III,"NT$ 1,268.00",NL,2024-08-23 12:05
56,1091500,Cyberpunk 2077,"NT$ 1,599.00",NL,2024-08-23 12:05
57,1151340,Fallout 76,"NT$ 1,199.00",NL,2024-08-23 12:05
58,1059530,Valve Index® Headset(not available in your region),"NT$ 1,199.00",NL,2024-08-23 12:05
59,2567870,Chained Together,NT$ 102.00,NL,2024-08-23 12:05
60,1790600,DRAGON BALL: Sparking! ZERO,"NT$ 1,890.00",NL,2024-08-23 12:05
61,294100,RimWorld,NT$ 529.00,NL,2024-08-23 12:05
62,1446780,MONSTER HUNTER RISE,NT$ 280.00,NL,2024-08-23 12:05
63,2967990,Train Sim World® 5,NT$ 746.00,NL,2024-08-23 12:05
64,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",NL,2024-08-23 12:05
65,1142710,Total War: WARHAMMER III,"NT$ 1,790.00",NL,2024-08-23 12:05
67,2142790,Fields of Mistria,NT$ 248.00,NL,2024-08-23 12:05
68,306130,The Elder Scrolls® Online,NT$ 599.00,NL,2024-08-23 12:05
69,1222670,The Sims™ 4,Free To Play,NL,2024-08-23 12:05
71,578080,PUBG: BATTLEGROUNDS,Free To Play,NL,2024-08-23 12:05
72,1562430,DREDGE,NT$ 749.00,NL,2024-08-23 12:05
74,585420,Trailmakers,NT$ 75.00,NL,2024-08-23 12:05
75,236850,Europa Universalis IV,"NT$ 1,018.00",NL,2024-08-23 12:05
76,266410,iRacing,NT$ 278.00,NL,2024-08-23 12:05
77,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",NL,2024-08-23 12:05
78,1290000,PowerWash Simulator,NT$ 553.00,NL,2024-08-23 12:05
79,2399830,ARK: Survival Ascended,"NT$ 1,382.00",NL,2024-08-23 12:05
80,2515020,FINAL FANTASY XVI,"NT$ 1,490.00",NL,2024-08-23 12:05
81,1966720,Lethal Company,NT$ 188.00,NL,2024-08-23 12:05
82,2141910,Magic: The Gathering Arena(not available in your region),NT$ 188.00,NL,2024-08-23 12:05
83,949230,Cities: Skylines II,"NT$ 1,398.00",NL,2024-08-23 12:05
84,427520,Factorio,NT$ 600.00,NL,2024-08-23 12:05
85,730,Counter-Strike 2,Free To Play,NL,2024-08-23 12:05
86,1326470,Sons Of The Forest,NT$ 488.00,NL,2024-08-23 12:05
87,1118010,Monster Hunter World: Iceborne,NT$ 455.00,NL,2024-08-23 12:05
89,216150,MapleStory(not available in your region),NT$ 455.00,NL,2024-08-23 12:05
90,239140,Dying Light,NT$ 60.00,NL,2024-08-23 12:05
91,413150,Stardew Valley,NT$ 398.00,NL,2024-08-23 12:05
94,1284210,Guild Wars 2,Free To Play,NL,2024-08-23 12:05
95,739630,Phasmophobia,NT$ 248.00,NL,2024-08-23 12:05
96,513710,SCUM,NT$ 298.00,NL,2024-08-23 12:05
97,1407200,World of Tanks,Free To Play,NL,2024-08-23 12:05
98,703080,Planet Zoo,NT$ 975.00,NL,2024-08-23 12:05
99,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",NL,2024-08-23 12:05
100,2670630,Supermarket Simulator,NT$ 238.00,NL,2024-08-23 12:05
