Rank,GameID,GameName,Cost,Country,Datetime
1,730,Counter-Strike 2,Free To Play,NO,2024-08-19 12:05
2,2358720,Black Myth: Wukong,"NT$ 1,280.00",NO,2024-08-19 12:05
3,2139460,Once Human,Free To Play,NO,2024-08-19 12:05
4,2669320,EA SPORTS FC™ 25,"NT$ 2,099.00",NO,2024-08-19 12:05
5,1575940,Sins of a Solar Empire II,NT$ 596.00,NO,2024-08-19 12:05
6,1091500,Cyberpunk 2077,NT$ 799.00,NO,2024-08-19 12:05
7,2162800,shapez 2,NT$ 326.00,NO,2024-08-19 12:05
8,236390,War Thunder,Free To Play,NO,2024-08-19 12:05
10,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",NO,2024-08-19 12:05
11,578080,PUBG: BATTLEGROUNDS,Free To Play,NO,2024-08-19 12:05
12,1245620,ELDEN RING,"NT$ 1,790.00",NO,2024-08-19 12:05
13,1172620,Sea of Thieves: 2024 Edition,NT$ 652.00,NO,2024-08-19 12:05
14,1040200,Crime Scene Cleaner,NT$ 288.00,NO,2024-08-19 12:05
15,238960,Path of Exile(not available in your region),NT$ 288.00,NO,2024-08-19 12:05
16,271590,Grand Theft Auto V,NT$ 974.00,NO,2024-08-19 12:05
17,39210,FINAL FANTASY XIV Online(not available in your region),NT$ 974.00,NO,2024-08-19 12:05
18,2138330,Cyberpunk 2077: Phantom Liberty,NT$ 679.00,NO,2024-08-19 12:05
19,230410,Warframe,Free To Play,NO,2024-08-19 12:05
20,1222670,The Sims™ 4,Free To Play,NO,2024-08-19 12:05
21,2074920,The First Descendant,Free To Play,NO,2024-08-19 12:05
22,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",NO,2024-08-19 12:05
23,594650,Hunt: Showdown 1896,NT$ 639.00,NO,2024-08-19 12:05
24,440,Team Fortress 2,Free To Play,NO,2024-08-19 12:05
25,1172470,Apex Legends™,Free To Play,NO,2024-08-19 12:05
26,570,Dota 2,Free To Play,NO,2024-08-19 12:05
27,1086940,Baldur's Gate 3,"NT$ 1,599.00",NO,2024-08-19 12:05
28,252490,Rust,NT$ 694.00,NO,2024-08-19 12:05
29,1562430,DREDGE,NT$ 486.00,NO,2024-08-19 12:05
30,553850,HELLDIVERS™ 2,"NT$ 1,190.00",NO,2024-08-19 12:05
31,1151340,Fallout 76,NT$ 299.00,NO,2024-08-19 12:05
32,1313140,Cult of the Lamb,NT$ 244.00,NO,2024-08-19 12:05
33,2369390,Far Cry® 6,NT$ 424.00,NO,2024-08-19 12:05
35,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",NO,2024-08-19 12:05
36,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,NO,2024-08-19 12:05
38,227300,Euro Truck Simulator 2,NT$ 428.00,NO,2024-08-19 12:05
39,2195250,EA SPORTS FC™ 24,"NT$ 1,999.00",NO,2024-08-19 12:05
40,306130,The Elder Scrolls® Online,NT$ 179.00,NO,2024-08-19 12:05
42,2059530,Dawn of Defiance,NT$ 246.00,NO,2024-08-19 12:05
43,397540,Borderlands 3,NT$ 178.00,NO,2024-08-19 12:05
44,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",NO,2024-08-19 12:05
