Rank,GameID,GameName,Cost,Country,Datetime
1,730,Counter-Strike 2,Free To Play,NZ,2024-08-09 12:05
2,553850,HELLDIVERS™ 2,"NT$ 1,190.00",NZ,2024-08-09 12:05
3,2183900,"Warhammer 40,000: Space Marine 2","NT$ 1,590.00",NZ,2024-08-09 12:05
4,236390,War Thunder,Free To Play,NZ,2024-08-09 12:05
5,306130,The Elder Scrolls® Online,NT$ 179.00,NZ,2024-08-09 12:05
6,252490,Rust,NT$ 694.00,NZ,2024-08-09 12:05
7,1593500,God of War,NT$ 476.00,NZ,2024-08-09 12:05
8,2933620,Call of Duty®: Black Ops 6,"NT$ 2,219.00",NZ,2024-08-09 12:05
9,2358720,Black Myth: Wukong,"NT$ 1,280.00",NZ,2024-08-09 12:05
11,238960,Path of Exile(not available in your region),"NT$ 1,119.00",NZ,2024-08-09 12:05
12,2638370,Five Nights at Freddy's: Into the Pit,NT$ 328.00,NZ,2024-08-09 12:05
13,2074920,The First Descendant,Free To Play,NZ,2024-08-09 12:05
14,397540,Borderlands 3,NT$ 178.00,NZ,2024-08-09 12:05
15,1449850,Yu-Gi-Oh! Master Duel,Free To Play,NZ,2024-08-09 12:05
16,2139460,Once Human,Free To Play,NZ,2024-08-09 12:05
17,230410,Warframe,Free To Play,NZ,2024-08-09 12:05
19,1245620,ELDEN RING,"NT$ 1,790.00",NZ,2024-08-09 12:05
20,311210,Call of Duty®: Black Ops III,NT$ 659.00,NZ,2024-08-09 12:05
22,1599340,Lost Ark(not available in your region),NT$ 436.00,NZ,2024-08-09 12:05
23,578080,PUBG: BATTLEGROUNDS,Free To Play,NZ,2024-08-09 12:05
24,39210,FINAL FANTASY XIV Online(not available in your region),Free To Play,NZ,2024-08-09 12:05
25,570,Dota 2,Free To Play,NZ,2024-08-09 12:05
27,1151340,Fallout 76,NT$ 299.00,NZ,2024-08-09 12:05
29,1222670,The Sims™ 4,Free To Play,NZ,2024-08-09 12:05
30,2400510,Dungeons & Degenerate Gamblers,NT$ 241.00,NZ,2024-08-09 12:05
31,782330,DOOM Eternal,NT$ 299.00,NZ,2024-08-09 12:05
32,377160,Fallout 4,NT$ 239.00,NZ,2024-08-09 12:05
33,1086940,Baldur's Gate 3,"NT$ 1,599.00",NZ,2024-08-09 12:05
34,359550,Tom Clancy's Rainbow Six® Siege,NT$ 569.00,NZ,2024-08-09 12:05
35,1085660,Destiny 2,Free To Play,NZ,2024-08-09 12:05
36,271590,Grand Theft Auto V,NT$ 662.00,NZ,2024-08-09 12:05
37,2396240,SteamWorld Heist II,NT$ 439.00,NZ,2024-08-09 12:05
38,546560,Half-Life: Alyx,NT$ 305.00,NZ,2024-08-09 12:05
40,427410,Abiotic Factor,NT$ 326.00,NZ,2024-08-09 12:05
41,2751000,Prince of Persia The Lost Crown,NT$ 677.00,NZ,2024-08-09 12:05
42,2142790,Fields of Mistria,NT$ 248.00,NZ,2024-08-09 12:05
43,1144200,Ready or Not,NT$ 846.00,NZ,2024-08-09 12:05
44,2396980,Fate/stay night REMASTERED,NT$ 439.00,NZ,2024-08-09 12:05
45,489830,The Elder Scrolls V: Skyrim Special Edition,NT$ 299.00,NZ,2024-08-09 12:05
47,2567870,Chained Together,NT$ 102.00,NZ,2024-08-09 12:05
48,381210,Dead by Daylight,NT$ 379.00,NZ,2024-08-09 12:05
49,1237970,Titanfall® 2,NT$ 79.00,NZ,2024-08-09 12:05
50,202970,Call of Duty®: Black Ops II,NT$ 623.00,NZ,2024-08-09 12:05
53,1091500,Cyberpunk 2077,"NT$ 1,599.00",NZ,2024-08-09 12:05
54,1562430,DREDGE,NT$ 486.00,NZ,2024-08-09 12:05
55,2366980,Thank Goodness You're Here!,NT$ 296.00,NZ,2024-08-09 12:05
56,266410,iRacing,NT$ 278.00,NZ,2024-08-09 12:05
57,2778580,ELDEN RING Shadow of the Erdtree,"NT$ 1,190.00",NZ,2024-08-09 12:05
58,1172620,Sea of Thieves: 2024 Edition,"NT$ 1,088.00",NZ,2024-08-09 12:05
59,9900,Star Trek Online,Free To Play,NZ,2024-08-09 12:05
60,1172470,Apex Legends™,Free To Play,NZ,2024-08-09 12:05
61,294100,RimWorld,NT$ 529.00,NZ,2024-08-09 12:05
62,2167580,Summoners War: Chronicles,Free To Play,NZ,2024-08-09 12:05
63,1142710,Total War: WARHAMMER III,"NT$ 1,790.00",NZ,2024-08-09 12:05
64,1659040,HITMAN World of Assassination,NT$ 420.00,NZ,2024-08-09 12:05
65,960090,Bloons TD 6,NT$ 248.00,NZ,2024-08-09 12:05
66,2674290,kings call,Free To Play,NZ,2024-08-09 12:05
67,1973530,Limbus Company,Free To Play,NZ,2024-08-09 12:05
68,1286680,Tiny Tina's Wonderlands,NT$ 433.00,NZ,2024-08-09 12:05
69,49520,Borderlands 2,NT$ 149.00,NZ,2024-08-09 12:05
70,1363080,Manor Lords,NT$ 999.00,NZ,2024-08-09 12:05
72,1250410,Microsoft Flight Simulator 40th Anniversary Edition,"NT$ 1,690.00",NZ,2024-08-09 12:05
73,2305840,Cat Quest III,NT$ 340.00,NZ,2024-08-09 12:05
76,275850,No Man's Sky,NT$ 898.00,NZ,2024-08-09 12:05
78,1203220,NARAKA: BLADEPOINT,Free To Play,NZ,2024-08-09 12:05
79,2933080,Crime Boss: Rockay City,NT$ 328.00,NZ,2024-08-09 12:05
80,1517290,Battlefield™ 2042,NT$ 239.00,NZ,2024-08-09 12:05
81,440,Team Fortress 2,Free To Play,NZ,2024-08-09 12:05
82,1332010,Stray,NT$ 323.00,NZ,2024-08-09 12:05
83,2519060,Call of Duty®: Modern Warfare® III,"NT$ 2,219.00",NZ,2024-08-09 12:05
84,1604030,V Rising,NT$ 566.00,NZ,2024-08-09 12:05
86,1158310,Crusader Kings III,"NT$ 1,268.00",NZ,2024-08-09 12:05
87,2670630,Supermarket Simulator,NT$ 238.00,NZ,2024-08-09 12:05
88,2379780,Balatro,NT$ 232.00,NZ,2024-08-09 12:05
89,1778820,TEKKEN 8,"NT$ 1,990.00",NZ,2024-08-09 12:05
91,686810,Hell Let Loose,NT$ 899.00,NZ,2024-08-09 12:05
92,1645820,SurrounDead,NT$ 113.00,NZ,2024-08-09 12:05
93,2395210,Tony Hawk's™ Pro Skater™ 1 + 2,NT$ 499.00,NZ,2024-08-09 12:05
94,2141910,Magic: The Gathering Arena(not available in your region),NT$ 499.00,NZ,2024-08-09 12:05
95,413150,Stardew Valley,NT$ 318.00,NZ,2024-08-09 12:05
96,1282100,REMNANT II®,NT$ 550.00,NZ,2024-08-09 12:05
97,1238810,Battlefield™ V,NT$ 209.00,NZ,2024-08-09 12:05
98,612880,Wolfenstein II: The New Colossus,NT$ 179.00,NZ,2024-08-09 12:05
100,2649240,FINAL FANTASY XIV: Dawntrail(not available in your region),NT$ 857.00,NZ,2024-08-09 12:05
